cross_signoff_id,field_or_family,nodi_expectation,comsol_producer_status,responsibility,units_or_default,allowed_use,blocked_use,status,semantic_conflict
G15C-SCHEMA-013,nearest_wall_distance_nm,diagnostic; not wet passability,COMSOL_SUPERSET_REVIEW_ONLY,NODI producer,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,COMSOL_SUPERSET_REVIEW_ONLY,false
G15C-SCHEMA-014,surface_gap_nm,diagnostic; not solver validation,COMSOL_SUPERSET_REVIEW_ONLY,NODI producer,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,COMSOL_SUPERSET_REVIEW_ONLY,false
G15C-SCHEMA-015,includes_trajectory_near_wall_metrics,must be true with package_C_validation_status pass before wall-distance basis,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-016,package_C_validation_status,blocks optical/wet claims unless pass,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-017,bin_accessible,blocked bins cannot carry numeric response,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-018,bin_particle_center_support_status,must agree with bin_accessible,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-019,blocked_reason,required for inaccessible bins,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-020,neighbor_fill_allowed,false for blocked bins,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-021,flow_rate,blocked exact/alias unless future q_ch sidecar,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-SCHEMA-022,Q,blocked exact/alias unless future q_ch sidecar,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-SCHEMA-023,q_ch,blocked exact/alias unless future q_ch sidecar,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-SCHEMA-024,route_score,blocked decision field,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-SCHEMA-025,rank,blocked ranking field,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-SCHEMA-026,JRC,blocked joint route class,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-SCHEMA-027,chi_selected,blocked selection field,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-SCHEMA-028,sidewall_aware,broad shortcut rejected; explicit v2/v3 fields required,BLOCKED_AS_EXPECTED,forbidden positive,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BLOCKED_AS_EXPECTED,false
G15C-COMSOL-EXTRA-001,COMSOL_SCHEMA_SUPERSET_ROW_1,review-only producer-side superset row,COMSOL_SUPERSET_REVIEW_ONLY,COMSOL producer,see COMSOL schema v3,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,COMSOL_SUPERSET_REVIEW_ONLY,false
G15C-COMSOL-EXTRA-002,COMSOL_SCHEMA_SUPERSET_ROW_2,review-only producer-side superset row,COMSOL_SUPERSET_REVIEW_ONLY,COMSOL producer,see COMSOL schema v3,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,COMSOL_SUPERSET_REVIEW_ONLY,false
G15C-COMSOL-EXTRA-003,COMSOL_SCHEMA_SUPERSET_ROW_3,review-only producer-side superset row,COMSOL_SUPERSET_REVIEW_ONLY,COMSOL producer,see COMSOL schema v3,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,COMSOL_SUPERSET_REVIEW_ONLY,false
G15C-COMSOL-EXTRA-004,COMSOL_SCHEMA_SUPERSET_ROW_4,review-only producer-side superset row,COMSOL_SUPERSET_REVIEW_ONLY,COMSOL producer,see COMSOL schema v3,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,COMSOL_SUPERSET_REVIEW_ONLY,false
G15C-COMSOL-EXTRA-005,COMSOL_SCHEMA_SUPERSET_ROW_5,review-only producer-side superset row,COMSOL_SUPERSET_REVIEW_ONLY,COMSOL producer,see COMSOL schema v3,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,COMSOL_SUPERSET_REVIEW_ONLY,false
