delta_id,commit,short_commit,subject,touched_files,guard_category,interface_impact,claim_risk,tests_required
G14A-DELTA-011,a6bd6a54def8862bbba3d7503fb138039c1c0b65,a6bd6a5,Block sidewall JRC and chi alias columns,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,decision_alias_denylist_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-012,2ea812838e681df214ac353939b18df54d143543,2ea8128,Update route score alias guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,decision_alias_denylist_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-013,876836f4948edce2630e6f495a51602574181255,876836f,Block sidewall route score alias columns,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,decision_alias_denylist_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-014,753e730a7b2b3aaf6aa8c087351dd8b2c0cb48fb,753e730,Surface sidewall grain precheck audit rows,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,blocked_bin_or_grain_precheck_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-015,5464dfb226754f70bd60f001567dabf1cbaa748b,5464dfb,Update flow alias guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,flow_alias_or_proxy_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-016,440511b2dced6d23bbb3ad1fd0fccb6e545c8a63,440511b,Block sidewall flow alias claim columns,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,flow_alias_or_proxy_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-017,b7c9dd44278f2a47801bcc36189209a45fef5a20,b7c9dd4,Cover Package D flow rate precheck blacklist,tests/test_nodi_comsol_next_artifacts_contracts.py,flow_alias_or_proxy_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-018,d1829177281a1508025c3786ee4268418996d332,d182917,Update angle convention guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,angle_convention_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-019,cded31a851f98aa330c9ebb430bc661e1ed85cd9,cded31a,Reject bare ambiguous sidewall angle fields,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,angle_convention_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-020,d322b340ffa56b29542692cd63926a8a1c72db80,d322b34,Update flow rate claim blacklist audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,flow_alias_or_proxy_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-021,81602dca5046ffaa55b6e59d5840e2f3cad70b5c,81602dc,Block sidewall flow rate claim columns,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,flow_alias_or_proxy_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-022,27e01f28da752fd85844d067660f6e457557195f,27e01f2,Update EAS propagation reason guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-023,8edcfbb10fe116fa42d35af1e6d49581c2d48d97,8edcfbb,Reject propagated EAS not-propagated reasons,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-024,6711e227434921e773f3a0ca6537d1160f9dddf8,6711e22,Update measured geometry claim guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-025,ad03d6c4bc2f39d47ebb85d5515175ec6688f20f,ad03d6c,Require loaded measured profile claims,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-026,7b65ae863fe587294cc73dfb19705a3384084f6b,7b65ae8,Update measured profile batch guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-027,0e54067f1c216cb27431f61d9d9c4ff1f25e20c7,0e54067,Cover measured profile batch signature guard,tests/test_physics_core.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-028,1f5afd122aca2983d07a024adee8625566b45860,1f5afd1,Update sidewall precheck guard audit result,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-029,60a4083f216f5fca00a62ba53752fc4a61e5771d,60a4083,Cover sidewall precheck shortcut claim guard,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-030,46702f4eb3ec6b8ccee51be49d1137e344a181e9,46702f4,Update sidewall signature drift audit result,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-031,70752a177efbd371f220b2a93c3b67f8114416ad,70752a1,Close sidewall runtime aperture signature drift,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-032,345f43ad1c68fa6e9047b2d1ed7283e72e377362,345f43a,Update sidewall flow-control audit result,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md,flow_alias_or_proxy_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-033,f490a50d28b620b1f1224c08b227eae5600702da,f490a50,Gate sidewall PRS flow control mode,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv;tests/test_nodi_comsol_next_artifacts_contracts.py,flow_alias_or_proxy_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-034,58834412d62f91197f6128ff46c89b4a976adfe7,5883441,Update measured profile guard audit result,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-035,5560c98efb95afa2f61cf59f0e0837f0e9942d28,5560c98,Block unvalidated measured profile lookup,nodi_simulator/channel_geometry_model.py;nodi_simulator/parameter_sweep.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv;tests/test_cross_section_geometry.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-036,c98e31ff5855f469b70c1b0cf60e9320545023b6,c98e31f,Update sidewall descriptor signature audit result,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-037,08a4b83acb045b8873911b2902f9b3196dfafece,08a4b83,Bind sidewall descriptor identity in signatures,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-038,419aeff63fc5ce3ed411c8641b4fb4540ea5cf8a,419aeff,Update sidewall audit verification result,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-039,017171cab7cdfc9727dfffd628c11e05cade3dd0,017171c,Guard sidewall runtime top aperture binding,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-040,37041000e6fb0d45bdd88626f4a67a2858bfaf5a,3704100,Add sidewall implementation audit packet,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-041,192335009c367366d393f5a529e147e20ffe3754,1923350,Cover vectorized sidewall sampler signature path,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_physics_core.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-042,c0ae571c06da42a4a513e57da4551bad0dfca051,c0ae571,Allowlist propagated trapezoid PRS runtime models,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-043,c9ea9b758812e3505b2c74bcb125d05fd9d6f9c5,c9ea9b7,Guard sidewall EAS generic surrogate semantics,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-044,fb17362490c8558e77060705add1ff31cf30804c,fb17362,Expand sidewall claim-promotion blacklist aliases,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-045,f0bc8e13c8d86b016f8844a6a99043df132190fb,f0bc8e1,Bind actual sampler diagnostics into observation signatures,nodi_simulator/parameter_sweep.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_physics_core.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-046,dc1214834b7daa9905669f57c14da9c38be6f927,dc12148,Gate wall distance PRS basis on Package C,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-047,8ede28ca97f3885e2c91647af53264e7cf279e93,8ede28c,Require channel wall distance signatures in sidewall artifacts,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-048,1f0c2bfa552f1ea136a1bbfb810bde508b73d2d7,1f0c2bf,Disambiguate channel wall distance signature fields,nodi_simulator/channel_geometry_model.py;nodi_simulator/parameter_sweep.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_cross_section_geometry.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-049,d6440ebc570b0b5aacb80e8384bf5110ba04872b,d6440eb,Expose channel wall distance geometry identity,nodi_simulator/channel_geometry_model.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_cross_section_geometry.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-050,3274ac8593def3dd6e6bed1a5f1c13a73694893a,3274ac8,Clarify sidewall wall-metric status labels,nodi_simulator/trajectory.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_cross_section_geometry.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-051,d6fc832b1080391f74942ed152bb203f33e6bef3,d6fc832,Clarify sidewall PRS propagation scope,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-052,8879ad4a1069e2ca9d7c3e606ecb27196d2dee77,8879ad4,Require Package C for sidewall wall-distance bins,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-053,bb63069a547d285364dd2b7cda9b7f1f033c8dbf,bb63069,Prevent sampler wall distance claim promotion,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-054,d38b1e7661f70a61c28136a3ff2bd6d82b259a26,d38b1e7,Cover block sampler wall gap diagnostics,tests/test_cross_section_geometry.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-055,4cd0530eef45d8766837bec0ac283caae2556a2a,4cd0530,Emit sampler wall distance diagnostics,nodi_simulator/nodi_comsol_next_artifacts.py;nodi_simulator/parameter_sweep.py;nodi_simulator/utils.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_cross_section_geometry.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-056,e2f975fdd82f1f0acdd86f6b2924087317b20546,e2f975f,Validate PRS sidewall local geometry formulas,nodi_simulator/nodi_comsol_next_artifacts.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
