classification_delta_id,path,nodi_workstream,comsol_workstream,delta_class,resolution,authorization_impact
G2Y-CLASS-0012,full_chip/dwg_analysis/FULL_CHIP_STAGE154_SELECTED_SIMULATION_MASTER_DOCUMENT.md,QCH,strong-claim,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0013,full_chip/dwg_analysis/FULL_CHIP_STAGE157_TO_159_JOINT_UNCERTAINTY_ROADMAP_AFTER_CLAUDE.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0014,full_chip/dwg_analysis/FULL_CHIP_STAGE16_PARTIAL_FOULING_REVIEW.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0015,full_chip/dwg_analysis/FULL_CHIP_STAGE23_BIOPHYSICAL_PARAMETER_ENVELOPE.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0016,full_chip/dwg_analysis/FULL_CHIP_STAGE24_BIOLOGICAL_TDS_WALL_SINK_AUDIT.md,QCH,strong-claim,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0017,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_boundaryflux_sink0p001_20260605.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0018,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_sink0p001_20260605.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0019,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_sink0p01_20260605.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0020,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_sink0p1_20260605.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0021,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_smoke_20260605.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0022,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage11_smoke_20260605.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0023,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkdplusfq_stage117_bonded_ports_sink0p001_20260605.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0024,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bins30_50_100_150_correctedkdplusfq_stage117_bonded_ports_sink0p001_20260605.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0025,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_healthy_isotropic_stage117_bonded_ports_sink0p001_20260607.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0026,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_bonded_ports_sink0p001_20260607_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0027,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_cutplanes_sink0p001_20260607_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0028,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_cutplanes_sink0p001_wallfix_clean_20260607.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0029,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_openings_sink0p001_20260607_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0030,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin100.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0031,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin150.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0032,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin220.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0033,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin220_nostab.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0034,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin30.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0035,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin300.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0036,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin300_nostab.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0037,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin50.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0038,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin500.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0039,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin500_nostab.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0040,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_wallfix_20260608.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0041,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_wallfix_bin100_20260608.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0042,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_wallfix_iter_20260608.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0043,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin100.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0044,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin150.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0045,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0046,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin30.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0047,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin300.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0048,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin50.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0049,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin500.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0050,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin500_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0051,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin100.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0052,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin150.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0053,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0054,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin30.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0055,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin300.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0056,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin50.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0057,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin500.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0058,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedcutplanes_20260612_p10_masked_cutplanes_r1_bin100.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0059,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedcutplanes_20260612_p10_masked_cutplanes_r1_bin30.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0060,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedcutplanes_20260612_p10_masked_cutplanes_r1_bin50.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0061,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedtailonly_20260612_p10_masked_tailonly_r1_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0062,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10numericcleanup_20260612_p10_numeric_cleanup_r2_bin30.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0063,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10numericcleanup_20260612_p10_numeric_cleanup_r2_bin30_loose_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0064,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10numericcleanup_20260612_p10_numeric_cleanup_r2_bin30_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0065,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10numericcleanup_20260612_p10_numeric_cleanup_r2_bin30_screening_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0066,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2allbins_20260610_wave1plus2allbins_bin100.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0067,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2allbins_20260610_wave1plus2allbins_bin150.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0068,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2allbins_20260610_wave1plus2allbins_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0069,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2allbins_20260610_wave1plus2allbins_bin30.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0070,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2allbins_20260610_wave1plus2allbins_bin300.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0071,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2allbins_20260610_wave1plus2allbins_bin50.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0072,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2allbins_20260610_wave1plus2allbins_bin500.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0073,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin100.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0074,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin100_loose_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0075,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin100_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0076,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin100_screening_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0077,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin150.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0078,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin150_loose_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0079,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin150_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0080,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin150_screening_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0081,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin220.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0082,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin220_loose_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0083,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin220_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0084,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin220_screening_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0085,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin30.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0086,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin300.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0087,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin300_loose_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0088,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin300_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0089,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin300_screening_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0090,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin30_loose_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0091,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin30_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0092,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin30_screening_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0093,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin50.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0094,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin500.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0095,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin50_loose_stol.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0096,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_wave1plus2geomfixallbins_20260612_wave1plus2geomfix_bin50_nostab.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
