rc3_delta_id,path,nodi_sha256,comsol_sha256,delta_status,blocking_mismatch,resolution
G2AC-DELTA-0001,full_chip/dwg_analysis/FULL_CHIP_PRE_EXPERIMENTAL_MODELING_COMPLETION_BRIEF_FOR_EXTERNAL_AI_REVIEW.md,ed96662d03c9b13d94330cd89760f75e3cce86930b16290c778297ca4f7436dc,ed96662d03c9b13d94330cd89760f75e3cce86930b16290c778297ca4f7436dc,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0020,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_sink0p1_20260605.md,a6ab8c879a5066ed83d1af387d9eba78b42154f56e5ead7caa7a0d69820571a4,a6ab8c879a5066ed83d1af387d9eba78b42154f56e5ead7caa7a0d69820571a4,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0021,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_smoke_20260605.md,12ad91cb06ca093c0ca879314ae4d3c6e188bd5e32ab54a08d492ba51d137993,12ad91cb06ca093c0ca879314ae4d3c6e188bd5e32ab54a08d492ba51d137993,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0022,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage11_smoke_20260605.md,f7aa952a92897fcd9f5c952bbc4855b655febb243253201fb3660e9c051826d7,f7aa952a92897fcd9f5c952bbc4855b655febb243253201fb3660e9c051826d7,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0023,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkdplusfq_stage117_bonded_ports_sink0p001_20260605.md,7a36787f434428f49b18ca9580a49cfb8596dc8117cf82aab325542170fa32de,7a36787f434428f49b18ca9580a49cfb8596dc8117cf82aab325542170fa32de,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0024,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bins30_50_100_150_correctedkdplusfq_stage117_bonded_ports_sink0p001_20260605.md,f33c5b2afe6bbf56e71dd00d3f2b1f4e004966081c0823abeb10309a85643ef6,f33c5b2afe6bbf56e71dd00d3f2b1f4e004966081c0823abeb10309a85643ef6,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0025,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_healthy_isotropic_stage117_bonded_ports_sink0p001_20260607.md,3b5f17add9de42bb6f9fd0adb8660c73bb5f87750600aaf69eb898553519407d,3b5f17add9de42bb6f9fd0adb8660c73bb5f87750600aaf69eb898553519407d,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0026,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_bonded_ports_sink0p001_20260607_bin220.md,55e5053b02d79bb8b5c0a52c9c7302cdbbecf5a370527b6d8e49dfe1545d77b0,55e5053b02d79bb8b5c0a52c9c7302cdbbecf5a370527b6d8e49dfe1545d77b0,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0027,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_cutplanes_sink0p001_20260607_bin220.md,18747194c5710844a15b3170c63bf87dba9669d41bbb7a993e53866154dbfb50,18747194c5710844a15b3170c63bf87dba9669d41bbb7a993e53866154dbfb50,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0028,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_cutplanes_sink0p001_wallfix_clean_20260607.md,928a93ccc57dd48df27bc50b22698e6b9cbe5e1f350fdc598cc55744acc87ad0,928a93ccc57dd48df27bc50b22698e6b9cbe5e1f350fdc598cc55744acc87ad0,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0029,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_phaseA10ch_hmax1_openings_sink0p001_20260607_bin220.md,fe617f40eebe22b5b3b2af8b1aa9b34b00ff57da21de732e941e22b4f6ac88d0,fe617f40eebe22b5b3b2af8b1aa9b34b00ff57da21de732e941e22b4f6ac88d0,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0030,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin100.md,3cfd6c38c75c4aec70c30c78abdece19370a061082d0c53ffa8527387e02c186,3cfd6c38c75c4aec70c30c78abdece19370a061082d0c53ffa8527387e02c186,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0031,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin150.md,4bd7a9ebca27158ade00e3211e8e5663250b9d60c94d073d7adc2040dcf69ead,4bd7a9ebca27158ade00e3211e8e5663250b9d60c94d073d7adc2040dcf69ead,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0032,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin220.md,11f033b77f052b1a116fc4f531048c3edc1db654c1fdfeff8effde39efbc4d78,11f033b77f052b1a116fc4f531048c3edc1db654c1fdfeff8effde39efbc4d78,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0033,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin220_nostab.md,5f75a2747866a5242f4293ec6447f13abc61a1148dbf732d1c9b8c7ac12e0a86,5f75a2747866a5242f4293ec6447f13abc61a1148dbf732d1c9b8c7ac12e0a86,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0034,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin30.md,145ef069d4c3771640736c8785d42ed62d5c1ec625b8bcc2429dd1309a337fe9,145ef069d4c3771640736c8785d42ed62d5c1ec625b8bcc2429dd1309a337fe9,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0035,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin300.md,6b52fdd2e34c011d515aebd37fd0d6bec7ce7d12d7f0ba9010eefa702d349fcc,6b52fdd2e34c011d515aebd37fd0d6bec7ce7d12d7f0ba9010eefa702d349fcc,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0036,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin300_nostab.md,e31d895d71796c4aab2831f48aba3d35c6d93cfe71107790a540c09c58d1caa7,e31d895d71796c4aab2831f48aba3d35c6d93cfe71107790a540c09c58d1caa7,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0037,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin50.md,82b2b8639fd9ff68fe3d2b2cc761851522fcd11f4c2e6c33b06b25af413c45f8,82b2b8639fd9ff68fe3d2b2cc761851522fcd11f4c2e6c33b06b25af413c45f8,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0038,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin500.md,350126a627cfe66dddf1a22b8a71e589d0cf24a10607b0b825ac172f13d13217,350126a627cfe66dddf1a22b8a71e589d0cf24a10607b0b825ac172f13d13217,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0039,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_20260607_bin500_nostab.md,f1b4d57f65a31fac983f02beb395f3873a407eca6d0217179c78320aa349b9f5,f1b4d57f65a31fac983f02beb395f3873a407eca6d0217179c78320aa349b9f5,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0040,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_wallfix_20260608.md,81af75ef0e2209ffadc2d424d4faa5b18f2405bcd3b65f71a60f142d98dae081,81af75ef0e2209ffadc2d424d4faa5b18f2405bcd3b65f71a60f142d98dae081,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0041,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_wallfix_bin100_20260608.md,67aac798577a52e2e3dab297229a0d2dc3ea7faf99bbef543b2b5cad20608af4,67aac798577a52e2e3dab297229a0d2dc3ea7faf99bbef543b2b5cad20608af4,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0042,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0j_unifiedlambda_stage117_bonded_ports_sink0p001_wallfix_iter_20260608.md,4de0abe5558ee6dfda0e75cd291e23156a537da774d4ab4de57601be8909eb42,4de0abe5558ee6dfda0e75cd291e23156a537da774d4ab4de57601be8909eb42,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0043,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin100.md,361c9dc433cc483e0c1dce0df8054cea4b3a930f41fc6a4f61ef90e97cd5d163,361c9dc433cc483e0c1dce0df8054cea4b3a930f41fc6a4f61ef90e97cd5d163,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0044,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin150.md,05ba27d44dc8d39c9b44e7cbdeebf9ad283d9d7b2558059f73d6514911ed04ef,05ba27d44dc8d39c9b44e7cbdeebf9ad283d9d7b2558059f73d6514911ed04ef,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0045,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin220.md,dff3b7af4b2823de4f462891a21ba05bd1bd515a24a483ef8bbca912927a4fc8,dff3b7af4b2823de4f462891a21ba05bd1bd515a24a483ef8bbca912927a4fc8,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0046,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin30.md,c4786ddd1003dc405210f5fb64000fba397cb273455ee92831d6d3c8c357243f,c4786ddd1003dc405210f5fb64000fba397cb273455ee92831d6d3c8c357243f,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0047,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin300.md,e36be0e9cc60cd02efd282c9f00553079c8bf34d8b70c6c14a50ba73761fbf54,e36be0e9cc60cd02efd282c9f00553079c8bf34d8b70c6c14a50ba73761fbf54,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0048,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin50.md,fb801e8d7fc3c921bab4db798ad78aa3213488ac3c12a29f3285f7f94e49ead4,fb801e8d7fc3c921bab4db798ad78aa3213488ac3c12a29f3285f7f94e49ead4,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0049,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin500.md,1738441de2858d76f782fba833ea8cef36608e22e2f33d624d59ae1ba68c0805,1738441de2858d76f782fba833ea8cef36608e22e2f33d624d59ae1ba68c0805,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0050,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10coarsegateallbinsr2_20260611_p10_coarsegate_allbins_r2_bin500_nostab.md,1c6445233f33def3eb667e9f15b26ddd5beb7c4d220ad0d11f874d6fb4dd7823,1c6445233f33def3eb667e9f15b26ddd5beb7c4d220ad0d11f874d6fb4dd7823,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0051,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin100.md,6f588d9c01064acf24e9253e5f4598b2e3e925020db2ab45228254fbc0f94b5e,6f588d9c01064acf24e9253e5f4598b2e3e925020db2ab45228254fbc0f94b5e,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0052,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin150.md,c7970ec3315f8d46bbc20a9182f28a1785a3cbfac0ace72edcb7af4c44839667,c7970ec3315f8d46bbc20a9182f28a1785a3cbfac0ace72edcb7af4c44839667,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0053,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin220.md,9a5edac72521d2dc9482565d3085aa4dce852497114b1f997a6e54b6866b081a,9a5edac72521d2dc9482565d3085aa4dce852497114b1f997a6e54b6866b081a,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0054,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin30.md,4ea09728238e4e5a94737bb8f6142fce099081bf75bbf682ca83b4b9f2ff5979,4ea09728238e4e5a94737bb8f6142fce099081bf75bbf682ca83b4b9f2ff5979,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0055,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin300.md,1c472bf63ecbd691848735318ac80e1d075ffeff3f33a058ee8ec3f857762342,1c472bf63ecbd691848735318ac80e1d075ffeff3f33a058ee8ec3f857762342,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0056,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin50.md,cf6cfa34aeecbb5ae7a2faa67252bed415ff746d10ab601da1529ab51490ad4a,cf6cfa34aeecbb5ae7a2faa67252bed415ff746d10ab601da1529ab51490ad4a,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0057,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10geomfix_20260611_r1_bin500.md,5d3f1739122ec26e3cdaadcadbcdea230c6db9804f6e7825863ab2d43eea4b44,5d3f1739122ec26e3cdaadcadbcdea230c6db9804f6e7825863ab2d43eea4b44,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0058,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedcutplanes_20260612_p10_masked_cutplanes_r1_bin100.md,dd4c10af9db3db0836c1293911acaa96d0aff04e2d34f7a61a00bd76d1f9edaf,dd4c10af9db3db0836c1293911acaa96d0aff04e2d34f7a61a00bd76d1f9edaf,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0059,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedcutplanes_20260612_p10_masked_cutplanes_r1_bin30.md,79f4020e102fb2c5eafc744945c7e01d1b3287b86f23e7d9c3cd66c4f7cb511c,79f4020e102fb2c5eafc744945c7e01d1b3287b86f23e7d9c3cd66c4f7cb511c,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0060,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedcutplanes_20260612_p10_masked_cutplanes_r1_bin50.md,13fd2ba94cd2eef15008775935832c8a8e97660465cbb298b74aa584f5f0e6ab,13fd2ba94cd2eef15008775935832c8a8e97660465cbb298b74aa584f5f0e6ab,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0061,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10maskedtailonly_20260612_p10_masked_tailonly_r1_bin220.md,a8bfcc4e1825f820c5099276453c2647feb70d6eda201c5fa083e64c94a5383b,a8bfcc4e1825f820c5099276453c2647feb70d6eda201c5fa083e64c94a5383b,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0062,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_sidewall_depth_wave1_p10_p10numericcleanup_20260612_p10_numeric_cleanup_r2_bin30.md,6fc4f310bcfa8c02650057568519ccbb303c49be02fbffe863423b49310f2211,6fc4f310bcfa8c02650057568519ccbb303c49be02fbffe863423b49310f2211,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
