receipt_requirement_id,comsol_artifact_id,source_path,manifest_sha256,actual_sha256,manifest_row_count,actual_row_count,manifest_match_status,validation_status,allowed_use,blocked_use
NODI-G2J-SOURCE-RECEIPT-001,G2H_SOURCE_G2G_MASTER,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_MASTER_PACKET_20260628.md,aa0c9f1bf1540c53265ed6edca594a30617660906c231125c109989924b4d01b,aa0c9f1bf1540c53265ed6edca594a30617660906c231125c109989924b4d01b,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-012,G2H_NODI_GATE2D_LEDGER_READONLY,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2D_ACCEPTED_REDUCED_SCOPE_CONTEXT_LEDGER_20260628.csv,cf997f5cefd2267f507f3697680d4d314b986ea6a89f914eb66a993f9a1cdce1,cf997f5cefd2267f507f3697680d4d314b986ea6a89f914eb66a993f9a1cdce1,4,4,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-013,G2H_AVAILABILITY_AUDIT,roadmap/COMSOL_GATE2H_EDGE_EXISTING_EVIDENCE_AVAILABILITY_AUDIT_20260628.csv,ce545d7c5d1647aa3bc63671d79574c13a3b29a693de8fb453fba5ae5e2fdff5,ce545d7c5d1647aa3bc63671d79574c13a3b29a693de8fb453fba5ae5e2fdff5,8,8,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-014,G2H_AVAILABILITY_PACKET,roadmap/COMSOL_GATE2H_EDGE_EXISTING_EVIDENCE_AVAILABILITY_PACKET_20260628.md,d17329deef0eafc018d613b7db1894f75e783c14a77ea41a1e55452bc87e59cc,d17329deef0eafc018d613b7db1894f75e783c14a77ea41a1e55452bc87e59cc,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-015,G2H_EDGE20_CONTRACT,roadmap/COMSOL_GATE2H_EDGE20_RESOLVED_EVIDENCE_CONTRACT_20260628.csv,5f20a1f92299304dbd54153cae36afd37f3b3b01e28e186e6bce04761bc66f42,5f20a1f92299304dbd54153cae36afd37f3b3b01e28e186e6bce04761bc66f42,34,34,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-016,G2H_EDGE20_GAP_REGISTER,roadmap/COMSOL_GATE2H_EDGE20_RESOLVED_EVIDENCE_GAP_REGISTER_20260628.csv,a704b77d27dc175171f2df75156ce9341686e6100e6bc492e792b5b3553f5919,a704b77d27dc175171f2df75156ce9341686e6100e6bc492e792b5b3553f5919,34,34,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-017,G2H_EDGE20_CONTRACT_PACKET,roadmap/COMSOL_GATE2H_EDGE20_RESOLVED_EVIDENCE_CONTRACT_PACKET_20260628.md,8c8f64d2af36dd484ba3792d1c90b465736bcd16383f9d93d3152a22d53d9a84,8c8f64d2af36dd484ba3792d1c90b465736bcd16383f9d93d3152a22d53d9a84,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-018,G2H_DIAGNOSTIC_CHECKS,roadmap/COMSOL_GATE2H_EDGE_MONOTONICITY_CONSERVATIVENESS_REPRO_CHECKS_20260628.csv,8244df1ec112fb1b2012a20d2ce9fe38406d32f6998a98dd8493a6285061cad7,8244df1ec112fb1b2012a20d2ce9fe38406d32f6998a98dd8493a6285061cad7,7,7,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-019,G2H_DIAGNOSTIC_PACKET,roadmap/COMSOL_GATE2H_EDGE_DIAGNOSTIC_CHECK_DEFINITIONS_PACKET_20260628.md,a6fe7dc667690a2b07ddcfb454b283cb5bd88631c9b898345112a01c79b6137f,a6fe7dc667690a2b07ddcfb454b283cb5bd88631c9b898345112a01c79b6137f,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-020,G2I_TEMPLATE,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_EVIDENCE_PACKAGE_TEMPLATE_20260628.csv,e7b75dfa0d8ef90e1e67c4f2c7fffc179c1432bb13a80f1d5a90a63dc7b2d64d,e7b75dfa0d8ef90e1e67c4f2c7fffc179c1432bb13a80f1d5a90a63dc7b2d64d,20,20,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-021,G2I_TEMPLATE_PACKET,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_EVIDENCE_PACKAGE_TEMPLATE_PACKET_20260628.md,71eeb0c42d28124638a1dd116430517977aec39608165e4c182f30df2797e480,71eeb0c42d28124638a1dd116430517977aec39608165e4c182f30df2797e480,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-022,G2I_NEGATIVE_FIXTURES,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_NEGATIVE_FIXTURES_20260628.csv,43339c4a96b8f8892a199b08aaf85d8c58d2cb2f8a8d1d1215e812f6d514d02a,43339c4a96b8f8892a199b08aaf85d8c58d2cb2f8a8d1d1215e812f6d514d02a,11,11,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-023,G2I_POSITIVE_SCHEMA,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_POSITIVE_MINIMAL_FIXTURE_SCHEMA_20260628.csv,25a935d245dba3c77189c1608cae222f30841e40d4c4cae2156848ea3fc4e7be,25a935d245dba3c77189c1608cae222f30841e40d4c4cae2156848ea3fc4e7be,37,37,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-024,G2H_NON_EDGE_HOOKS,roadmap/COMSOL_GATE2H_NON_EDGE_CARRY_FORWARD_AND_HOOKS_20260628.csv,6c2217c188505b26a053f0ac6cf572e4c8dbf3cac058cf545efbec2246caf25b,6c2217c188505b26a053f0ac6cf572e4c8dbf3cac058cf545efbec2246caf25b,5,5,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-025,G2I_PARALLEL_HOOKS,roadmap/COMSOL_GATE2I_PARALLEL_WORKSTREAM_NEXT_GATE_HOOKS_20260628.csv,1013492005391b08a88532a64232f3f4b1fa239e090a1e2ae3a697a1f270e3d9,1013492005391b08a88532a64232f3f4b1fa239e090a1e2ae3a697a1f270e3d9,4,4,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-026,G2H_G2I_MASTER_PACKET,roadmap/COMSOL_GATE2H_GATE2I_EDGE_CLOSURE_CONTRACT_MASTER_PACKET_20260628.md,2a49ea0e1a9f7adc2c711e40cd028ce124c5a9b035ed561c83ced7dd9ab05f4c,2a49ea0e1a9f7adc2c711e40cd028ce124c5a9b035ed561c83ced7dd9ab05f4c,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-027,G2H_G2I_VALIDATION,roadmap/COMSOL_GATE2H_EDGE_CLOSURE_EVIDENCE_AVAILABILITY_VALIDATION_20260628.csv,6f13e712c93092a0bee028a948569eef4eba84a0671380da12a15da19166d2ee,6f13e712c93092a0bee028a948569eef4eba84a0671380da12a15da19166d2ee,16,16,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-028,G2H_G2I_VALIDATOR,full_chip/dwg_analysis/validate_gate2h_gate2i_edge_closure_contract_20260628.py,ff4096a75dee9f01398db8197a58640a83ace3b9690aee391dcde3c60e412d75,ff4096a75dee9f01398db8197a58640a83ace3b9690aee391dcde3c60e412d75,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
