mutation_id,mutation_family,property_family,mutation_name,mutated_value,property_issue,expected_result,expected_fail_reason,not_evidence,authorization_flags_false
G2AA-MUT-0063,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__missing_NODI_view,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0064,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__route_alias_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0065,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__diameter_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0066,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__bin_basis_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0067,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__edge20_hash_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0068,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__non_contiguous_bins,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0069,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__missing_numeric_bound,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0070,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__units_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0071,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__normalization_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0072,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__edge20_id_invalid,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0073,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__edge4_group_inconsistent,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0074,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__formal_sidecar_falsely_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0075,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__missing_flow_split,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0076,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__q_ch_eta_present,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0077,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__units_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0078,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__normalization_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0079,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__source_solve_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0080,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__missing_source_sha,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0081,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__row_count_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0082,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__manifest_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0083,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__schema_version_unknown,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0084,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__template_only_false_on_synthetic,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0085,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__not_evidence_false_on_fixture,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0086,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__policy_use_requested_true_without_evidence,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0087,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__220_auto_map_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0088,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__D1200_borrow_D900,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0089,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__missing_NODI_view,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0090,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__route_alias_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0091,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__diameter_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0092,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__bin_basis_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0093,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__edge20_hash_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0094,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__non_contiguous_bins,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0095,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__missing_numeric_bound,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0096,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__units_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0097,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__normalization_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0098,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__edge20_id_invalid,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0099,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__edge4_group_inconsistent,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0100,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__formal_sidecar_falsely_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0101,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__missing_flow_split,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0102,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__q_ch_eta_present,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0103,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__units_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0104,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__normalization_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0105,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__source_solve_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0106,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__missing_source_sha,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0107,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__row_count_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0108,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__manifest_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0109,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__schema_version_unknown,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0110,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__template_only_false_on_synthetic,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0111,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__not_evidence_false_on_fixture,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0112,pairwise_combined,pairwise_combined,grain_level_ingestion_authorized__PLUS__policy_use_requested_true_without_evidence,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0113,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__220_auto_map_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0114,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__D1200_borrow_D900,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0115,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__missing_NODI_view,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0116,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__route_alias_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0117,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__diameter_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0118,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__bin_basis_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0119,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__edge20_hash_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0120,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__non_contiguous_bins,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0121,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__missing_numeric_bound,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0122,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__units_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0123,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__normalization_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0124,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__edge20_id_invalid,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0125,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__edge4_group_inconsistent,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0126,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__formal_sidecar_falsely_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0127,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__missing_flow_split,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0128,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__q_ch_eta_present,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0129,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__units_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0130,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__normalization_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0131,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__source_solve_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0132,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__missing_source_sha,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0133,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__row_count_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0134,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__manifest_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0135,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__schema_version_unknown,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0136,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__template_only_false_on_synthetic,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0137,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__not_evidence_false_on_fixture,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0138,pairwise_combined,pairwise_combined,accepted_row_expansion_authorized__PLUS__policy_use_requested_true_without_evidence,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0139,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__220_auto_map_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0140,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__D1200_borrow_D900,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0141,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__missing_NODI_view,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0142,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__route_alias_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0143,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__diameter_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0144,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__bin_basis_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0145,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__edge20_hash_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0146,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__non_contiguous_bins,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0147,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__missing_numeric_bound,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0148,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__units_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0149,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__normalization_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0150,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__edge20_id_invalid,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0151,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__edge4_group_inconsistent,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0152,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__formal_sidecar_falsely_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0153,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__missing_flow_split,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0154,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__q_ch_eta_present,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0155,pairwise_combined,pairwise_combined,qch_weighting_authorized__PLUS__units_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
