sweep_id,source_group,forbidden_term,term_present,presence_interpretation,sweep_status
NODI-G2R-FORBID-0066,group_4,detection_probability,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0067,group_4,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0068,group_4,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0069,group_4,time-to-clog,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0070,group_4,recovery,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0071,group_4,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0072,group_4,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0073,group_4,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0074,group_4,formula use,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0075,group_4,direct PRS edge20 bin use,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0076,group_4,grain-level ingestion,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0077,group_5,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0078,group_5,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0079,group_5,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0080,group_5,chi_selected,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0081,group_5,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0082,group_5,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0083,group_5,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0084,group_5,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0085,group_5,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0086,group_5,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0087,group_5,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0088,group_5,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0089,group_5,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0090,group_5,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0091,group_5,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0092,group_5,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0093,group_5,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0094,group_5,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0095,group_5,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0096,group_6,q_ch weighting,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0097,group_6,q_ch*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0098,group_6,q_ch*chi*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0099,group_6,chi_selected,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0100,group_6,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0101,group_6,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0102,group_6,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0103,group_6,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0104,group_6,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0105,group_6,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0106,group_6,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0107,group_6,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0108,group_6,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0109,group_6,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0110,group_6,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0111,group_6,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0112,group_6,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0113,group_6,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0114,group_6,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0115,group_7,q_ch weighting,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0116,group_7,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0117,group_7,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0118,group_7,chi_selected,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0119,group_7,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0120,group_7,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0121,group_7,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0122,group_7,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0123,group_7,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0124,group_7,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0125,group_7,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0126,group_7,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0127,group_7,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0128,group_7,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0129,group_7,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0130,group_7,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0131,group_7,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0132,group_7,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0133,group_7,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0134,group_8,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0135,group_8,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0136,group_8,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0137,group_8,chi_selected,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0138,group_8,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0139,group_8,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0140,group_8,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0141,group_8,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0142,group_8,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0143,group_8,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0144,group_8,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0145,group_8,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0146,group_8,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0147,group_8,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0148,group_8,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0149,group_8,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0150,group_8,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0151,group_8,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0152,group_8,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0153,group_9,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0154,group_9,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0155,group_9,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0156,group_9,chi_selected,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0157,group_9,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0158,group_9,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0159,group_9,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0160,group_9,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0161,group_9,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0162,group_9,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0163,group_9,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0164,group_9,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0165,group_9,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0166,group_9,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0167,group_9,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0168,group_9,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0169,group_9,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0170,group_9,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0171,group_9,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0172,group_10,q_ch weighting,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0173,group_10,q_ch*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0174,group_10,q_ch*chi*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0175,group_10,chi_selected,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0176,group_10,route_score,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0177,group_10,JOINT_ROUTE_CLASS/JRC,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0178,group_10,yield,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0179,group_10,winner,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0180,group_10,detection_probability,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0181,group_10,wet pass probability,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0182,group_10,clogging rate,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0183,group_10,time-to-clog,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0184,group_10,recovery,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0185,group_10,fabrication release,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0186,group_10,runtime configuration,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0187,group_10,production ingestion,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0188,group_10,formula use,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0189,group_10,direct PRS edge20 bin use,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0190,group_10,grain-level ingestion,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0191,group_11,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0192,group_11,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0193,group_11,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0194,group_11,chi_selected,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0195,group_11,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0196,group_11,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0197,group_11,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0198,group_11,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0199,group_11,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0200,group_11,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0201,group_11,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0202,group_11,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0203,group_11,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0204,group_11,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0205,group_11,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0206,group_11,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0207,group_11,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0208,group_11,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0209,group_11,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0210,group_12,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0211,group_12,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0212,group_12,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0213,group_12,chi_selected,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0214,group_12,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0215,group_12,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0216,group_12,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0217,group_12,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0218,group_12,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0219,group_12,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0220,group_12,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0221,group_12,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0222,group_12,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0223,group_12,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0224,group_12,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0225,group_12,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0226,group_12,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0227,group_12,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0228,group_12,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0229,group_13,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0230,group_13,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0231,group_13,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0232,group_13,chi_selected,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0233,group_13,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0234,group_13,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0235,group_13,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0236,group_13,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0237,group_13,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0238,group_13,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0239,group_13,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0240,group_13,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0241,group_13,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0242,group_13,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0243,group_13,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0244,group_13,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0245,group_13,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0246,group_13,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0247,group_13,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0248,group_14,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0249,group_14,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0250,group_14,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
