concordance_id,fixture_family,source_fixture_id,failure_mode,seen_in_nodi_fixture_family,comsol_expected_result,comsol_actual_result,nodi_expected_result,concordance_status,authorization_status
NODI-G2O-NEG-CONC-017,QCH,G2L-QCH-NEG-006,q_ch_eta_present,false,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-018,QCH,G2L-QCH-NEG-007,JRC_present,false,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-019,QCH,G2L-QCH-NEG-008,chi_selected_true,true,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-020,QCH,G2L-QCH-NEG-009,production_flag_true,true,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-021,BINDING,G2L-BIND-NEG-001,220_auto_map_true,true,FAIL_EXPECTED_FAIL_CLOSED,FAIL_EXPECTED_FAIL_CLOSED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-022,BINDING,G2L-BIND-NEG-002,D1200_borrow_D900,true,FAIL_EXPECTED_FAIL_CLOSED,FAIL_EXPECTED_FAIL_CLOSED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-023,BINDING,G2L-BIND-NEG-003,missing_NODI_view,true,FAIL_EXPECTED_FAIL_CLOSED,FAIL_EXPECTED_FAIL_CLOSED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-024,BINDING,G2L-BIND-NEG-004,route_alias_mismatch,true,FAIL_EXPECTED_FAIL_CLOSED,FAIL_EXPECTED_FAIL_CLOSED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-025,BINDING,G2L-BIND-NEG-005,diameter_mismatch,true,FAIL_EXPECTED_FAIL_CLOSED,FAIL_EXPECTED_FAIL_CLOSED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-026,BINDING,G2L-BIND-NEG-006,bin_basis_mismatch,true,FAIL_EXPECTED_FAIL_CLOSED,FAIL_EXPECTED_FAIL_CLOSED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-027,BINDING,G2L-BIND-NEG-007,accepted_context_authorized_true,true,FAIL_EXPECTED_FAIL_CLOSED,FAIL_EXPECTED_FAIL_CLOSED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
