envelope_field_id,field_name,required,default_or_required_value,failure_status,allowed_use,blocked_use
NODI-G2J-IMPORT-ENV-001,source_manifest_path,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-012,source_row_count,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-013,template_only,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-014,is_evidence,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-015,policy_use_requested,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-016,formula_use_authorized,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-017,direct_prs_bin_use_authorized,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-018,grain_level_ingestion_authorized,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-019,qch_weighting_authorized,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-020,jrc_authorized,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-021,production_ingestion_authorized,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-022,runtime_configuration_authorized,true,false,HARD_FAIL,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
