field_id,field_name,workstreams,rc1_status,authorization_default,template_or_evidence_boundary,blocked_use
NODI-G2P-FIELD-RC1-001,NODI_view,EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-022,edge20_reference_units,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-023,edge20_reference_value,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-024,edge4_aggregate_value,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-025,edge4_bin_label,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-026,error_bound_lower,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-027,error_bound_upper,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-028,flow_split_units,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-029,flow_split_value,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-030,formula_use_authorized,BINDING|EDGE|QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-031,gate2k_template_row_id,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-032,grain_level_ingestion_authorized,EDGE,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-033,integration_surface_or_volume_definition,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-034,is_formal_gate2_qch_sidecar,QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-035,jrc_authorized,EDGE|QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-036,monotonicity_allowed_exceptions,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-037,monotonicity_direction,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-038,monotonicity_metric,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-039,normalization_basis,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-040,not_evidence,BINDING|EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-041,numeric_error_units,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-042,numeric_error_value,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-043,package_id,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-044,policy_use_requested,EDGE,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-045,production_ingestion_authorized,BINDING|EDGE|QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-046,provenance_id,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-047,q_ch_units,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-048,q_ch_value,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-049,qch_chi_eta_authorized,QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-050,qch_eta_authorized,QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-051,qch_template_row_id,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-052,qch_weighting_authorized,EDGE|QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-053,reproducibility_group_id,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-054,required_comsol_export_change,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-055,required_next_gate,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-056,required_nodi_policy,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-057,requires_new_comsol_solve,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-058,route_key,EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-059,route_key_candidate,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-060,row_identity,EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-061,runtime_configuration_authorized,BINDING|EDGE|QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-062,schema_version,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-063,source_artifact,BINDING|EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-064,source_geometry_hash,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
