fingerprint_id,schema_fingerprint,artifact_count,sample_paths
NODI-G2S-FP-0016,5f44514f2c59b21dddcf76ae475145995ae10e36f7f4f1ff6c0d7cd12286a510,1,roadmap/EV_PBS_SOFT_VESICLE_L2_SURFACE_NODI_CONTEXT_SIDECAR_ROWS_20260625.csv
NODI-G2S-FP-0017,6217d9d3b1094b8ed2c349738e1a8403f494fb1fabee20c4a6bfbe21cc19ee9c,1,roadmap/COMSOL_GATE2B_TPD_BINDING_REPAIR_PLAN_20260627.csv
NODI-G2S-FP-0018,66f582f5f6f2fc1221258f5f8c732e9cbe5aa883c14c1c68a2e2e9e0878f695f,1,roadmap/COMSOL_GATE2L_QCH_FORMAL_SIDECAR_TEMPLATE_V2_20260628.csv
NODI-G2S-FP-0019,6702d7b607e332695d0325ae858c72ca3b8c9f4943b0450c282ac67caa9bfb18,1,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_MINIMAL_SKELETON_20260628.csv
NODI-G2S-FP-0020,67f9cdabf7e69a306a2664d35029e56c5596c1956cbbbf12197bf0e3c8ac5697,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_COMBINED_DESCRIPTOR_WATCH_PRIORITY_TABLE_20260628.csv
NODI-G2S-FP-0021,8ba95b7ad52ade9864348e09c9ffc442c974650917cb1955cbf93203b80177fb,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_ADHESION_DETACH_DESCRIPTOR_SURFACE_20260628.csv
NODI-G2S-FP-0022,9075de9b64099dcf179e7ec7a44ecb7898f9c946654a6c871d72ae07eb539b25,1,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv
NODI-G2S-FP-0023,97b43e695c1c1e6553f513154db9d7979387b54635ad544ea78dddb7a6007b23,1,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_20260628.csv
NODI-G2S-FP-0024,NO_SCHEMA,151,roadmap/COMSOL_GATE2B_NODI_CONTEXT_ONLY_SUPPORT_PACKET_20260627.md|roadmap/COMSOL_GATE2A_NODI_BINDING_PACKET_20260627.md|roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_MASTER_PACKET_20260628.md|roadmap/COMSOL_GATE2_NODI_CONTEXT_EXPORT_PACKET_20260627.md|roadmap/COMSOL_GATE2E_EXPANSION_WORKSTREAM_MASTER_PLAN_20260628.md
NODI-G2S-FP-0025,a0e0cee4c7459580584c88eeb5b3ec022da9c701556782d6558ca862f5c60123,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_WALL_TAU_REPRESENTATIVE_SMOKE_CASE_BINDING_20260628.csv
NODI-G2S-FP-0026,a2c59706acf86a76299680f812887236a634baf33244b9a50415c04f73abdc6b,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_NCOLL_DESCRIPTOR_SURFACE_20260628.csv
NODI-G2S-FP-0027,a976f1370c205a1f0add442823706dcd55463c74320334dada13510837d9e82d,1,roadmap/COMSOL_GATE2E_QCH_FORMAL_SIDECAR_MOCK_GAP_ROWS_20260628.csv
NODI-G2S-FP-0028,afff00a8f8e63c9b07c80a8076d43b7be908de180e1dfffb760e24bbfd5c2c3b,1,roadmap/COMSOL_GATE2B_NODI_ALLOWED_CONTEXT_ROWS_20260627.csv
NODI-G2S-FP-0029,b231bf6c3ba2f140284bcda36a8adf8977466e8cdf39cba6f73cab57e1f80d07,1,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv
NODI-G2S-FP-0030,b24dcb7ca03c8103cf029e4791b841a6f50579509114f7361da1b6b70ae4d34f,1,roadmap/COMSOL_GATE2P_QCH_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv
NODI-G2S-FP-0031,bbf53face5774202a3121dea199ce235e78790550950becac1e41437f9cb030a,1,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_20260628.csv
NODI-G2S-FP-0032,bf9cd6e6b201a545fe90e21480c603c1b7cfbe9d9e48a13b28514bab89397679,1,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv
NODI-G2S-FP-0033,c42a9da4ce00ba16b0c564d990c92a8d6c5fcfc50d624534dba3747cec783ffe,1,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv
NODI-G2S-FP-0034,c98afb1e8715aa5cd8638270aa5839ab1c407716db2c2716d91df5ac6e8dc29f,1,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_EVIDENCE_REQUIREMENTS_20260628.csv
NODI-G2S-FP-0035,cad87a47215f365b1802a5409270d6718d9e9cb989e844cf66e49395ee7f3db0,1,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_EVIDENCE_PACKAGE_TEMPLATE_20260628.csv
NODI-G2S-FP-0036,cb547060801a07d81ecfba587c48ad0b86f00d3602ad576bcd3248c4d6749930,1,roadmap/COMSOL_GATE2C_NODI_BOUND_CONTEXT_EXPORT_CANDIDATE_20260628.csv
NODI-G2S-FP-0037,cbfd54a5136819964309c4c06b00dc112e535020cd00f986d8a638ded70ae129,1,roadmap/COMSOL_GATE2P_BINDING_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv
NODI-G2S-FP-0038,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,5,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_001_W800_D900_A85_220NM_transported_position_distribution.csv|full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_002_W800_D900_A85_300NM_transported_position_distribution.csv|full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_003_W800_D1200_A87_220NM_transported_position_distribution.csv|full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_004_W800_D1200_A87_300NM_transported_position_distribution.csv|roadmap/TRANSPORTED_POSITION_DISTRIBUTION_TEMPLATE_20260617.csv
NODI-G2S-FP-0039,d82da49df48a676d8712f821cdb7c375642deade801b41e2c7e433d38e22e1c9,1,roadmap/COMSOL_GATE2L_BINDING_REPAIR_TEMPLATE_V2_20260628.csv
NODI-G2S-FP-0040,ee015d4f931b14c61609eb0f7b43d4f3c9e5563d0f7fd1efaab41bfcbf5a54b1,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_WALL_TAU_ANALYTIC_PROXY_DESCRIPTOR_TABLE_20260628.csv
NODI-G2S-FP-0041,f611d3d81969864e6032eb66a6ef04b1b3dd581ca6bc795fc53303f58789b876,1,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv
NODI-G2S-FP-0042,f62d79cd3f9be06a9dc5d98c0183bf12b22d3313c5c0664304ab80f75ce21427,1,roadmap/NODI_PRS_W800_MINIBATCH_AUTH_CASES_20260621.csv
NODI-G2S-FP-0043,f753130690d622a8eae62f4d17c78e5fd012e530cfe265afd23d28ce98603590,1,roadmap/COMSOL_GATE2A_NODI_BINDING_CROSSWALK_20260627.csv
