drift_scan_id,source_type,source_id,path,authorization_leak_detected,drift_status
G2AD-DRIFT-0014,deep_dossier,G2Z-DOSSIER-0014,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0015,deep_dossier,G2Z-DOSSIER-0015,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_REQUIREMENTS_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0016,deep_dossier,G2Z-DOSSIER-0016,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_REQUIREMENTS_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0017,deep_dossier,G2Z-DOSSIER-0017,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_TEMPLATE_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0018,deep_dossier,G2Z-DOSSIER-0018,roadmap/NODI_LOCAL_MIRROR_AND_PRS_V1_1_CODE_UPGRADE_20260621.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0019,deep_dossier,G2Z-DOSSIER-0019,roadmap/NODI_PRS_W800_MINIBATCH_AUTH_CASES_20260621.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0020,deep_dossier,G2Z-DOSSIER-0020,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_002_W800_D900_A85_300NM_raw_bin_integrals.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0021,deep_dossier,G2Z-DOSSIER-0021,roadmap/COMSOL_GATE2G_EDGE_BLOCKER_CARRY_FORWARD_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0022,deep_dossier,G2Z-DOSSIER-0022,roadmap/COMSOL_GATE2G_EDGE_POLICY_OPTION_MATRIX_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0023,deep_dossier,G2Z-DOSSIER-0023,roadmap/COMSOL_GATE2H_EDGE_MONOTONICITY_CONSERVATIVENESS_REPRO_CHECKS_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0024,deep_dossier,G2Z-DOSSIER-0024,roadmap/COMSOL_GATE2H_NON_EDGE_CARRY_FORWARD_AND_HOOKS_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0025,deep_dossier,G2Z-DOSSIER-0025,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_POSITIVE_MINIMAL_FIXTURE_SCHEMA_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0026,deep_dossier,G2Z-DOSSIER-0026,roadmap/COMSOL_GATE2B_NODI_CONTEXT_ONLY_SUPPORT_PACKET_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0027,deep_dossier,G2Z-DOSSIER-0027,roadmap/COMSOL_GATE2A_NODI_BINDING_PACKET_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0028,deep_dossier,G2Z-DOSSIER-0028,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_MASTER_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0029,deep_dossier,G2Z-DOSSIER-0029,roadmap/COMSOL_GATE2_NODI_CONTEXT_EXPORT_PACKET_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0030,deep_dossier,G2Z-DOSSIER-0030,roadmap/COMSOL_GATE2E_EXPANSION_WORKSTREAM_MASTER_PLAN_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0031,deep_dossier,G2Z-DOSSIER-0031,roadmap/COMSOL_GATE2E_MINIMAL_DELIVERABLE_MASTER_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0032,deep_dossier,G2Z-DOSSIER-0032,roadmap/COMSOL_GATE2B_NODI_ALLOWED_CONTEXT_ROWS_20260627.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0033,deep_dossier,G2Z-DOSSIER-0033,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_MASTER_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0034,deep_dossier,G2Z-DOSSIER-0034,roadmap/COMSOL_GATE2H_GATE2I_EDGE_CLOSURE_CONTRACT_MASTER_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0035,deep_dossier,G2Z-DOSSIER-0035,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_EVIDENCE_PACKAGE_TEMPLATE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0036,deep_dossier,G2Z-DOSSIER-0036,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_PACKAGE_TEMPLATE_V2_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0037,deep_dossier,G2Z-DOSSIER-0037,roadmap/COMSOL_GATE2B_QCH_FORMAL_SIDECAR_REQUIREMENTS_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0038,deep_dossier,G2Z-DOSSIER-0038,roadmap/COMSOL_GATE2C_NODI_BOUND_CONTEXT_EXPORT_CANDIDATE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0039,deep_dossier,G2Z-DOSSIER-0039,roadmap/COMSOL_GATE2C_QCH_FORMAL_SIDECAR_FEASIBILITY_GAP_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0040,deep_dossier,G2Z-DOSSIER-0040,roadmap/COMSOL_GATE2C_QCH_FORMAL_SIDECAR_TEMPLATE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0041,deep_dossier,G2Z-DOSSIER-0041,roadmap/COMSOL_GATE2C_REDUCED_SCOPE_DECISION_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0042,deep_dossier,G2Z-DOSSIER-0042,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0043,deep_dossier,G2Z-DOSSIER-0043,roadmap/COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_MASTER_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0044,deep_dossier,G2Z-DOSSIER-0044,roadmap/NODI_REPO_LINKAGE_REVIEW_20260621.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0045,deep_dossier,G2Z-DOSSIER-0045,roadmap/TRANSPORTED_POSITION_SOURCE_RUNNER_AUTHORIZATION_PACKET_20260621.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0046,deep_dossier,G2Z-DOSSIER-0046,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0047,deep_dossier,G2Z-DOSSIER-0047,roadmap/COMSOL_GATE2A_NODI_BINDING_CROSSWALK_20260627.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0048,deep_dossier,G2Z-DOSSIER-0048,roadmap/COMSOL_GATE2B_TPD_BINDING_REPAIR_PLAN_20260627.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0049,deep_dossier,G2Z-DOSSIER-0049,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_MINIMAL_SKELETON_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0050,deep_dossier,G2Z-DOSSIER-0050,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0051,deep_dossier,G2Z-DOSSIER-0051,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0052,deep_dossier,G2Z-DOSSIER-0052,roadmap/COMSOL_GATE2L_BINDING_REPAIR_TEMPLATE_V2_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0053,deep_dossier,G2Z-DOSSIER-0053,roadmap/COMSOL_GATE2P_BINDING_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0054,deep_dossier,G2Z-DOSSIER-0054,roadmap/COMSOL_GATE2Z_EDGE_CANDIDATE_DOSSIERS_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0055,deep_dossier,G2Z-DOSSIER-0055,roadmap/EV_PBS_CODE_MODEL_REVIEW_ROUND22_PRIOR_MONTE_CARLO_GOVERNANCE_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0056,deep_dossier,G2Z-DOSSIER-0056,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_REQUIREMENTS_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0057,deep_dossier,G2Z-DOSSIER-0057,roadmap/COMSOL_GATE2L_BINDING_PACKAGE_CONTRACT_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0058,deep_dossier,G2Z-DOSSIER-0058,roadmap/COMSOL_GATE2T_EVIDENCE_LINEAGE_GRAPH_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0059,deep_dossier,G2Z-DOSSIER-0059,roadmap/COMSOL_GATE2Z_BINDING_CANDIDATE_DOSSIERS_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0060,deep_dossier,G2Z-DOSSIER-0060,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_INDEX_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0061,deep_dossier,G2Z-DOSSIER-0061,roadmap/EV_PBS_DWG_ANALYSIS_P1_SCRIPT_QUEUE_SURFACE_TRIAGE_ROUND30_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0062,deep_dossier,G2Z-DOSSIER-0062,roadmap/EV_PBS_HISTORICAL_RUNNABLE_QUEUE_QUARANTINE_REVIEW_ROUND27_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0063,deep_dossier,G2Z-DOSSIER-0063,roadmap/EV_PBS_CODE_MODEL_REVIEW_ROUND12_V4_NORMAL_WALL_TAU_RUNNER_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0064,deep_dossier,G2Z-DOSSIER-0064,roadmap/EV_PBS_SAMPLE_SURFACE_CANONICAL_CONTRACT_V4_PACKET_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0065,deep_dossier,G2Z-DOSSIER-0065,roadmap/EV_PBS_V4_NON_NANO_MAINLINE_REBIND_AUDIT_PACKET_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0066,deep_dossier,G2Z-DOSSIER-0066,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_FOCUSED_WATCH_SUBSET_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0067,deep_dossier,G2Z-DOSSIER-0067,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_MAINLINE_ROUTE_REFRESH_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0068,deep_dossier,G2Z-DOSSIER-0068,roadmap/NANO_ENTRANCE_FILTER_V4_FQ_DESCRIPTOR_CLOSURE_OVERLAY_PACKET_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0069,deep_dossier,G2Z-DOSSIER-0069,roadmap/NANO_ENTRANCE_FILTER_V4_STAGE1_WET_ROUGH_DESCRIPTOR_SCREEN_PACKET_20260627.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0070,deep_dossier,G2Z-DOSSIER-0070,roadmap/NODI_PRS_V1_1_RESPONSE_EXTENSION_REVIEW_20260621.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0071,deep_dossier,G2Z-DOSSIER-0071,roadmap/COMSOL_GATE2_NODI_CONTEXT_EXPORT_INDEX_20260627.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0072,deep_dossier,G2Z-DOSSIER-0072,roadmap/COMSOL_GATE2C_REDUCED_SCOPE_DECISION_TABLE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0073,deep_dossier,G2Z-DOSSIER-0073,roadmap/CLOGGING_EVENT_TREE_AND_LOCAL_Q_SCOPE_PACKET_20260621.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0074,deep_dossier,G2Z-DOSSIER-0074,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0075,deep_dossier,G2Z-DOSSIER-0075,roadmap/COMSOL_GATE2E_QCH_FORMAL_SIDECAR_PREFLIGHT_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
