isolation_case_id,case_family,workstream_under_rehearsal,actual_nodi_disposition,leakage_detected,leakage_handling,edge_only_template_approved,qch_bypassed,binding_bypassed,authorization_promotion
G8F-ISO-00059,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00060,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00061,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00062,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00063,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00064,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00065,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00066,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00067,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00068,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00069,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00070,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00071,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00072,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00073,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00074,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00075,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00076,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00077,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00078,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00079,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00080,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00081,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00082,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00083,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00084,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00085,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00086,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00087,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00088,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00089,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00090,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00091,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00092,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00093,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00094,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00095,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00096,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00097,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00098,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00099,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00100,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00101,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00102,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00103,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00104,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00105,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00106,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00107,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00108,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00109,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00110,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00111,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00112,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00113,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00114,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00115,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00116,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00117,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00118,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00119,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00120,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00121,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00122,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00123,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00124,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00125,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00126,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00127,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00128,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00129,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00130,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00131,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00132,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00133,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00134,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00135,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00136,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00137,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00138,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00139,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00140,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00141,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00142,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00143,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00144,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00145,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00146,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00147,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00148,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00149,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00150,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00151,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00152,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00153,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00154,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00155,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00156,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00157,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00158,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00159,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00160,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00161,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00162,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00163,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00164,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00165,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00166,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00167,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00168,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00169,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00170,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00171,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00172,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00173,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00174,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00175,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00176,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00177,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00178,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00179,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00180,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00181,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00182,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00183,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00184,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00185,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00186,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00187,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00188,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00189,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00190,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00191,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00192,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00193,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00194,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00195,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
