rc5_1_field_id,canonical_field,nodi_field,comsol_field,present_in_nodi_gate5,present_in_comsol_gate5,comsol_duplicate_row_count,side_owner,requiredness,directionality,semantic_status,adapter_status,auth_impact,lockstep_status,edge_policy_state,qch_state,binding_state
G6C-RC5-1-0016,bin_coverage,bin_coverage,bin_coverage,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0017,bin_id,bin_id,bin_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0018,binding_blocker,binding_blocker,binding_blocker,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0019,binding_fail_closed,binding_fail_closed,binding_fail_closed,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0020,binding_repair_row_id,binding_repair_row_id,binding_repair_row_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0021,binding_template_row_id,binding_template_row_id,binding_template_row_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0022,blocked_class,blocked_class,blocked_class,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0023,blocked_until,blocked_until,blocked_until,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0024,blocked_use,blocked_use,blocked_use,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0025,blocker_id,blocker_id,blocker_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0026,blocker_if_any,blocker_if_any,blocker_if_any,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0027,blocker_preserved,blocker_preserved,blocker_preserved,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0028,blocker_reason,blocker_reason,blocker_reason,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0029,blocker_type,blocker_type,blocker_type,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0030,can_be_done_without_new_comsol_solve,can_be_done_without_new_comsol_solve,can_be_done_without_new_comsol_solve,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0031,can_close_reason,can_close_reason,can_close_reason,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0032,can_close_work_order,can_close_work_order,can_close_work_order,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0033,can_fix_without_new_comsol_solve,can_fix_without_new_comsol_solve,can_fix_without_new_comsol_solve,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0034,can_repair_without_new_solve,can_repair_without_new_solve,can_repair_without_new_solve,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0035,candidate_claim,candidate_claim,candidate_claim,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0036,candidate_edge20_bins_covered,candidate_edge20_bins_covered,candidate_edge20_bins_covered,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0037,candidate_export_row_id,candidate_export_row_id,candidate_export_row_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0038,candidate_prs_edge20_end_1based,candidate_prs_edge20_end_1based,candidate_prs_edge20_end_1based,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0039,candidate_prs_edge20_ids,candidate_prs_edge20_ids,candidate_prs_edge20_ids,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0040,candidate_prs_edge20_start_1based,candidate_prs_edge20_start_1based,candidate_prs_edge20_start_1based,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0041,candidate_route_family,candidate_route_family,candidate_route_family,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0042,candidate_status,candidate_status,candidate_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0043,carry_forward_status,carry_forward_status,carry_forward_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0044,case_id,case_id,case_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0045,check_definition,check_definition,check_definition,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0046,check_name,check_name,check_name,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0047,checks,checks,checks,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0048,chi_selected_authorized,chi_selected_authorized,chi_selected_authorized,true,true,1,COMSOL producer/NODI receiver,forbidden_positive_authorization,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0049,claim_boundary,claim_boundary,claim_boundary,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0050,claim_promotion_authorized_now,claim_promotion_authorized_now,claim_promotion_authorized_now,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0051,columns,columns,columns,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0052,comsol_artifact_id,comsol_artifact_id,comsol_artifact_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0053,comsol_artifact_path,comsol_artifact_path,comsol_artifact_path,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0054,comsol_evidence_or_gap,comsol_evidence_or_gap,comsol_evidence_or_gap,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0055,comsol_gate2g_status,comsol_gate2g_status,comsol_gate2g_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0056,comsol_gate_id,comsol_gate_id,comsol_gate_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0057,comsol_status,comsol_status,comsol_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0058,conservativeness_check_required,conservativeness_check_required,conservativeness_check_required,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0059,conservativeness_metric,conservativeness_metric,conservativeness_metric,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0060,conservativeness_rule,conservativeness_rule,conservativeness_rule,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0061,conservativeness_status,conservativeness_status,conservativeness_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0062,consumer_candidate,consumer_candidate,consumer_candidate,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0063,coverage_complete,coverage_complete,coverage_complete,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0064,coverage_contiguous,coverage_contiguous,coverage_contiguous,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0065,coverage_nonoverlap_claim_scope,coverage_nonoverlap_claim_scope,coverage_nonoverlap_claim_scope,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0066,current_blocker,current_blocker,current_blocker,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0067,current_source,current_source,current_source,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0068,current_status,current_status,current_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0069,current_support_status,current_support_status,current_support_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0070,d_nm,D_nm,D_nm,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0071,decision_row_id,decision_row_id,decision_row_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0072,depth_coverage,depth_coverage,depth_coverage,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0073,depth_family,depth_family,depth_family,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0074,depth_or_channel_family,depth_or_channel_family,depth_or_channel_family,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0075,depth_um,depth_um,depth_um,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0076,derived_artifact,derived_artifact,derived_artifact,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0077,description,description,description,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0078,diagnostic_check_id,diagnostic_check_id,diagnostic_check_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0079,diameter_binding_status,diameter_binding_status,diameter_binding_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0080,diameter_coverage,diameter_coverage,diameter_coverage,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0081,diameter_nm,diameter_nm,diameter_nm,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0082,direct_prs_bin_claim_authorized,direct_prs_bin_claim_authorized,direct_prs_bin_claim_authorized,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0083,direct_prs_bin_use_authorized,direct_prs_bin_use_authorized,direct_prs_bin_use_authorized,true,true,1,COMSOL producer/NODI receiver,forbidden_positive_authorization,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0084,direct_prs_bin_use_authorized_default,direct_prs_bin_use_authorized_default,direct_prs_bin_use_authorized_default,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0085,disposition,disposition,disposition,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0086,distribution_type_required,distribution_type_required,distribution_type_required,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0087,dossier_id,dossier_id,dossier_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0088,edge20_bin_count,edge20_bin_count,edge20_bin_count,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0089,edge20_bin_id,edge20_bin_id,edge20_bin_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0090,edge20_bins_covered,edge20_bins_covered,edge20_bins_covered,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0091,edge20_definition_hash,edge20_definition_hash,edge20_definition_hash,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0092,edge20_reference_units,edge20_reference_units,edge20_reference_units,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0093,edge20_reference_value,edge20_reference_value,edge20_reference_value,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0094,edge4_aggregate_value,edge4_aggregate_value,edge4_aggregate_value,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0095,edge4_bin_label,edge4_bin_label,edge4_bin_label,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
