context_id,mutation_id,forbidden_context,classification_status
G3F-CTX-0034,G3F-MUT-0034,authorization_leak_fixture,PASS
G3F-CTX-0035,G3F-MUT-0035,authorization_leak_fixture,PASS
G3F-CTX-0036,G3F-MUT-0036,authorization_leak_fixture,PASS
G3F-CTX-0037,G3F-MUT-0037,authorization_leak_fixture,PASS
G3F-CTX-0038,G3F-MUT-0038,authorization_leak_fixture,PASS
G3F-CTX-0039,G3F-MUT-0039,blocked_fixture_mention,PASS
G3F-CTX-0040,G3F-MUT-0040,authorization_leak_fixture,PASS
G3F-CTX-0041,G3F-MUT-0041,authorization_leak_fixture,PASS
G3F-CTX-0042,G3F-MUT-0042,authorization_leak_fixture,PASS
G3F-CTX-0043,G3F-MUT-0043,authorization_leak_fixture,PASS
G3F-CTX-0044,G3F-MUT-0044,authorization_leak_fixture,PASS
G3F-CTX-0045,G3F-MUT-0045,authorization_leak_fixture,PASS
G3F-CTX-0046,G3F-MUT-0046,authorization_leak_fixture,PASS
G3F-CTX-0047,G3F-MUT-0047,blocked_fixture_mention,PASS
G3F-CTX-0048,G3F-MUT-0048,authorization_leak_fixture,PASS
G3F-CTX-0049,G3F-MUT-0049,authorization_leak_fixture,PASS
G3F-CTX-0050,G3F-MUT-0050,authorization_leak_fixture,PASS
G3F-CTX-0051,G3F-MUT-0051,authorization_leak_fixture,PASS
G3F-CTX-0052,G3F-MUT-0052,authorization_leak_fixture,PASS
G3F-CTX-0053,G3F-MUT-0053,authorization_leak_fixture,PASS
G3F-CTX-0054,G3F-MUT-0054,authorization_leak_fixture,PASS
G3F-CTX-0055,G3F-MUT-0055,blocked_fixture_mention,PASS
G3F-CTX-0056,G3F-MUT-0056,authorization_leak_fixture,PASS
G3F-CTX-0057,G3F-MUT-0057,authorization_leak_fixture,PASS
G3F-CTX-0058,G3F-MUT-0058,authorization_leak_fixture,PASS
G3F-CTX-0059,G3F-MUT-0059,authorization_leak_fixture,PASS
G3F-CTX-0060,G3F-MUT-0060,authorization_leak_fixture,PASS
G3F-CTX-0061,G3F-MUT-0061,authorization_leak_fixture,PASS
G3F-CTX-0062,G3F-MUT-0062,authorization_leak_fixture,PASS
G3F-CTX-0063,G3F-MUT-0063,blocked_fixture_mention,PASS
G3F-CTX-0064,G3F-MUT-0064,authorization_leak_fixture,PASS
G3F-CTX-0065,G3F-MUT-0065,authorization_leak_fixture,PASS
G3F-CTX-0066,G3F-MUT-0066,authorization_leak_fixture,PASS
G3F-CTX-0067,G3F-MUT-0067,authorization_leak_fixture,PASS
G3F-CTX-0068,G3F-MUT-0068,authorization_leak_fixture,PASS
G3F-CTX-0069,G3F-MUT-0069,authorization_leak_fixture,PASS
G3F-CTX-0070,G3F-MUT-0070,authorization_leak_fixture,PASS
G3F-CTX-0071,G3F-MUT-0071,blocked_fixture_mention,PASS
G3F-CTX-0072,G3F-MUT-0072,authorization_leak_fixture,PASS
G3F-CTX-0073,G3F-MUT-0073,authorization_leak_fixture,PASS
G3F-CTX-0074,G3F-MUT-0074,authorization_leak_fixture,PASS
G3F-CTX-0075,G3F-MUT-0075,authorization_leak_fixture,PASS
G3F-CTX-0076,G3F-MUT-0076,authorization_leak_fixture,PASS
G3F-CTX-0077,G3F-MUT-0077,authorization_leak_fixture,PASS
G3F-CTX-0078,G3F-MUT-0078,authorization_leak_fixture,PASS
G3F-CTX-0079,G3F-MUT-0079,blocked_fixture_mention,PASS
G3F-CTX-0080,G3F-MUT-0080,authorization_leak_fixture,PASS
G3F-CTX-0081,G3F-MUT-0081,authorization_leak_fixture,PASS
G3F-CTX-0082,G3F-MUT-0082,authorization_leak_fixture,PASS
G3F-CTX-0083,G3F-MUT-0083,authorization_leak_fixture,PASS
G3F-CTX-0084,G3F-MUT-0084,authorization_leak_fixture,PASS
G3F-CTX-0085,G3F-MUT-0085,authorization_leak_fixture,PASS
G3F-CTX-0086,G3F-MUT-0086,authorization_leak_fixture,PASS
G3F-CTX-0087,G3F-MUT-0087,blocked_fixture_mention,PASS
G3F-CTX-0088,G3F-MUT-0088,authorization_leak_fixture,PASS
G3F-CTX-0089,G3F-MUT-0089,authorization_leak_fixture,PASS
G3F-CTX-0090,G3F-MUT-0090,authorization_leak_fixture,PASS
G3F-CTX-0091,G3F-MUT-0091,authorization_leak_fixture,PASS
G3F-CTX-0092,G3F-MUT-0092,authorization_leak_fixture,PASS
G3F-CTX-0093,G3F-MUT-0093,authorization_leak_fixture,PASS
G3F-CTX-0094,G3F-MUT-0094,authorization_leak_fixture,PASS
G3F-CTX-0095,G3F-MUT-0095,blocked_fixture_mention,PASS
G3F-CTX-0096,G3F-MUT-0096,authorization_leak_fixture,PASS
G3F-CTX-0097,G3F-MUT-0097,authorization_leak_fixture,PASS
G3F-CTX-0098,G3F-MUT-0098,authorization_leak_fixture,PASS
G3F-CTX-0099,G3F-MUT-0099,authorization_leak_fixture,PASS
G3F-CTX-0100,G3F-MUT-0100,authorization_leak_fixture,PASS
G3F-CTX-0101,G3F-MUT-0101,authorization_leak_fixture,PASS
G3F-CTX-0102,G3F-MUT-0102,authorization_leak_fixture,PASS
G3F-CTX-0103,G3F-MUT-0103,blocked_fixture_mention,PASS
G3F-CTX-0104,G3F-MUT-0104,authorization_leak_fixture,PASS
G3F-CTX-0105,G3F-MUT-0105,authorization_leak_fixture,PASS
G3F-CTX-0106,G3F-MUT-0106,authorization_leak_fixture,PASS
G3F-CTX-0107,G3F-MUT-0107,authorization_leak_fixture,PASS
G3F-CTX-0108,G3F-MUT-0108,authorization_leak_fixture,PASS
G3F-CTX-0109,G3F-MUT-0109,authorization_leak_fixture,PASS
G3F-CTX-0110,G3F-MUT-0110,authorization_leak_fixture,PASS
G3F-CTX-0111,G3F-MUT-0111,blocked_fixture_mention,PASS
G3F-CTX-0112,G3F-MUT-0112,authorization_leak_fixture,PASS
G3F-CTX-0113,G3F-MUT-0113,authorization_leak_fixture,PASS
G3F-CTX-0114,G3F-MUT-0114,authorization_leak_fixture,PASS
G3F-CTX-0115,G3F-MUT-0115,authorization_leak_fixture,PASS
G3F-CTX-0116,G3F-MUT-0116,authorization_leak_fixture,PASS
G3F-CTX-0117,G3F-MUT-0117,authorization_leak_fixture,PASS
G3F-CTX-0118,G3F-MUT-0118,authorization_leak_fixture,PASS
G3F-CTX-0119,G3F-MUT-0119,blocked_fixture_mention,PASS
G3F-CTX-0120,G3F-MUT-0120,authorization_leak_fixture,PASS
G3F-CTX-0121,G3F-MUT-0121,authorization_leak_fixture,PASS
G3F-CTX-0122,G3F-MUT-0122,authorization_leak_fixture,PASS
G3F-CTX-0123,G3F-MUT-0123,authorization_leak_fixture,PASS
G3F-CTX-0124,G3F-MUT-0124,authorization_leak_fixture,PASS
G3F-CTX-0125,G3F-MUT-0125,authorization_leak_fixture,PASS
G3F-CTX-0126,G3F-MUT-0126,authorization_leak_fixture,PASS
G3F-CTX-0127,G3F-MUT-0127,blocked_fixture_mention,PASS
G3F-CTX-0128,G3F-MUT-0128,authorization_leak_fixture,PASS
G3F-CTX-0129,G3F-MUT-0129,authorization_leak_fixture,PASS
G3F-CTX-0130,G3F-MUT-0130,authorization_leak_fixture,PASS
G3F-CTX-0131,G3F-MUT-0131,authorization_leak_fixture,PASS
G3F-CTX-0132,G3F-MUT-0132,authorization_leak_fixture,PASS
G3F-CTX-0133,G3F-MUT-0133,authorization_leak_fixture,PASS
G3F-CTX-0134,G3F-MUT-0134,authorization_leak_fixture,PASS
G3F-CTX-0135,G3F-MUT-0135,blocked_fixture_mention,PASS
G3F-CTX-0136,G3F-MUT-0136,authorization_leak_fixture,PASS
G3F-CTX-0137,G3F-MUT-0137,authorization_leak_fixture,PASS
G3F-CTX-0138,G3F-MUT-0138,authorization_leak_fixture,PASS
G3F-CTX-0139,G3F-MUT-0139,authorization_leak_fixture,PASS
G3F-CTX-0140,G3F-MUT-0140,authorization_leak_fixture,PASS
G3F-CTX-0141,G3F-MUT-0141,authorization_leak_fixture,PASS
G3F-CTX-0142,G3F-MUT-0142,authorization_leak_fixture,PASS
G3F-CTX-0143,G3F-MUT-0143,blocked_fixture_mention,PASS
G3F-CTX-0144,G3F-MUT-0144,authorization_leak_fixture,PASS
G3F-CTX-0145,G3F-MUT-0145,authorization_leak_fixture,PASS
G3F-CTX-0146,G3F-MUT-0146,authorization_leak_fixture,PASS
G3F-CTX-0147,G3F-MUT-0147,authorization_leak_fixture,PASS
G3F-CTX-0148,G3F-MUT-0148,authorization_leak_fixture,PASS
G3F-CTX-0149,G3F-MUT-0149,authorization_leak_fixture,PASS
G3F-CTX-0150,G3F-MUT-0150,authorization_leak_fixture,PASS
G3F-CTX-0151,G3F-MUT-0151,blocked_fixture_mention,PASS
G3F-CTX-0152,G3F-MUT-0152,authorization_leak_fixture,PASS
G3F-CTX-0153,G3F-MUT-0153,authorization_leak_fixture,PASS
G3F-CTX-0154,G3F-MUT-0154,authorization_leak_fixture,PASS
G3F-CTX-0155,G3F-MUT-0155,authorization_leak_fixture,PASS
G3F-CTX-0156,G3F-MUT-0156,authorization_leak_fixture,PASS
G3F-CTX-0157,G3F-MUT-0157,authorization_leak_fixture,PASS
G3F-CTX-0158,G3F-MUT-0158,authorization_leak_fixture,PASS
G3F-CTX-0159,G3F-MUT-0159,blocked_fixture_mention,PASS
G3F-CTX-0160,G3F-MUT-0160,authorization_leak_fixture,PASS
G3F-CTX-0161,G3F-MUT-0161,authorization_leak_fixture,PASS
G3F-CTX-0162,G3F-MUT-0162,authorization_leak_fixture,PASS
G3F-CTX-0163,G3F-MUT-0163,authorization_leak_fixture,PASS
G3F-CTX-0164,G3F-MUT-0164,authorization_leak_fixture,PASS
G3F-CTX-0165,G3F-MUT-0165,authorization_leak_fixture,PASS
G3F-CTX-0166,G3F-MUT-0166,authorization_leak_fixture,PASS
G3F-CTX-0167,G3F-MUT-0167,blocked_fixture_mention,PASS
G3F-CTX-0168,G3F-MUT-0168,authorization_leak_fixture,PASS
G3F-CTX-0169,G3F-MUT-0169,authorization_leak_fixture,PASS
G3F-CTX-0170,G3F-MUT-0170,authorization_leak_fixture,PASS
G3F-CTX-0171,G3F-MUT-0171,authorization_leak_fixture,PASS
G3F-CTX-0172,G3F-MUT-0172,authorization_leak_fixture,PASS
G3F-CTX-0173,G3F-MUT-0173,authorization_leak_fixture,PASS
G3F-CTX-0174,G3F-MUT-0174,authorization_leak_fixture,PASS
G3F-CTX-0175,G3F-MUT-0175,blocked_fixture_mention,PASS
G3F-CTX-0176,G3F-MUT-0176,authorization_leak_fixture,PASS
G3F-CTX-0177,G3F-MUT-0177,authorization_leak_fixture,PASS
G3F-CTX-0178,G3F-MUT-0178,authorization_leak_fixture,PASS
G3F-CTX-0179,G3F-MUT-0179,authorization_leak_fixture,PASS
G3F-CTX-0180,G3F-MUT-0180,authorization_leak_fixture,PASS
G3F-CTX-0181,G3F-MUT-0181,authorization_leak_fixture,PASS
G3F-CTX-0182,G3F-MUT-0182,authorization_leak_fixture,PASS
G3F-CTX-0183,G3F-MUT-0183,blocked_fixture_mention,PASS
G3F-CTX-0184,G3F-MUT-0184,authorization_leak_fixture,PASS
G3F-CTX-0185,G3F-MUT-0185,authorization_leak_fixture,PASS
G3F-CTX-0186,G3F-MUT-0186,authorization_leak_fixture,PASS
G3F-CTX-0187,G3F-MUT-0187,authorization_leak_fixture,PASS
G3F-CTX-0188,G3F-MUT-0188,authorization_leak_fixture,PASS
G3F-CTX-0189,G3F-MUT-0189,authorization_leak_fixture,PASS
G3F-CTX-0190,G3F-MUT-0190,authorization_leak_fixture,PASS
G3F-CTX-0191,G3F-MUT-0191,blocked_fixture_mention,PASS
G3F-CTX-0192,G3F-MUT-0192,authorization_leak_fixture,PASS
G3F-CTX-0193,G3F-MUT-0193,authorization_leak_fixture,PASS
G3F-CTX-0194,G3F-MUT-0194,authorization_leak_fixture,PASS
G3F-CTX-0195,G3F-MUT-0195,authorization_leak_fixture,PASS
G3F-CTX-0196,G3F-MUT-0196,authorization_leak_fixture,PASS
G3F-CTX-0197,G3F-MUT-0197,authorization_leak_fixture,PASS
G3F-CTX-0198,G3F-MUT-0198,authorization_leak_fixture,PASS
G3F-CTX-0199,G3F-MUT-0199,blocked_fixture_mention,PASS
G3F-CTX-0200,G3F-MUT-0200,authorization_leak_fixture,PASS
G3F-CTX-0201,G3F-MUT-0201,authorization_leak_fixture,PASS
G3F-CTX-0202,G3F-MUT-0202,authorization_leak_fixture,PASS
G3F-CTX-0203,G3F-MUT-0203,authorization_leak_fixture,PASS
G3F-CTX-0204,G3F-MUT-0204,authorization_leak_fixture,PASS
G3F-CTX-0205,G3F-MUT-0205,authorization_leak_fixture,PASS
G3F-CTX-0206,G3F-MUT-0206,authorization_leak_fixture,PASS
G3F-CTX-0207,G3F-MUT-0207,blocked_fixture_mention,PASS
G3F-CTX-0208,G3F-MUT-0208,authorization_leak_fixture,PASS
G3F-CTX-0209,G3F-MUT-0209,authorization_leak_fixture,PASS
G3F-CTX-0210,G3F-MUT-0210,authorization_leak_fixture,PASS
G3F-CTX-0211,G3F-MUT-0211,authorization_leak_fixture,PASS
G3F-CTX-0212,G3F-MUT-0212,authorization_leak_fixture,PASS
G3F-CTX-0213,G3F-MUT-0213,authorization_leak_fixture,PASS
G3F-CTX-0214,G3F-MUT-0214,authorization_leak_fixture,PASS
G3F-CTX-0215,G3F-MUT-0215,blocked_fixture_mention,PASS
G3F-CTX-0216,G3F-MUT-0216,authorization_leak_fixture,PASS
G3F-CTX-0217,G3F-MUT-0217,authorization_leak_fixture,PASS
G3F-CTX-0218,G3F-MUT-0218,authorization_leak_fixture,PASS
G3F-CTX-0219,G3F-MUT-0219,authorization_leak_fixture,PASS
G3F-CTX-0220,G3F-MUT-0220,authorization_leak_fixture,PASS
G3F-CTX-0221,G3F-MUT-0221,authorization_leak_fixture,PASS
G3F-CTX-0222,G3F-MUT-0222,authorization_leak_fixture,PASS
G3F-CTX-0223,G3F-MUT-0223,blocked_fixture_mention,PASS
G3F-CTX-0224,G3F-MUT-0224,authorization_leak_fixture,PASS
G3F-CTX-0225,G3F-MUT-0225,authorization_leak_fixture,PASS
G3F-CTX-0226,G3F-MUT-0226,authorization_leak_fixture,PASS
G3F-CTX-0227,G3F-MUT-0227,authorization_leak_fixture,PASS
G3F-CTX-0228,G3F-MUT-0228,authorization_leak_fixture,PASS
G3F-CTX-0229,G3F-MUT-0229,authorization_leak_fixture,PASS
G3F-CTX-0230,G3F-MUT-0230,authorization_leak_fixture,PASS
G3F-CTX-0231,G3F-MUT-0231,blocked_fixture_mention,PASS
G3F-CTX-0232,G3F-MUT-0232,authorization_leak_fixture,PASS
G3F-CTX-0233,G3F-MUT-0233,authorization_leak_fixture,PASS
G3F-CTX-0234,G3F-MUT-0234,authorization_leak_fixture,PASS
G3F-CTX-0235,G3F-MUT-0235,authorization_leak_fixture,PASS
G3F-CTX-0236,G3F-MUT-0236,authorization_leak_fixture,PASS
G3F-CTX-0237,G3F-MUT-0237,authorization_leak_fixture,PASS
G3F-CTX-0238,G3F-MUT-0238,authorization_leak_fixture,PASS
G3F-CTX-0239,G3F-MUT-0239,blocked_fixture_mention,PASS
G3F-CTX-0240,G3F-MUT-0240,authorization_leak_fixture,PASS
G3F-CTX-0241,G3F-MUT-0241,authorization_leak_fixture,PASS
G3F-CTX-0242,G3F-MUT-0242,authorization_leak_fixture,PASS
G3F-CTX-0243,G3F-MUT-0243,authorization_leak_fixture,PASS
G3F-CTX-0244,G3F-MUT-0244,authorization_leak_fixture,PASS
G3F-CTX-0245,G3F-MUT-0245,authorization_leak_fixture,PASS
G3F-CTX-0246,G3F-MUT-0246,authorization_leak_fixture,PASS
G3F-CTX-0247,G3F-MUT-0247,blocked_fixture_mention,PASS
G3F-CTX-0248,G3F-MUT-0248,authorization_leak_fixture,PASS
G3F-CTX-0249,G3F-MUT-0249,authorization_leak_fixture,PASS
G3F-CTX-0250,G3F-MUT-0250,authorization_leak_fixture,PASS
G3F-CTX-0251,G3F-MUT-0251,authorization_leak_fixture,PASS
G3F-CTX-0252,G3F-MUT-0252,authorization_leak_fixture,PASS
G3F-CTX-0253,G3F-MUT-0253,authorization_leak_fixture,PASS
G3F-CTX-0254,G3F-MUT-0254,authorization_leak_fixture,PASS
G3F-CTX-0255,G3F-MUT-0255,blocked_fixture_mention,PASS
G3F-CTX-0256,G3F-MUT-0256,authorization_leak_fixture,PASS
G3F-CTX-0257,G3F-MUT-0257,authorization_leak_fixture,PASS
G3F-CTX-0258,G3F-MUT-0258,authorization_leak_fixture,PASS
G3F-CTX-0259,G3F-MUT-0259,authorization_leak_fixture,PASS
G3F-CTX-0260,G3F-MUT-0260,authorization_leak_fixture,PASS
G3F-CTX-0261,G3F-MUT-0261,authorization_leak_fixture,PASS
G3F-CTX-0262,G3F-MUT-0262,authorization_leak_fixture,PASS
G3F-CTX-0263,G3F-MUT-0263,blocked_fixture_mention,PASS
G3F-CTX-0264,G3F-MUT-0264,authorization_leak_fixture,PASS
G3F-CTX-0265,G3F-MUT-0265,authorization_leak_fixture,PASS
G3F-CTX-0266,G3F-MUT-0266,authorization_leak_fixture,PASS
G3F-CTX-0267,G3F-MUT-0267,authorization_leak_fixture,PASS
G3F-CTX-0268,G3F-MUT-0268,authorization_leak_fixture,PASS
G3F-CTX-0269,G3F-MUT-0269,authorization_leak_fixture,PASS
G3F-CTX-0270,G3F-MUT-0270,authorization_leak_fixture,PASS
G3F-CTX-0271,G3F-MUT-0271,blocked_fixture_mention,PASS
G3F-CTX-0272,G3F-MUT-0272,authorization_leak_fixture,PASS
G3F-CTX-0273,G3F-MUT-0273,authorization_leak_fixture,PASS
G3F-CTX-0274,G3F-MUT-0274,authorization_leak_fixture,PASS
G3F-CTX-0275,G3F-MUT-0275,authorization_leak_fixture,PASS
G3F-CTX-0276,G3F-MUT-0276,authorization_leak_fixture,PASS
G3F-CTX-0277,G3F-MUT-0277,authorization_leak_fixture,PASS
G3F-CTX-0278,G3F-MUT-0278,authorization_leak_fixture,PASS
G3F-CTX-0279,G3F-MUT-0279,blocked_fixture_mention,PASS
G3F-CTX-0280,G3F-MUT-0280,authorization_leak_fixture,PASS
G3F-CTX-0281,G3F-MUT-0281,authorization_leak_fixture,PASS
G3F-CTX-0282,G3F-MUT-0282,authorization_leak_fixture,PASS
G3F-CTX-0283,G3F-MUT-0283,authorization_leak_fixture,PASS
G3F-CTX-0284,G3F-MUT-0284,authorization_leak_fixture,PASS
G3F-CTX-0285,G3F-MUT-0285,authorization_leak_fixture,PASS
G3F-CTX-0286,G3F-MUT-0286,authorization_leak_fixture,PASS
G3F-CTX-0287,G3F-MUT-0287,blocked_fixture_mention,PASS
G3F-CTX-0288,G3F-MUT-0288,authorization_leak_fixture,PASS
G3F-CTX-0289,G3F-MUT-0289,authorization_leak_fixture,PASS
G3F-CTX-0290,G3F-MUT-0290,authorization_leak_fixture,PASS
G3F-CTX-0291,G3F-MUT-0291,authorization_leak_fixture,PASS
G3F-CTX-0292,G3F-MUT-0292,authorization_leak_fixture,PASS
G3F-CTX-0293,G3F-MUT-0293,authorization_leak_fixture,PASS
G3F-CTX-0294,G3F-MUT-0294,authorization_leak_fixture,PASS
G3F-CTX-0295,G3F-MUT-0295,blocked_fixture_mention,PASS
G3F-CTX-0296,G3F-MUT-0296,authorization_leak_fixture,PASS
G3F-CTX-0297,G3F-MUT-0297,authorization_leak_fixture,PASS
G3F-CTX-0298,G3F-MUT-0298,authorization_leak_fixture,PASS
G3F-CTX-0299,G3F-MUT-0299,authorization_leak_fixture,PASS
G3F-CTX-0300,G3F-MUT-0300,authorization_leak_fixture,PASS
G3F-CTX-0301,G3F-MUT-0301,authorization_leak_fixture,PASS
G3F-CTX-0302,G3F-MUT-0302,authorization_leak_fixture,PASS
G3F-CTX-0303,G3F-MUT-0303,blocked_fixture_mention,PASS
G3F-CTX-0304,G3F-MUT-0304,authorization_leak_fixture,PASS
G3F-CTX-0305,G3F-MUT-0305,authorization_leak_fixture,PASS
G3F-CTX-0306,G3F-MUT-0306,authorization_leak_fixture,PASS
G3F-CTX-0307,G3F-MUT-0307,authorization_leak_fixture,PASS
G3F-CTX-0308,G3F-MUT-0308,authorization_leak_fixture,PASS
G3F-CTX-0309,G3F-MUT-0309,authorization_leak_fixture,PASS
G3F-CTX-0310,G3F-MUT-0310,authorization_leak_fixture,PASS
G3F-CTX-0311,G3F-MUT-0311,blocked_fixture_mention,PASS
G3F-CTX-0312,G3F-MUT-0312,authorization_leak_fixture,PASS
G3F-CTX-0313,G3F-MUT-0313,authorization_leak_fixture,PASS
G3F-CTX-0314,G3F-MUT-0314,authorization_leak_fixture,PASS
G3F-CTX-0315,G3F-MUT-0315,authorization_leak_fixture,PASS
G3F-CTX-0316,G3F-MUT-0316,authorization_leak_fixture,PASS
G3F-CTX-0317,G3F-MUT-0317,authorization_leak_fixture,PASS
G3F-CTX-0318,G3F-MUT-0318,authorization_leak_fixture,PASS
G3F-CTX-0319,G3F-MUT-0319,blocked_fixture_mention,PASS
G3F-CTX-0320,G3F-MUT-0320,authorization_leak_fixture,PASS
G3F-CTX-0321,G3F-MUT-0321,authorization_leak_fixture,PASS
G3F-CTX-0322,G3F-MUT-0322,authorization_leak_fixture,PASS
G3F-CTX-0323,G3F-MUT-0323,authorization_leak_fixture,PASS
G3F-CTX-0324,G3F-MUT-0324,authorization_leak_fixture,PASS
G3F-CTX-0325,G3F-MUT-0325,authorization_leak_fixture,PASS
G3F-CTX-0326,G3F-MUT-0326,authorization_leak_fixture,PASS
G3F-CTX-0327,G3F-MUT-0327,blocked_fixture_mention,PASS
G3F-CTX-0328,G3F-MUT-0328,authorization_leak_fixture,PASS
G3F-CTX-0329,G3F-MUT-0329,authorization_leak_fixture,PASS
G3F-CTX-0330,G3F-MUT-0330,authorization_leak_fixture,PASS
G3F-CTX-0331,G3F-MUT-0331,authorization_leak_fixture,PASS
G3F-CTX-0332,G3F-MUT-0332,authorization_leak_fixture,PASS
G3F-CTX-0333,G3F-MUT-0333,authorization_leak_fixture,PASS
G3F-CTX-0334,G3F-MUT-0334,authorization_leak_fixture,PASS
G3F-CTX-0335,G3F-MUT-0335,blocked_fixture_mention,PASS
G3F-CTX-0336,G3F-MUT-0336,authorization_leak_fixture,PASS
G3F-CTX-0337,G3F-MUT-0337,authorization_leak_fixture,PASS
G3F-CTX-0338,G3F-MUT-0338,authorization_leak_fixture,PASS
G3F-CTX-0339,G3F-MUT-0339,authorization_leak_fixture,PASS
G3F-CTX-0340,G3F-MUT-0340,authorization_leak_fixture,PASS
G3F-CTX-0341,G3F-MUT-0341,authorization_leak_fixture,PASS
G3F-CTX-0342,G3F-MUT-0342,authorization_leak_fixture,PASS
G3F-CTX-0343,G3F-MUT-0343,blocked_fixture_mention,PASS
G3F-CTX-0344,G3F-MUT-0344,authorization_leak_fixture,PASS
G3F-CTX-0345,G3F-MUT-0345,authorization_leak_fixture,PASS
G3F-CTX-0346,G3F-MUT-0346,authorization_leak_fixture,PASS
G3F-CTX-0347,G3F-MUT-0347,authorization_leak_fixture,PASS
G3F-CTX-0348,G3F-MUT-0348,authorization_leak_fixture,PASS
G3F-CTX-0349,G3F-MUT-0349,authorization_leak_fixture,PASS
G3F-CTX-0350,G3F-MUT-0350,authorization_leak_fixture,PASS
G3F-CTX-0351,G3F-MUT-0351,blocked_fixture_mention,PASS
G3F-CTX-0352,G3F-MUT-0352,authorization_leak_fixture,PASS
G3F-CTX-0353,G3F-MUT-0353,authorization_leak_fixture,PASS
G3F-CTX-0354,G3F-MUT-0354,authorization_leak_fixture,PASS
G3F-CTX-0355,G3F-MUT-0355,authorization_leak_fixture,PASS
G3F-CTX-0356,G3F-MUT-0356,authorization_leak_fixture,PASS
G3F-CTX-0357,G3F-MUT-0357,authorization_leak_fixture,PASS
G3F-CTX-0358,G3F-MUT-0358,authorization_leak_fixture,PASS
G3F-CTX-0359,G3F-MUT-0359,blocked_fixture_mention,PASS
G3F-CTX-0360,G3F-MUT-0360,authorization_leak_fixture,PASS
G3F-CTX-0361,G3F-MUT-0361,authorization_leak_fixture,PASS
G3F-CTX-0362,G3F-MUT-0362,authorization_leak_fixture,PASS
G3F-CTX-0363,G3F-MUT-0363,authorization_leak_fixture,PASS
G3F-CTX-0364,G3F-MUT-0364,authorization_leak_fixture,PASS
G3F-CTX-0365,G3F-MUT-0365,authorization_leak_fixture,PASS
G3F-CTX-0366,G3F-MUT-0366,authorization_leak_fixture,PASS
G3F-CTX-0367,G3F-MUT-0367,blocked_fixture_mention,PASS
G3F-CTX-0368,G3F-MUT-0368,authorization_leak_fixture,PASS
G3F-CTX-0369,G3F-MUT-0369,authorization_leak_fixture,PASS
G3F-CTX-0370,G3F-MUT-0370,authorization_leak_fixture,PASS
G3F-CTX-0371,G3F-MUT-0371,authorization_leak_fixture,PASS
G3F-CTX-0372,G3F-MUT-0372,authorization_leak_fixture,PASS
G3F-CTX-0373,G3F-MUT-0373,authorization_leak_fixture,PASS
G3F-CTX-0374,G3F-MUT-0374,authorization_leak_fixture,PASS
G3F-CTX-0375,G3F-MUT-0375,blocked_fixture_mention,PASS
G3F-CTX-0376,G3F-MUT-0376,authorization_leak_fixture,PASS
G3F-CTX-0377,G3F-MUT-0377,authorization_leak_fixture,PASS
