mutation_id,mutation_family,expected_result,observed_disposition,validation_status
G3F-MUT-0018,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0019,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0020,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0021,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0022,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0023,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0024,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0025,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0026,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0027,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0028,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0029,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0030,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0031,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0032,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0033,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0034,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0035,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0036,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0037,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0038,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0039,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0040,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0041,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0042,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0043,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0044,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0045,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0046,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0047,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0048,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0049,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0050,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0051,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0052,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0053,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0054,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0055,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0056,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0057,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0058,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0059,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0060,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0061,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0062,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0063,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0064,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0065,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0066,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0067,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0068,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0069,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0070,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0071,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0072,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0073,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0074,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0075,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0076,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0077,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0078,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0079,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0080,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0081,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0082,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0083,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0084,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0085,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0086,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0087,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0088,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0089,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0090,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0091,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0092,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0093,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0094,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0095,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0096,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0097,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0098,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0099,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0100,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0101,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0102,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0103,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0104,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0105,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0106,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0107,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0108,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0109,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0110,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0111,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0112,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0113,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0114,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0115,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0116,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0117,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0118,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0119,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0120,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0121,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0122,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0123,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0124,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0125,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0126,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0127,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0128,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0129,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0130,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0131,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0132,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0133,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0134,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0135,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0136,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0137,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0138,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0139,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0140,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0141,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0142,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0143,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0144,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0145,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0146,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0147,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0148,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0149,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0150,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0151,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0152,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0153,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0154,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0155,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0156,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0157,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0158,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0159,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0160,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0161,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0162,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0163,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0164,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0165,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0166,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0167,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0168,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0169,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0170,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0171,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0172,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0173,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0174,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0175,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0176,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0177,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0178,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0179,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0180,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0181,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0182,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0183,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0184,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0185,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0186,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0187,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0188,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0189,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0190,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0191,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0192,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0193,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0194,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0195,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0196,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0197,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0198,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0199,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0200,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
