adjudication_id,source_side,source_row_id,source_row_kind,workstream,disposition,reason,required_next_gate,delta_class,policy_relevant_conflict,gate2d_ledger_impact,edge_policy_state,qch_sidecar_state,binding_state,allowed_use,blocked_use,future_authorization_required
G3A-ADJ-0001,NODI,G2Z-DOSSIER-0001,dossier,EDGE,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0024,NODI,G2Z-DOSSIER-0024,dossier,EDGE,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0025,NODI,G2Z-DOSSIER-0025,dossier,EDGE,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0026,NODI,G2Z-DOSSIER-0026,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0027,NODI,G2Z-DOSSIER-0027,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0028,NODI,G2Z-DOSSIER-0028,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0029,NODI,G2Z-DOSSIER-0029,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0030,NODI,G2Z-DOSSIER-0030,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0031,NODI,G2Z-DOSSIER-0031,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0032,NODI,G2Z-DOSSIER-0032,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0033,NODI,G2Z-DOSSIER-0033,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0034,NODI,G2Z-DOSSIER-0034,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0035,NODI,G2Z-DOSSIER-0035,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0036,NODI,G2Z-DOSSIER-0036,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0037,NODI,G2Z-DOSSIER-0037,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0038,NODI,G2Z-DOSSIER-0038,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0039,NODI,G2Z-DOSSIER-0039,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0040,NODI,G2Z-DOSSIER-0040,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0041,NODI,G2Z-DOSSIER-0041,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0042,NODI,G2Z-DOSSIER-0042,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0043,NODI,G2Z-DOSSIER-0043,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0044,NODI,G2Z-DOSSIER-0044,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0045,NODI,G2Z-DOSSIER-0045,dossier,QCH,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0046,NODI,G2Z-DOSSIER-0046,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0047,NODI,G2Z-DOSSIER-0047,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0048,NODI,G2Z-DOSSIER-0048,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0049,NODI,G2Z-DOSSIER-0049,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0050,NODI,G2Z-DOSSIER-0050,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0051,NODI,G2Z-DOSSIER-0051,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0052,NODI,G2Z-DOSSIER-0052,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0053,NODI,G2Z-DOSSIER-0053,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0054,NODI,G2Z-DOSSIER-0054,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0055,NODI,G2Z-DOSSIER-0055,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0056,NODI,G2Z-DOSSIER-0056,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0057,NODI,G2Z-DOSSIER-0057,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0058,NODI,G2Z-DOSSIER-0058,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0059,NODI,G2Z-DOSSIER-0059,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0060,NODI,G2Z-DOSSIER-0060,dossier,BINDING,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0061,NODI,G2Z-DOSSIER-0061,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0062,NODI,G2Z-DOSSIER-0062,dossier,LOCAL_Q,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0063,NODI,G2Z-DOSSIER-0063,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0064,NODI,G2Z-DOSSIER-0064,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0065,NODI,G2Z-DOSSIER-0065,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0066,NODI,G2Z-DOSSIER-0066,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0067,NODI,G2Z-DOSSIER-0067,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0068,NODI,G2Z-DOSSIER-0068,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0069,NODI,G2Z-DOSSIER-0069,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0070,NODI,G2Z-DOSSIER-0070,dossier,V4,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
G3A-ADJ-0071,NODI,G2Z-DOSSIER-0071,dossier,TPD_PRS_PROXY,RECEIVE_REVIEW_ONLY,template/synthetic/fixture row is not evidence,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,NODI_stricter,false,none,NOT_APPROVED,ABSENT,FAIL_CLOSED,contract validation and negative-fixture testing,evidence acceptance; formula; weighting; JRC; production/runtime,true
