export_id,source_probe_row_id,closure_classification,pending_closed,true_policy_conflict,lock_candidate_status
G5G-PROBE-0021,G3E-EDGE-021,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0022,G3E-EDGE-022,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0023,G3E-EDGE-023,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0024,G3E-EDGE-024,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0025,G3E-EDGE-025,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0026,G3E-EDGE-026,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0027,G3E-EDGE-027,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0028,G3E-EDGE-028,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0029,G3E-EDGE-029,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0030,G3E-EDGE-030,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0031,G3E-EDGE-031,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0032,G3E-EDGE-032,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0033,G3E-EDGE-033,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0034,G3E-EDGE-034,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0035,G3E-EDGE-035,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0036,G3E-EDGE-036,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0037,G3E-EDGE-037,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0038,G3E-EDGE-038,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0039,G3E-EDGE-039,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0040,G3E-EDGE-040,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0041,G3E-QCH-001,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0042,G3E-QCH-002,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0043,G3E-QCH-003,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0044,G3E-QCH-004,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0045,G3E-QCH-005,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0046,G3E-QCH-006,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0047,G3E-QCH-007,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0048,G3E-QCH-008,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0049,G3E-QCH-009,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0050,G3E-QCH-010,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0051,G3E-QCH-011,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0052,G3E-QCH-012,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0053,G3E-QCH-013,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0054,G3E-QCH-014,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0055,G3E-QCH-015,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0056,G3E-QCH-016,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0057,G3E-QCH-017,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0058,G3E-QCH-018,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0059,G3E-QCH-019,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0060,G3E-QCH-020,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0061,G3E-QCH-021,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0062,G3E-QCH-022,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0063,G3E-QCH-023,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0064,G3E-QCH-024,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0065,G3E-QCH-025,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0066,G3E-QCH-026,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0067,G3E-QCH-027,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0068,G3E-QCH-028,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0069,G3E-QCH-029,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0070,G3E-QCH-030,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0071,G3E-QCH-031,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0072,G3E-QCH-032,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0073,G3E-QCH-033,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0074,G3E-QCH-034,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0075,G3E-QCH-035,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0076,G3E-QCH-036,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0077,G3E-QCH-037,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0078,G3E-QCH-038,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0079,G3E-QCH-039,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0080,G3E-QCH-040,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0081,G3E-BINDING-001,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0082,G3E-BINDING-002,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0083,G3E-BINDING-003,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0084,G3E-BINDING-004,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0085,G3E-BINDING-005,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0086,G3E-BINDING-006,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0087,G3E-BINDING-007,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0088,G3E-BINDING-008,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0089,G3E-BINDING-009,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0090,G3E-BINDING-010,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0091,G3E-BINDING-011,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0092,G3E-BINDING-012,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0093,G3E-BINDING-013,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0094,G3E-BINDING-014,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0095,G3E-BINDING-015,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0096,G3E-BINDING-016,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0097,G3E-BINDING-017,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0098,G3E-BINDING-018,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0099,G3E-BINDING-019,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0100,G3E-BINDING-020,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0101,G3E-BINDING-021,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0102,G3E-BINDING-022,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0103,G3E-BINDING-023,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0104,G3E-BINDING-024,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0105,G3E-BINDING-025,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0106,G3E-BINDING-026,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0107,G3E-BINDING-027,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0108,G3E-BINDING-028,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0109,G3E-BINDING-029,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0110,G3E-BINDING-030,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0111,G3E-BINDING-031,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0112,G3E-BINDING-032,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0113,G3E-BINDING-033,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0114,G3E-BINDING-034,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0115,G3E-BINDING-035,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0116,G3E-BINDING-036,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0117,G3E-BINDING-037,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0118,G3E-BINDING-038,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0119,G3E-BINDING-039,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0120,G3E-BINDING-040,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
