requirement_id,field_name,unit_or_type,requirement,missing_behavior,nodi_allowed_use,nodi_blocked_use,required_next_gate
G10F-REQ-011,runtime_guard_status,enum,none|solver_guard|validation_guard,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-012,source_artifact,path,source descriptor or package path,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-013,source_sha256,sha256,source artifact hash,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-014,row_count,integer,package row count/provenance,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-015,geometry_root,string,route/view/geometry root identity,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-016,claim_boundary,text,review-only geometry identity not measured,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-017,allowed_use,text,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-018,blocked_use,text,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-019,not_evidence,boolean,true unless future gate explicitly changes,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-020,authorization_flags,boolean false,all authorization flags false,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
