contract_row_id,source_field_or_topic,nodi_status,comsol_status,compatibility_status,semantic_conflict,closed_sidewall_propagation,fluidic_proxy_promotion,auth_impact,future_gate
G13G-CONTRACT-021,geometry_surrogate_status,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-022,sidewall_descriptor_binding_status,NODI_GATE11_RELEASED_FIELD,NORMALIZED_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-023,sidewall_prs_v2_requires_descriptor_binding,NODI_GATE11_RELEASED_FIELD,SUPPORTED_BY_REVIEW_ONLY_FIXTURE_GUARD,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-024,sidewall_eas_v2_requires_descriptor_binding,NODI_GATE11_RELEASED_FIELD,SUPPORTED_BY_REVIEW_ONLY_FIXTURE_GUARD,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-025,optical_solver_triggered,NODI_GATE11_RELEASED_FIELD,SUPPORTED_BY_REVIEW_ONLY_FIXTURE_GUARD,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-026,optical_geometry_claim_level,NODI_GATE11_RELEASED_FIELD,SUPPORTED_BY_REVIEW_ONLY_FIXTURE_GUARD,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-027,not_measured_geometry,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-028,not_runtime_configuration,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-029,not_production_ingestion,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-030,NODI_DIRTY_NOT_RELEASED,NODI_GATE11_RELEASED_AT_E29501C,COMSOL_GATE11_TIME_DELTA_MARKER,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
