control_id,adapter_rule_id,input_state,expected_output_state,observed_output_state,accepted_or_authorized_after_adapter,negative_control_status
G5D-NEGCTRL-0021,G5D-NODI-GAP-0021,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0022,G5D-NODI-GAP-0022,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0023,G5D-NODI-GAP-0023,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0024,G5D-NODI-GAP-0024,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0025,G5D-COMSOL-RULE-0001,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0026,G5D-COMSOL-RULE-0002,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0027,G5D-COMSOL-RULE-0003,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0028,G5D-COMSOL-RULE-0004,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0029,G5D-COMSOL-RULE-0005,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0030,G5D-COMSOL-RULE-0006,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0031,G5D-COMSOL-RULE-0007,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0032,G5D-COMSOL-RULE-0008,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0033,G5D-COMSOL-RULE-0009,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0034,G5D-COMSOL-RULE-0010,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0035,G5D-COMSOL-RULE-0011,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0036,G5D-COMSOL-RULE-0012,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0037,G5D-COMSOL-RULE-0013,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0038,G5D-COMSOL-RULE-0014,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0039,G5D-COMSOL-RULE-0015,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0040,G5D-COMSOL-RULE-0016,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0041,G5D-COMSOL-RULE-0017,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0042,G5D-COMSOL-RULE-0018,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0043,G5D-COMSOL-RULE-0019,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0044,G5D-COMSOL-RULE-0020,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0045,G5D-COMSOL-RULE-0021,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0046,G5D-COMSOL-RULE-0022,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0047,G5D-COMSOL-RULE-0023,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0048,G5D-COMSOL-RULE-0024,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0049,G5D-COMSOL-RULE-0025,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0050,G5D-COMSOL-RULE-0026,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0051,G5D-COMSOL-RULE-0027,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0052,G5D-COMSOL-RULE-0028,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0053,G5D-COMSOL-RULE-0029,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0054,G5D-COMSOL-RULE-0030,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0055,G5D-COMSOL-RULE-0031,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0056,G5D-COMSOL-RULE-0032,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0057,G5D-COMSOL-RULE-0033,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0058,G5D-COMSOL-RULE-0034,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0059,G5D-COMSOL-RULE-0035,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0060,G5D-COMSOL-RULE-0036,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0061,G5D-COMSOL-RULE-0037,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0062,G5D-COMSOL-RULE-0038,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0063,G5D-COMSOL-RULE-0039,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0064,G5D-COMSOL-RULE-0040,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0065,G5D-COMSOL-RULE-0041,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0066,G5D-COMSOL-RULE-0042,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0067,G5D-COMSOL-RULE-0043,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0068,G5D-COMSOL-RULE-0044,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0069,G5D-COMSOL-RULE-0045,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0070,G5D-COMSOL-RULE-0046,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0071,G5D-COMSOL-RULE-0047,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0072,G5D-COMSOL-RULE-0048,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0073,G5D-COMSOL-RULE-0049,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0074,G5D-COMSOL-RULE-0050,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0075,G5D-COMSOL-RULE-0051,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0076,G5D-COMSOL-RULE-0052,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0077,G5D-COMSOL-RULE-0053,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0078,G5D-COMSOL-RULE-0054,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0079,G5D-COMSOL-RULE-0055,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0080,G5D-COMSOL-RULE-0056,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0081,G5D-COMSOL-RULE-0057,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0082,G5D-COMSOL-RULE-0058,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0083,G5D-COMSOL-RULE-0059,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0084,G5D-COMSOL-RULE-0060,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0085,G5D-COMSOL-RULE-0061,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0086,G5D-COMSOL-RULE-0062,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0087,G5D-COMSOL-RULE-0063,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0088,G5D-COMSOL-RULE-0064,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0089,G5D-COMSOL-RULE-0065,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0090,G5D-COMSOL-RULE-0066,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0091,G5D-COMSOL-RULE-0067,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0092,G5D-COMSOL-RULE-0068,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0093,G5D-COMSOL-RULE-0069,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0094,G5D-COMSOL-RULE-0070,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0095,G5D-COMSOL-RULE-0071,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0096,G5D-COMSOL-RULE-0072,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0097,G5D-COMSOL-RULE-0073,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0098,G5D-COMSOL-RULE-0074,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0099,G5D-COMSOL-RULE-0075,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0100,G5D-COMSOL-RULE-0076,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0101,G5D-COMSOL-RULE-0077,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0102,G5D-COMSOL-RULE-0078,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0103,G5D-COMSOL-RULE-0079,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0104,G5D-COMSOL-RULE-0080,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
