path,git_status,classification,diff_intent,risk,required_tests,commit_action,unknown_blocker
reports/337_NODI_COMSOL_GATE13K_CROSS_THREAD_PROVENANCE_LEDGER_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/338_NODI_COMSOL_GATE13L_INDEPENDENT_SELF_REVIEW_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/339_NODI_COMSOL_GATE13M_REPORTS_SIDECARS_FILES_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/340_NODI_COMSOL_GATE13N_GIT_CLOSEOUT_PLAN_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/341_NODI_COMSOL_GATE13O_FINAL_HANDOFF_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/342_NODI_COMSOL_GATE13_SIDEWALL_GUARD_CONVERGENCE_MASTER_REPORT_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/343_NODI_COMSOL_GATE13_SIDEWALL_NO_AUTH_LOCK_CERTIFICATE_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/344_NODI_COMSOL_GATE13_SIDEWALL_COMSOL_NEXT_REQUESTS_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/joint_interface_20260629/NODI_COMSOL_GATE13_SIDEWALL_GUARD_CONVERGENCE_REPORT_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
tests/test_nodi_comsol_gate13_sidewall_guard_convergence.py,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
tools/audits/build_nodi_comsol_gate13_sidewall_guard_convergence.py,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
