adapter_id,source_field,target_field,adapter_requirement,authorization_effect
G3E-ADAPT-0001,D_nm,D_nm,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0047,candidate_prs_edge20_ids,candidate_prs_edge20_ids,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0048,candidate_prs_edge20_start_1based,candidate_prs_edge20_start_1based,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0049,candidate_route_family,candidate_route_family,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0050,candidate_status,candidate_status,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0051,carry_forward_status,carry_forward_status,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0052,case_id,case_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0053,check_definition,check_definition,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0054,check_name,check_name,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0055,checks,checks,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0056,chi_selected_authorized,chi_selected_authorized,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0057,claim_boundary,claim_boundary,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0058,claim_promotion_authorized_now,claim_promotion_authorized_now,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0059,columns,columns,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0060,comsol_artifact_id,comsol_artifact_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0061,full_chip/dwg_analysis/gate2_nodi_interface_contract_lib_v2_20260628.py,full_chip/dwg_analysis/gate2_nodi_interface_contract_lib_v2_20260628.py,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0062,full_chip/dwg_analysis/build_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,full_chip/dwg_analysis/build_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0063,full_chip/dwg_analysis/validate_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,full_chip/dwg_analysis/validate_gate2y_to_gate2ae_deep_dossier_audit_20260628.py,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0064,roadmap/COMSOL_GATE2Y_EXPANDED_CANDIDATE_FINGERPRINT_INDEX_20260628.csv,roadmap/COMSOL_GATE2Y_EXPANDED_CANDIDATE_FINGERPRINT_INDEX_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0065,roadmap/COMSOL_GATE2Y_NODI_COMSOL_CENSUS_RECONCILIATION_20260628.csv,roadmap/COMSOL_GATE2Y_NODI_COMSOL_CENSUS_RECONCILIATION_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0066,roadmap/COMSOL_GATE2Y_SCHEMA_FINGERPRINT_DIFF_REGISTER_20260628.csv,roadmap/COMSOL_GATE2Y_SCHEMA_FINGERPRINT_DIFF_REGISTER_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0067,roadmap/COMSOL_GATE2Y_CLASSIFICATION_METHOD_DELTA_REGISTER_20260628.csv,roadmap/COMSOL_GATE2Y_CLASSIFICATION_METHOD_DELTA_REGISTER_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0068,roadmap/COMSOL_GATE2Y_CROSS_CENSUS_RECONCILIATION_PACKET_20260628.md,roadmap/COMSOL_GATE2Y_CROSS_CENSUS_RECONCILIATION_PACKET_20260628.md,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0069,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_INDEX_20260628.csv,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_INDEX_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0070,roadmap/COMSOL_GATE2Z_EDGE_CANDIDATE_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_EDGE_CANDIDATE_DOSSIERS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0071,roadmap/COMSOL_GATE2Z_QCH_CANDIDATE_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_QCH_CANDIDATE_DOSSIERS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0072,roadmap/COMSOL_GATE2Z_BINDING_CANDIDATE_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_BINDING_CANDIDATE_DOSSIERS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0073,roadmap/COMSOL_GATE2Z_OTHER_REVIEW_ONLY_DOSSIERS_20260628.csv,roadmap/COMSOL_GATE2Z_OTHER_REVIEW_ONLY_DOSSIERS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0074,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_PACKET_20260628.md,roadmap/COMSOL_GATE2Z_DEEP_EVIDENCE_DOSSIER_PACKET_20260628.md,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0075,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIALS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0076,roadmap/COMSOL_GATE2AA_EDGE_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_EDGE_CLOSURE_TRIALS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0077,roadmap/COMSOL_GATE2AA_QCH_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_QCH_CLOSURE_TRIALS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0078,roadmap/COMSOL_GATE2AA_BINDING_CLOSURE_TRIALS_20260628.csv,roadmap/COMSOL_GATE2AA_BINDING_CLOSURE_TRIALS_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0079,roadmap/COMSOL_GATE2AA_CLOSURE_TRIAL_BLOCKER_REGISTER_20260628.csv,roadmap/COMSOL_GATE2AA_CLOSURE_TRIAL_BLOCKER_REGISTER_20260628.csv,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0080,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIAL_PACKET_20260628.md,roadmap/COMSOL_GATE2AA_LINEAGE_CLOSURE_TRIAL_PACKET_20260628.md,normalize naming/path only; no semantic promotion,none
