combined_id,source_side,mutation_id,mutation_family,workstream,expected_result,observed_result,unexpected_pass,forbidden_promotion,mutation_type
G5F-COMBINED-0022,NODI_GATE4F,G3F-MUT-0022,grain_ingestion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0023,NODI_GATE4F,G3F-MUT-0023,grain_ingestion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0024,NODI_GATE4F,G3F-MUT-0024,grain_ingestion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0025,NODI_GATE4F,G3F-MUT-0025,accepted_expansion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0026,NODI_GATE4F,G3F-MUT-0026,accepted_expansion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0027,NODI_GATE4F,G3F-MUT-0027,accepted_expansion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0028,NODI_GATE4F,G3F-MUT-0028,accepted_expansion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0029,NODI_GATE4F,G3F-MUT-0029,accepted_expansion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0030,NODI_GATE4F,G3F-MUT-0030,accepted_expansion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0031,NODI_GATE4F,G3F-MUT-0031,q_ch_weighting_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0032,NODI_GATE4F,G3F-MUT-0032,q_ch_weighting_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0033,NODI_GATE4F,G3F-MUT-0033,q_ch_weighting_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0034,NODI_GATE4F,G3F-MUT-0034,q_ch_weighting_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0035,NODI_GATE4F,G3F-MUT-0035,q_ch_weighting_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0036,NODI_GATE4F,G3F-MUT-0036,q_ch_weighting_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0037,NODI_GATE4F,G3F-MUT-0037,JRC_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0038,NODI_GATE4F,G3F-MUT-0038,JRC_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0039,NODI_GATE4F,G3F-MUT-0039,JRC_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0040,NODI_GATE4F,G3F-MUT-0040,JRC_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0041,NODI_GATE4F,G3F-MUT-0041,JRC_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0042,NODI_GATE4F,G3F-MUT-0042,JRC_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0043,NODI_GATE4F,G3F-MUT-0043,production_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0044,NODI_GATE4F,G3F-MUT-0044,production_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0045,NODI_GATE4F,G3F-MUT-0045,production_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0046,NODI_GATE4F,G3F-MUT-0046,production_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0047,NODI_GATE4F,G3F-MUT-0047,production_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0048,NODI_GATE4F,G3F-MUT-0048,production_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0049,NODI_GATE4F,G3F-MUT-0049,runtime_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0050,NODI_GATE4F,G3F-MUT-0050,runtime_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0051,NODI_GATE4F,G3F-MUT-0051,runtime_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0052,NODI_GATE4F,G3F-MUT-0052,runtime_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0053,NODI_GATE4F,G3F-MUT-0053,runtime_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0054,NODI_GATE4F,G3F-MUT-0054,runtime_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0055,NODI_GATE4F,G3F-MUT-0055,numeric_bound_invented,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0056,NODI_GATE4F,G3F-MUT-0056,numeric_bound_invented,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0057,NODI_GATE4F,G3F-MUT-0057,numeric_bound_invented,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0058,NODI_GATE4F,G3F-MUT-0058,numeric_bound_invented,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0059,NODI_GATE4F,G3F-MUT-0059,numeric_bound_invented,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0060,NODI_GATE4F,G3F-MUT-0060,numeric_bound_invented,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0061,NODI_GATE4F,G3F-MUT-0061,formal_qch_false_positive,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0062,NODI_GATE4F,G3F-MUT-0062,formal_qch_false_positive,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0063,NODI_GATE4F,G3F-MUT-0063,formal_qch_false_positive,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0064,NODI_GATE4F,G3F-MUT-0064,formal_qch_false_positive,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0065,NODI_GATE4F,G3F-MUT-0065,formal_qch_false_positive,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0066,NODI_GATE4F,G3F-MUT-0066,formal_qch_false_positive,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0067,NODI_GATE4F,G3F-MUT-0067,220_auto_map,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0068,NODI_GATE4F,G3F-MUT-0068,220_auto_map,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0069,NODI_GATE4F,G3F-MUT-0069,220_auto_map,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0070,NODI_GATE4F,G3F-MUT-0070,220_auto_map,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0071,NODI_GATE4F,G3F-MUT-0071,220_auto_map,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0072,NODI_GATE4F,G3F-MUT-0072,220_auto_map,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0073,NODI_GATE4F,G3F-MUT-0073,D1200_borrow_D900,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0074,NODI_GATE4F,G3F-MUT-0074,D1200_borrow_D900,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0075,NODI_GATE4F,G3F-MUT-0075,D1200_borrow_D900,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0076,NODI_GATE4F,G3F-MUT-0076,D1200_borrow_D900,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0077,NODI_GATE4F,G3F-MUT-0077,D1200_borrow_D900,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0078,NODI_GATE4F,G3F-MUT-0078,D1200_borrow_D900,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0079,NODI_GATE4F,G3F-MUT-0079,missing_NODI_view,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0080,NODI_GATE4F,G3F-MUT-0080,missing_NODI_view,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0081,NODI_GATE4F,G3F-MUT-0081,missing_NODI_view,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0082,NODI_GATE4F,G3F-MUT-0082,missing_NODI_view,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0083,NODI_GATE4F,G3F-MUT-0083,missing_NODI_view,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0084,NODI_GATE4F,G3F-MUT-0084,missing_NODI_view,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0085,NODI_GATE4F,G3F-MUT-0085,edge20_hash_mismatch,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0086,NODI_GATE4F,G3F-MUT-0086,edge20_hash_mismatch,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0087,NODI_GATE4F,G3F-MUT-0087,edge20_hash_mismatch,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0088,NODI_GATE4F,G3F-MUT-0088,edge20_hash_mismatch,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0089,NODI_GATE4F,G3F-MUT-0089,edge20_hash_mismatch,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0090,NODI_GATE4F,G3F-MUT-0090,edge20_hash_mismatch,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0091,NODI_GATE4F,G3F-MUT-0091,non_contiguous_bins,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0092,NODI_GATE4F,G3F-MUT-0092,non_contiguous_bins,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0093,NODI_GATE4F,G3F-MUT-0093,non_contiguous_bins,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0094,NODI_GATE4F,G3F-MUT-0094,non_contiguous_bins,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0095,NODI_GATE4F,G3F-MUT-0095,non_contiguous_bins,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0096,NODI_GATE4F,G3F-MUT-0096,non_contiguous_bins,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0097,NODI_GATE4F,G3F-MUT-0097,missing_units,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0098,NODI_GATE4F,G3F-MUT-0098,missing_units,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0099,NODI_GATE4F,G3F-MUT-0099,missing_units,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0100,NODI_GATE4F,G3F-MUT-0100,missing_units,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0101,NODI_GATE4F,G3F-MUT-0101,missing_units,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0102,NODI_GATE4F,G3F-MUT-0102,missing_units,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0103,NODI_GATE4F,G3F-MUT-0103,missing_normalization,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0104,NODI_GATE4F,G3F-MUT-0104,missing_normalization,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0105,NODI_GATE4F,G3F-MUT-0105,missing_normalization,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0106,NODI_GATE4F,G3F-MUT-0106,missing_normalization,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0107,NODI_GATE4F,G3F-MUT-0107,missing_normalization,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0108,NODI_GATE4F,G3F-MUT-0108,missing_normalization,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0109,NODI_GATE4F,G3F-MUT-0109,missing_source_sha,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0110,NODI_GATE4F,G3F-MUT-0110,missing_source_sha,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0111,NODI_GATE4F,G3F-MUT-0111,missing_source_sha,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0112,NODI_GATE4F,G3F-MUT-0112,missing_source_sha,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0113,NODI_GATE4F,G3F-MUT-0113,missing_source_sha,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0114,NODI_GATE4F,G3F-MUT-0114,missing_source_sha,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0115,NODI_GATE4F,G3F-MUT-0115,row_count_mismatch,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0116,NODI_GATE4F,G3F-MUT-0116,row_count_mismatch,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0117,NODI_GATE4F,G3F-MUT-0117,row_count_mismatch,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0118,NODI_GATE4F,G3F-MUT-0118,row_count_mismatch,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0119,NODI_GATE4F,G3F-MUT-0119,row_count_mismatch,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0120,NODI_GATE4F,G3F-MUT-0120,row_count_mismatch,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0121,NODI_GATE4F,G3F-MUT-0121,template_marked_evidence,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0122,NODI_GATE4F,G3F-MUT-0122,template_marked_evidence,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0123,NODI_GATE4F,G3F-MUT-0123,template_marked_evidence,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0124,NODI_GATE4F,G3F-MUT-0124,template_marked_evidence,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0125,NODI_GATE4F,G3F-MUT-0125,template_marked_evidence,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0126,NODI_GATE4F,G3F-MUT-0126,template_marked_evidence,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0127,NODI_GATE4F,G3F-MUT-0127,policy_use_requested,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0128,NODI_GATE4F,G3F-MUT-0128,policy_use_requested,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0129,NODI_GATE4F,G3F-MUT-0129,policy_use_requested,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0130,NODI_GATE4F,G3F-MUT-0130,policy_use_requested,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0131,NODI_GATE4F,G3F-MUT-0131,policy_use_requested,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0132,NODI_GATE4F,G3F-MUT-0132,policy_use_requested,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0133,NODI_GATE4F,G3F-MUT-0133,cross_workstream_contamination,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0134,NODI_GATE4F,G3F-MUT-0134,cross_workstream_contamination,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0135,NODI_GATE4F,G3F-MUT-0135,cross_workstream_contamination,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0136,NODI_GATE4F,G3F-MUT-0136,cross_workstream_contamination,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0137,NODI_GATE4F,G3F-MUT-0137,cross_workstream_contamination,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0138,NODI_GATE4F,G3F-MUT-0138,cross_workstream_contamination,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0139,NODI_GATE4F,G3F-MUT-0139,dossier_derived_missing_binding,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0140,NODI_GATE4F,G3F-MUT-0140,dossier_derived_missing_binding,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0141,NODI_GATE4F,G3F-MUT-0141,dossier_derived_missing_binding,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0142,NODI_GATE4F,G3F-MUT-0142,dossier_derived_missing_binding,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0143,NODI_GATE4F,G3F-MUT-0143,dossier_derived_missing_binding,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0144,NODI_GATE4F,G3F-MUT-0144,dossier_derived_missing_binding,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0145,NODI_GATE4F,G3F-MUT-0145,dependency_derived_run_marker,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0146,NODI_GATE4F,G3F-MUT-0146,dependency_derived_run_marker,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0147,NODI_GATE4F,G3F-MUT-0147,dependency_derived_run_marker,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0148,NODI_GATE4F,G3F-MUT-0148,dependency_derived_run_marker,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0149,NODI_GATE4F,G3F-MUT-0149,dependency_derived_run_marker,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0150,NODI_GATE4F,G3F-MUT-0150,dependency_derived_run_marker,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0151,NODI_GATE4F,G3F-MUT-0151,probe_package_auth_leak,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0152,NODI_GATE4F,G3F-MUT-0152,probe_package_auth_leak,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0153,NODI_GATE4F,G3F-MUT-0153,probe_package_auth_leak,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0154,NODI_GATE4F,G3F-MUT-0154,probe_package_auth_leak,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0155,NODI_GATE4F,G3F-MUT-0155,probe_package_auth_leak,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0156,NODI_GATE4F,G3F-MUT-0156,probe_package_auth_leak,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0157,NODI_GATE4F,G3F-MUT-0157,false_positive_blocked_mention,EDGE,PASS_CONTROL,PASS_CONTROL,false,false,
G5F-COMBINED-0158,NODI_GATE4F,G3F-MUT-0158,false_positive_blocked_mention,QCH,PASS_CONTROL,PASS_CONTROL,false,false,
G5F-COMBINED-0159,NODI_GATE4F,G3F-MUT-0159,false_positive_blocked_mention,BINDING,PASS_CONTROL,PASS_CONTROL,false,false,
G5F-COMBINED-0160,NODI_GATE4F,G3F-MUT-0160,false_positive_blocked_mention,local-Q,PASS_CONTROL,PASS_CONTROL,false,false,
G5F-COMBINED-0161,NODI_GATE4F,G3F-MUT-0161,false_positive_blocked_mention,V4,PASS_CONTROL,PASS_CONTROL,false,false,
G5F-COMBINED-0162,NODI_GATE4F,G3F-MUT-0162,false_positive_blocked_mention,strong-claim,PASS_CONTROL,PASS_CONTROL,false,false,
G5F-COMBINED-0163,NODI_GATE4F,G3F-MUT-0163,authorization_true+formula_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0164,NODI_GATE4F,G3F-MUT-0164,authorization_true+formula_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0165,NODI_GATE4F,G3F-MUT-0165,authorization_true+formula_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0166,NODI_GATE4F,G3F-MUT-0166,authorization_true+direct_prs_bin_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0167,NODI_GATE4F,G3F-MUT-0167,authorization_true+direct_prs_bin_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0168,NODI_GATE4F,G3F-MUT-0168,authorization_true+direct_prs_bin_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0169,NODI_GATE4F,G3F-MUT-0169,authorization_true+grain_ingestion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0170,NODI_GATE4F,G3F-MUT-0170,authorization_true+grain_ingestion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0171,NODI_GATE4F,G3F-MUT-0171,authorization_true+grain_ingestion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0172,NODI_GATE4F,G3F-MUT-0172,authorization_true+accepted_expansion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0173,NODI_GATE4F,G3F-MUT-0173,authorization_true+accepted_expansion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0174,NODI_GATE4F,G3F-MUT-0174,authorization_true+accepted_expansion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0175,NODI_GATE4F,G3F-MUT-0175,authorization_true+q_ch_weighting_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0176,NODI_GATE4F,G3F-MUT-0176,authorization_true+q_ch_weighting_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0177,NODI_GATE4F,G3F-MUT-0177,authorization_true+q_ch_weighting_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0178,NODI_GATE4F,G3F-MUT-0178,authorization_true+JRC_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0179,NODI_GATE4F,G3F-MUT-0179,authorization_true+JRC_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
