mutation_receipt_id,mutation_id,mutation_type,mutation_family,workstream,expected_result,observed_result,nodi_receipt_status,unexpected_pass
G4F-MUT-0044,G3F-MUT-0044,single,production_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0045,G3F-MUT-0045,single,production_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0046,G3F-MUT-0046,single,production_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0047,G3F-MUT-0047,single,production_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0048,G3F-MUT-0048,single,production_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0049,G3F-MUT-0049,single,runtime_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0050,G3F-MUT-0050,single,runtime_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0051,G3F-MUT-0051,single,runtime_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0052,G3F-MUT-0052,single,runtime_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0053,G3F-MUT-0053,single,runtime_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0054,G3F-MUT-0054,single,runtime_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0055,G3F-MUT-0055,single,numeric_bound_invented,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0056,G3F-MUT-0056,single,numeric_bound_invented,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0057,G3F-MUT-0057,single,numeric_bound_invented,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0058,G3F-MUT-0058,single,numeric_bound_invented,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0059,G3F-MUT-0059,single,numeric_bound_invented,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0060,G3F-MUT-0060,single,numeric_bound_invented,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0061,G3F-MUT-0061,single,formal_qch_false_positive,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0062,G3F-MUT-0062,single,formal_qch_false_positive,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0063,G3F-MUT-0063,single,formal_qch_false_positive,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0064,G3F-MUT-0064,single,formal_qch_false_positive,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0065,G3F-MUT-0065,single,formal_qch_false_positive,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0066,G3F-MUT-0066,single,formal_qch_false_positive,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0067,G3F-MUT-0067,single,220_auto_map,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0068,G3F-MUT-0068,single,220_auto_map,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0069,G3F-MUT-0069,single,220_auto_map,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0070,G3F-MUT-0070,single,220_auto_map,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0071,G3F-MUT-0071,single,220_auto_map,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0072,G3F-MUT-0072,single,220_auto_map,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0073,G3F-MUT-0073,single,D1200_borrow_D900,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0074,G3F-MUT-0074,single,D1200_borrow_D900,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0075,G3F-MUT-0075,single,D1200_borrow_D900,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0076,G3F-MUT-0076,single,D1200_borrow_D900,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0077,G3F-MUT-0077,single,D1200_borrow_D900,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0078,G3F-MUT-0078,single,D1200_borrow_D900,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0079,G3F-MUT-0079,single,missing_NODI_view,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0080,G3F-MUT-0080,single,missing_NODI_view,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0081,G3F-MUT-0081,single,missing_NODI_view,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0082,G3F-MUT-0082,single,missing_NODI_view,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0083,G3F-MUT-0083,single,missing_NODI_view,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0084,G3F-MUT-0084,single,missing_NODI_view,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0085,G3F-MUT-0085,single,edge20_hash_mismatch,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0086,G3F-MUT-0086,single,edge20_hash_mismatch,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0087,G3F-MUT-0087,single,edge20_hash_mismatch,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0088,G3F-MUT-0088,single,edge20_hash_mismatch,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0089,G3F-MUT-0089,single,edge20_hash_mismatch,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0090,G3F-MUT-0090,single,edge20_hash_mismatch,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0091,G3F-MUT-0091,single,non_contiguous_bins,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0092,G3F-MUT-0092,single,non_contiguous_bins,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0093,G3F-MUT-0093,single,non_contiguous_bins,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0094,G3F-MUT-0094,single,non_contiguous_bins,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0095,G3F-MUT-0095,single,non_contiguous_bins,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0096,G3F-MUT-0096,single,non_contiguous_bins,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0097,G3F-MUT-0097,single,missing_units,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0098,G3F-MUT-0098,single,missing_units,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0099,G3F-MUT-0099,single,missing_units,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0100,G3F-MUT-0100,single,missing_units,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0101,G3F-MUT-0101,single,missing_units,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0102,G3F-MUT-0102,single,missing_units,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0103,G3F-MUT-0103,single,missing_normalization,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0104,G3F-MUT-0104,single,missing_normalization,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0105,G3F-MUT-0105,single,missing_normalization,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0106,G3F-MUT-0106,single,missing_normalization,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0107,G3F-MUT-0107,single,missing_normalization,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0108,G3F-MUT-0108,single,missing_normalization,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0109,G3F-MUT-0109,single,missing_source_sha,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0110,G3F-MUT-0110,single,missing_source_sha,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0111,G3F-MUT-0111,single,missing_source_sha,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0112,G3F-MUT-0112,single,missing_source_sha,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0113,G3F-MUT-0113,single,missing_source_sha,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0114,G3F-MUT-0114,single,missing_source_sha,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0115,G3F-MUT-0115,single,row_count_mismatch,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0116,G3F-MUT-0116,single,row_count_mismatch,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0117,G3F-MUT-0117,single,row_count_mismatch,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0118,G3F-MUT-0118,single,row_count_mismatch,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0119,G3F-MUT-0119,single,row_count_mismatch,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0120,G3F-MUT-0120,single,row_count_mismatch,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0121,G3F-MUT-0121,single,template_marked_evidence,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0122,G3F-MUT-0122,single,template_marked_evidence,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0123,G3F-MUT-0123,single,template_marked_evidence,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0124,G3F-MUT-0124,single,template_marked_evidence,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0125,G3F-MUT-0125,single,template_marked_evidence,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0126,G3F-MUT-0126,single,template_marked_evidence,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0127,G3F-MUT-0127,single,policy_use_requested,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0128,G3F-MUT-0128,single,policy_use_requested,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0129,G3F-MUT-0129,single,policy_use_requested,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0130,G3F-MUT-0130,single,policy_use_requested,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0131,G3F-MUT-0131,single,policy_use_requested,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0132,G3F-MUT-0132,single,policy_use_requested,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0133,G3F-MUT-0133,single,cross_workstream_contamination,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0134,G3F-MUT-0134,single,cross_workstream_contamination,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0135,G3F-MUT-0135,single,cross_workstream_contamination,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0136,G3F-MUT-0136,single,cross_workstream_contamination,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0137,G3F-MUT-0137,single,cross_workstream_contamination,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0138,G3F-MUT-0138,single,cross_workstream_contamination,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0139,G3F-MUT-0139,single,dossier_derived_missing_binding,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0140,G3F-MUT-0140,single,dossier_derived_missing_binding,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0141,G3F-MUT-0141,single,dossier_derived_missing_binding,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0142,G3F-MUT-0142,single,dossier_derived_missing_binding,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0143,G3F-MUT-0143,single,dossier_derived_missing_binding,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0144,G3F-MUT-0144,single,dossier_derived_missing_binding,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0145,G3F-MUT-0145,single,dependency_derived_run_marker,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0146,G3F-MUT-0146,single,dependency_derived_run_marker,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0147,G3F-MUT-0147,single,dependency_derived_run_marker,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0148,G3F-MUT-0148,single,dependency_derived_run_marker,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0149,G3F-MUT-0149,single,dependency_derived_run_marker,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0150,G3F-MUT-0150,single,dependency_derived_run_marker,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0151,G3F-MUT-0151,single,probe_package_auth_leak,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0152,G3F-MUT-0152,single,probe_package_auth_leak,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0153,G3F-MUT-0153,single,probe_package_auth_leak,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0154,G3F-MUT-0154,single,probe_package_auth_leak,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0155,G3F-MUT-0155,single,probe_package_auth_leak,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0156,G3F-MUT-0156,single,probe_package_auth_leak,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0157,G3F-MUT-0157,single,false_positive_blocked_mention,EDGE,PASS_CONTROL,PASS_CONTROL,MATCH_EXPECTED_FAIL,false
G4F-MUT-0158,G3F-MUT-0158,single,false_positive_blocked_mention,QCH,PASS_CONTROL,PASS_CONTROL,MATCH_EXPECTED_FAIL,false
G4F-MUT-0159,G3F-MUT-0159,single,false_positive_blocked_mention,BINDING,PASS_CONTROL,PASS_CONTROL,MATCH_EXPECTED_FAIL,false
G4F-MUT-0160,G3F-MUT-0160,single,false_positive_blocked_mention,local-Q,PASS_CONTROL,PASS_CONTROL,MATCH_EXPECTED_FAIL,false
G4F-MUT-0161,G3F-MUT-0161,single,false_positive_blocked_mention,V4,PASS_CONTROL,PASS_CONTROL,MATCH_EXPECTED_FAIL,false
G4F-MUT-0162,G3F-MUT-0162,single,false_positive_blocked_mention,strong-claim,PASS_CONTROL,PASS_CONTROL,MATCH_EXPECTED_FAIL,false
G4F-MUT-0163,G3F-MUT-0163,pairwise,authorization_true+formula_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0164,G3F-MUT-0164,pairwise,authorization_true+formula_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0165,G3F-MUT-0165,pairwise,authorization_true+formula_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0166,G3F-MUT-0166,pairwise,authorization_true+direct_prs_bin_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0167,G3F-MUT-0167,pairwise,authorization_true+direct_prs_bin_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0168,G3F-MUT-0168,pairwise,authorization_true+direct_prs_bin_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0169,G3F-MUT-0169,pairwise,authorization_true+grain_ingestion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0170,G3F-MUT-0170,pairwise,authorization_true+grain_ingestion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0171,G3F-MUT-0171,pairwise,authorization_true+grain_ingestion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
