closure_id,simulation_row_id,source_probe_row_id,workstream,probe_category,comsol_expected_disposition,comsol_simulated_disposition,comsol_actual_source_before_gate5,nodi_gate4_actual_disposition,nodi_gate4_conformance_status,nodi_gate4_mismatch_class,closure_classification,true_policy_conflict,pending_closed,evidence_accepted,authorization_opened
G5B-CLOSURE-0011,G4C-SIM-0011,G3E-EDGE-011,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0012,G4C-SIM-0012,G3E-EDGE-012,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0013,G4C-SIM-0013,G3E-EDGE-013,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0014,G4C-SIM-0014,G3E-EDGE-014,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0015,G4C-SIM-0015,G3E-EDGE-015,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0016,G4C-SIM-0016,G3E-EDGE-016,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0017,G4C-SIM-0017,G3E-EDGE-017,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0018,G4C-SIM-0018,G3E-EDGE-018,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0019,G4C-SIM-0019,G3E-EDGE-019,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0020,G4C-SIM-0020,G3E-EDGE-020,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0021,G4C-SIM-0021,G3E-EDGE-021,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0022,G4C-SIM-0022,G3E-EDGE-022,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0023,G4C-SIM-0023,G3E-EDGE-023,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0024,G4C-SIM-0024,G3E-EDGE-024,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0025,G4C-SIM-0025,G3E-EDGE-025,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0026,G4C-SIM-0026,G3E-EDGE-026,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0027,G4C-SIM-0027,G3E-EDGE-027,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0028,G4C-SIM-0028,G3E-EDGE-028,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0029,G4C-SIM-0029,G3E-EDGE-029,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0030,G4C-SIM-0030,G3E-EDGE-030,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0031,G4C-SIM-0031,G3E-EDGE-031,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0032,G4C-SIM-0032,G3E-EDGE-032,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0033,G4C-SIM-0033,G3E-EDGE-033,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0034,G4C-SIM-0034,G3E-EDGE-034,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0035,G4C-SIM-0035,G3E-EDGE-035,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0036,G4C-SIM-0036,G3E-EDGE-036,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0037,G4C-SIM-0037,G3E-EDGE-037,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0038,G4C-SIM-0038,G3E-EDGE-038,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0039,G4C-SIM-0039,G3E-EDGE-039,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0040,G4C-SIM-0040,G3E-EDGE-040,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0041,G4C-SIM-0041,G3E-QCH-001,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0042,G4C-SIM-0042,G3E-QCH-002,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0043,G4C-SIM-0043,G3E-QCH-003,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0044,G4C-SIM-0044,G3E-QCH-004,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0045,G4C-SIM-0045,G3E-QCH-005,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0046,G4C-SIM-0046,G3E-QCH-006,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0047,G4C-SIM-0047,G3E-QCH-007,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0048,G4C-SIM-0048,G3E-QCH-008,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0049,G4C-SIM-0049,G3E-QCH-009,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0050,G4C-SIM-0050,G3E-QCH-010,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0051,G4C-SIM-0051,G3E-QCH-011,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0052,G4C-SIM-0052,G3E-QCH-012,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0053,G4C-SIM-0053,G3E-QCH-013,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0054,G4C-SIM-0054,G3E-QCH-014,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0055,G4C-SIM-0055,G3E-QCH-015,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0056,G4C-SIM-0056,G3E-QCH-016,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0057,G4C-SIM-0057,G3E-QCH-017,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0058,G4C-SIM-0058,G3E-QCH-018,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0059,G4C-SIM-0059,G3E-QCH-019,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0060,G4C-SIM-0060,G3E-QCH-020,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0061,G4C-SIM-0061,G3E-QCH-021,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0062,G4C-SIM-0062,G3E-QCH-022,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0063,G4C-SIM-0063,G3E-QCH-023,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0064,G4C-SIM-0064,G3E-QCH-024,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0065,G4C-SIM-0065,G3E-QCH-025,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0066,G4C-SIM-0066,G3E-QCH-026,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0067,G4C-SIM-0067,G3E-QCH-027,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0068,G4C-SIM-0068,G3E-QCH-028,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0069,G4C-SIM-0069,G3E-QCH-029,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0070,G4C-SIM-0070,G3E-QCH-030,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0071,G4C-SIM-0071,G3E-QCH-031,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0072,G4C-SIM-0072,G3E-QCH-032,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0073,G4C-SIM-0073,G3E-QCH-033,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0074,G4C-SIM-0074,G3E-QCH-034,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0075,G4C-SIM-0075,G3E-QCH-035,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0076,G4C-SIM-0076,G3E-QCH-036,QCH,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0077,G4C-SIM-0077,G3E-QCH-037,QCH,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0078,G4C-SIM-0078,G3E-QCH-038,QCH,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0079,G4C-SIM-0079,G3E-QCH-039,QCH,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0080,G4C-SIM-0080,G3E-QCH-040,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
