compatibility_id,source_version,target_version,canonical_field,present_in_source,present_in_rc51,compatibility_class,package_disposition,requires_user_authorization,hard_incompatible
G7D-RC3-0033,RC3,RC5.1,can_fix_without_new_comsol_solve,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0034,RC3,RC5.1,can_repair_without_new_solve,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0035,RC3,RC5.1,candidate_claim,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0036,RC3,RC5.1,candidate_edge20_bins_covered,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0037,RC3,RC5.1,candidate_export_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0038,RC3,RC5.1,candidate_prs_edge20_end_1based,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0039,RC3,RC5.1,candidate_prs_edge20_ids,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0040,RC3,RC5.1,candidate_prs_edge20_start_1based,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0041,RC3,RC5.1,candidate_route_family,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0042,RC3,RC5.1,candidate_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0043,RC3,RC5.1,carry_forward_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0044,RC3,RC5.1,case_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0045,RC3,RC5.1,check_definition,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0046,RC3,RC5.1,check_name,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0047,RC3,RC5.1,checks,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0048,RC3,RC5.1,chi_selected_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0049,RC3,RC5.1,claim_boundary,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0050,RC3,RC5.1,claim_promotion_authorized_now,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0051,RC3,RC5.1,columns,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0052,RC3,RC5.1,comsol_artifact_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0053,RC3,RC5.1,comsol_artifact_path,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0054,RC3,RC5.1,comsol_evidence_or_gap,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0055,RC3,RC5.1,comsol_gate2g_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0056,RC3,RC5.1,comsol_gate_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0057,RC3,RC5.1,comsol_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0058,RC3,RC5.1,conservativeness_check_required,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0059,RC3,RC5.1,conservativeness_metric,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0060,RC3,RC5.1,conservativeness_rule,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0061,RC3,RC5.1,conservativeness_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0062,RC3,RC5.1,consumer_candidate,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0063,RC3,RC5.1,coverage_complete,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0064,RC3,RC5.1,coverage_contiguous,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0065,RC3,RC5.1,coverage_nonoverlap_claim_scope,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0066,RC3,RC5.1,current_blocker,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0067,RC3,RC5.1,current_source,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0068,RC3,RC5.1,current_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0069,RC3,RC5.1,current_support_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0070,RC3,RC5.1,d_nm,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0071,RC3,RC5.1,decision_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0072,RC3,RC5.1,depth_coverage,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0073,RC3,RC5.1,depth_family,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0074,RC3,RC5.1,depth_or_channel_family,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0075,RC3,RC5.1,depth_um,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0076,RC3,RC5.1,derived_artifact,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0077,RC3,RC5.1,description,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0078,RC3,RC5.1,diagnostic_check_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0079,RC3,RC5.1,diameter_binding_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0080,RC3,RC5.1,diameter_coverage,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0081,RC3,RC5.1,diameter_nm,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0082,RC3,RC5.1,direct_prs_bin_claim_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0083,RC3,RC5.1,direct_prs_bin_use_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0084,RC3,RC5.1,direct_prs_bin_use_authorized_default,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0085,RC3,RC5.1,disposition,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0086,RC3,RC5.1,distribution_type_required,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0087,RC3,RC5.1,dossier_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0088,RC3,RC5.1,edge20_bin_count,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0089,RC3,RC5.1,edge20_bin_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0090,RC3,RC5.1,edge20_bins_covered,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0091,RC3,RC5.1,edge20_definition_hash,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0092,RC3,RC5.1,edge20_reference_units,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0093,RC3,RC5.1,edge20_reference_value,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0094,RC3,RC5.1,edge4_aggregate_value,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0095,RC3,RC5.1,edge4_bin_label,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0096,RC3,RC5.1,edge4_max,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0097,RC3,RC5.1,edge4_min,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0098,RC3,RC5.1,edge4_to_edge20_policy,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0099,RC3,RC5.1,edge_bin_label,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0100,RC3,RC5.1,edge_deliverable_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0101,RC3,RC5.1,edge_norm_max,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0102,RC3,RC5.1,edge_norm_min,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0103,RC3,RC5.1,error_bound_lower,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0104,RC3,RC5.1,error_bound_upper,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0105,RC3,RC5.1,error_loss_semantics,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0106,RC3,RC5.1,evidence_class,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0107,RC3,RC5.1,evidence_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0108,RC3,RC5.1,exact_claim_made_by_comsol,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0109,RC3,RC5.1,exact_nodi_prs_match_claim,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0110,RC3,RC5.1,exact_prs_match_claim_by_comsol,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0111,RC3,RC5.1,example_value_policy,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0112,RC3,RC5.1,expected_base_edge_bins,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0113,RC3,RC5.1,expected_events_per_base_bin_per_seed,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0114,RC3,RC5.1,expected_nodi_disposition,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0115,RC3,RC5.1,expected_result_enum,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0116,RC3,RC5.1,expected_rows_per_route_diameter_view,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0117,RC3,RC5.1,expected_special_aggregates,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0118,RC3,RC5.1,expected_xz_bins,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0119,RC3,RC5.1,field_name,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0120,RC3,RC5.1,flow_split_units,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0121,RC3,RC5.1,flow_split_value,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0122,RC3,RC5.1,forbidden_auth_flag_state,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0123,RC3,RC5.1,forbidden_interpretations,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0124,RC3,RC5.1,forbidden_repair,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0125,RC3,RC5.1,formal_qch_sidecar_present,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0126,RC3,RC5.1,formula_exclusion_active,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0127,RC3,RC5.1,formula_use_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0128,RC3,RC5.1,formula_use_authorized_default,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0129,RC3,RC5.1,future_authorization_required,false,true,receiver-only guard,adapter dry-run allowed,false,false
G7D-RC3-0130,RC3,RC5.1,gate2b_artifact_level_context_candidate,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0131,RC3,RC5.1,gate2b_context_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0132,RC3,RC5.1,gate2b_grain_level_context_ingestion_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0133,RC3,RC5.1,gate2c_alignment_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0134,RC3,RC5.1,gate2c_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0135,RC3,RC5.1,gate2d_candidate_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0136,RC3,RC5.1,gate2f_edge_evidence_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0137,RC3,RC5.1,gate2k_template_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0138,RC3,RC5.1,generation_preparation_authorized_now,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0139,RC3,RC5.1,grain_level_ingestion_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0140,RC3,RC5.1,grain_level_ingestion_authorized_default,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0141,RC3,RC5.1,grain_level_ingestion_policy,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0142,RC3,RC5.1,grouping_basis,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0143,RC3,RC5.1,hash_stability_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0144,RC3,RC5.1,hook_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0145,RC3,RC5.1,human_review_required,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0146,RC3,RC5.1,information_loss_description,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0147,RC3,RC5.1,integration_surface_or_volume_definition,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0148,RC3,RC5.1,is_chi_selected,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0149,RC3,RC5.1,is_formal_gate2_qch_sidecar,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0150,RC3,RC5.1,is_formal_policy_evidence,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0151,RC3,RC5.1,is_policy_result,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0152,RC3,RC5.1,jrc_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0153,RC3,RC5.1,lambda_nm,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0154,RC3,RC5.1,launch_authorized_now,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0155,RC3,RC5.1,lineage_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0156,RC3,RC5.1,loss_error_policy_approval_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0157,RC3,RC5.1,loss_error_requirement_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0158,RC3,RC5.1,loss_error_requirement_set_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0159,RC3,RC5.1,manifest_link,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0160,RC3,RC5.1,mesh_size,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0161,RC3,RC5.1,mismatch_blocker_if_any,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0162,RC3,RC5.1,missing_binding,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0163,RC3,RC5.1,missing_required_fields,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0164,RC3,RC5.1,monotonicity_allowed_exceptions,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0165,RC3,RC5.1,monotonicity_check_required,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0166,RC3,RC5.1,monotonicity_direction,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0167,RC3,RC5.1,monotonicity_metric,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0168,RC3,RC5.1,monotonicity_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0169,RC3,RC5.1,must_remain_review_only_if,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0170,RC3,RC5.1,mutation_id,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0171,RC3,RC5.1,needed_from_comsol,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0172,RC3,RC5.1,needed_from_nodi,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0173,RC3,RC5.1,nodi_automation_binding_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0174,RC3,RC5.1,nodi_bin_binding_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0175,RC3,RC5.1,nodi_check_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0176,RC3,RC5.1,nodi_current_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0177,RC3,RC5.1,nodi_diameter_binding_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0178,RC3,RC5.1,nodi_edge20_definition_hash,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0179,RC3,RC5.1,nodi_expected_verdict,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0180,RC3,RC5.1,nodi_receipt_support_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0181,RC3,RC5.1,nodi_receiver_target,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0182,RC3,RC5.1,nodi_required_evidence,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0183,RC3,RC5.1,nodi_route_key_candidate,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0184,RC3,RC5.1,nodi_view,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0185,RC3,RC5.1,nodi_view_binding_policy,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0186,RC3,RC5.1,nodi_view_binding_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0187,RC3,RC5.1,nodi_view_current,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0188,RC3,RC5.1,nodi_view_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0189,RC3,RC5.1,normalization_available,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0190,RC3,RC5.1,normalization_basis,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0191,RC3,RC5.1,normalization_requirement,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0192,RC3,RC5.1,normalization_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0193,RC3,RC5.1,not_evidence,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0194,RC3,RC5.1,notes,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0195,RC3,RC5.1,numeric_aggregation_error_bound_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0196,RC3,RC5.1,numeric_error_bound_units,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0197,RC3,RC5.1,numeric_error_bound_value,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0198,RC3,RC5.1,numeric_error_units,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0199,RC3,RC5.1,numeric_error_value,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0200,RC3,RC5.1,outlet_entity_count,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0201,RC3,RC5.1,package_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0202,RC3,RC5.1,package_row_id,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0203,RC3,RC5.1,particle_kind,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0204,RC3,RC5.1,path,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0205,RC3,RC5.1,policy_approval_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0206,RC3,RC5.1,policy_option,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0207,RC3,RC5.1,policy_option_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0208,RC3,RC5.1,policy_review_ready,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0209,RC3,RC5.1,policy_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0210,RC3,RC5.1,policy_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0211,RC3,RC5.1,policy_use_requested,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0212,RC3,RC5.1,policy_use_requested_default,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0213,RC3,RC5.1,priority,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0214,RC3,RC5.1,probe_category,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0215,RC3,RC5.1,probe_row_id,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0216,RC3,RC5.1,production_ingestion_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0217,RC3,RC5.1,proposed_edge20_bins_covered,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0218,RC3,RC5.1,proposed_edge20_group_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0219,RC3,RC5.1,proposed_edge20_group_id_or_pending,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0220,RC3,RC5.1,proposed_gate,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0221,RC3,RC5.1,proposed_next_artifact,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0222,RC3,RC5.1,proposed_scope,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0223,RC3,RC5.1,proposed_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0224,RC3,RC5.1,provenance_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0225,RC3,RC5.1,prs_exact_match_claim,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0226,RC3,RC5.1,q_ch_units,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0227,RC3,RC5.1,q_ch_value,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0228,RC3,RC5.1,qch_chi_eta_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0229,RC3,RC5.1,qch_eta_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0230,RC3,RC5.1,qch_template_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0231,RC3,RC5.1,qch_weighting_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0232,RC3,RC5.1,raw_residence_fraction,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0233,RC3,RC5.1,raw_velocity_fraction,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0234,RC3,RC5.1,readiness_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0235,RC3,RC5.1,reason,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0236,RC3,RC5.1,recommended_gate2b_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0237,RC3,RC5.1,recommended_nodi_action,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0238,RC3,RC5.1,recommended_nodi_reconciled_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0239,RC3,RC5.1,reference_row_id,false,true,producer-only optional,adapter dry-run allowed,false,false
