corpus_id,source,case_family,workstream,expected_disposition,not_evidence
G7F-CORPUS-00025,NODI_GATE5F,accepted_expansion_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00026,NODI_GATE5F,accepted_expansion_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00027,NODI_GATE5F,accepted_expansion_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00028,NODI_GATE5F,accepted_expansion_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00029,NODI_GATE5F,accepted_expansion_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00030,NODI_GATE5F,accepted_expansion_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00031,NODI_GATE5F,q_ch_weighting_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00032,NODI_GATE5F,q_ch_weighting_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00033,NODI_GATE5F,q_ch_weighting_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00034,NODI_GATE5F,q_ch_weighting_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00035,NODI_GATE5F,q_ch_weighting_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00036,NODI_GATE5F,q_ch_weighting_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00037,NODI_GATE5F,JRC_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00038,NODI_GATE5F,JRC_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00039,NODI_GATE5F,JRC_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00040,NODI_GATE5F,JRC_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00041,NODI_GATE5F,JRC_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00042,NODI_GATE5F,JRC_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00043,NODI_GATE5F,production_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00044,NODI_GATE5F,production_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00045,NODI_GATE5F,production_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00046,NODI_GATE5F,production_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00047,NODI_GATE5F,production_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00048,NODI_GATE5F,production_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00049,NODI_GATE5F,runtime_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00050,NODI_GATE5F,runtime_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00051,NODI_GATE5F,runtime_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00052,NODI_GATE5F,runtime_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00053,NODI_GATE5F,runtime_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00054,NODI_GATE5F,runtime_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00055,NODI_GATE5F,numeric_bound_invented,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00056,NODI_GATE5F,numeric_bound_invented,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00057,NODI_GATE5F,numeric_bound_invented,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00058,NODI_GATE5F,numeric_bound_invented,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00059,NODI_GATE5F,numeric_bound_invented,V4,REJECT_BLOCKED,true
G7F-CORPUS-00060,NODI_GATE5F,numeric_bound_invented,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00061,NODI_GATE5F,formal_qch_false_positive,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00062,NODI_GATE5F,formal_qch_false_positive,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00063,NODI_GATE5F,formal_qch_false_positive,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00064,NODI_GATE5F,formal_qch_false_positive,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00065,NODI_GATE5F,formal_qch_false_positive,V4,REJECT_BLOCKED,true
G7F-CORPUS-00066,NODI_GATE5F,formal_qch_false_positive,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00067,NODI_GATE5F,220_auto_map,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00068,NODI_GATE5F,220_auto_map,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00069,NODI_GATE5F,220_auto_map,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00070,NODI_GATE5F,220_auto_map,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00071,NODI_GATE5F,220_auto_map,V4,REJECT_BLOCKED,true
G7F-CORPUS-00072,NODI_GATE5F,220_auto_map,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00073,NODI_GATE5F,D1200_borrow_D900,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00074,NODI_GATE5F,D1200_borrow_D900,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00075,NODI_GATE5F,D1200_borrow_D900,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00076,NODI_GATE5F,D1200_borrow_D900,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00077,NODI_GATE5F,D1200_borrow_D900,V4,REJECT_BLOCKED,true
G7F-CORPUS-00078,NODI_GATE5F,D1200_borrow_D900,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00079,NODI_GATE5F,missing_NODI_view,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00080,NODI_GATE5F,missing_NODI_view,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00081,NODI_GATE5F,missing_NODI_view,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00082,NODI_GATE5F,missing_NODI_view,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00083,NODI_GATE5F,missing_NODI_view,V4,REJECT_BLOCKED,true
G7F-CORPUS-00084,NODI_GATE5F,missing_NODI_view,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00085,NODI_GATE5F,edge20_hash_mismatch,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00086,NODI_GATE5F,edge20_hash_mismatch,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00087,NODI_GATE5F,edge20_hash_mismatch,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00088,NODI_GATE5F,edge20_hash_mismatch,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00089,NODI_GATE5F,edge20_hash_mismatch,V4,REJECT_BLOCKED,true
G7F-CORPUS-00090,NODI_GATE5F,edge20_hash_mismatch,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00091,NODI_GATE5F,non_contiguous_bins,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00092,NODI_GATE5F,non_contiguous_bins,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00093,NODI_GATE5F,non_contiguous_bins,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00094,NODI_GATE5F,non_contiguous_bins,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00095,NODI_GATE5F,non_contiguous_bins,V4,REJECT_BLOCKED,true
G7F-CORPUS-00096,NODI_GATE5F,non_contiguous_bins,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00097,NODI_GATE5F,missing_units,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00098,NODI_GATE5F,missing_units,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00099,NODI_GATE5F,missing_units,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00100,NODI_GATE5F,missing_units,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00101,NODI_GATE5F,missing_units,V4,REJECT_BLOCKED,true
G7F-CORPUS-00102,NODI_GATE5F,missing_units,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00103,NODI_GATE5F,missing_normalization,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00104,NODI_GATE5F,missing_normalization,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00105,NODI_GATE5F,missing_normalization,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00106,NODI_GATE5F,missing_normalization,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00107,NODI_GATE5F,missing_normalization,V4,REJECT_BLOCKED,true
G7F-CORPUS-00108,NODI_GATE5F,missing_normalization,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00109,NODI_GATE5F,missing_source_sha,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00110,NODI_GATE5F,missing_source_sha,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00111,NODI_GATE5F,missing_source_sha,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00112,NODI_GATE5F,missing_source_sha,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00113,NODI_GATE5F,missing_source_sha,V4,REJECT_BLOCKED,true
G7F-CORPUS-00114,NODI_GATE5F,missing_source_sha,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00115,NODI_GATE5F,row_count_mismatch,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00116,NODI_GATE5F,row_count_mismatch,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00117,NODI_GATE5F,row_count_mismatch,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00118,NODI_GATE5F,row_count_mismatch,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00119,NODI_GATE5F,row_count_mismatch,V4,REJECT_BLOCKED,true
G7F-CORPUS-00120,NODI_GATE5F,row_count_mismatch,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00121,NODI_GATE5F,template_marked_evidence,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00122,NODI_GATE5F,template_marked_evidence,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00123,NODI_GATE5F,template_marked_evidence,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00124,NODI_GATE5F,template_marked_evidence,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00125,NODI_GATE5F,template_marked_evidence,V4,REJECT_BLOCKED,true
G7F-CORPUS-00126,NODI_GATE5F,template_marked_evidence,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00127,NODI_GATE5F,policy_use_requested,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00128,NODI_GATE5F,policy_use_requested,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00129,NODI_GATE5F,policy_use_requested,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00130,NODI_GATE5F,policy_use_requested,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00131,NODI_GATE5F,policy_use_requested,V4,REJECT_BLOCKED,true
G7F-CORPUS-00132,NODI_GATE5F,policy_use_requested,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00133,NODI_GATE5F,cross_workstream_contamination,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00134,NODI_GATE5F,cross_workstream_contamination,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00135,NODI_GATE5F,cross_workstream_contamination,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00136,NODI_GATE5F,cross_workstream_contamination,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00137,NODI_GATE5F,cross_workstream_contamination,V4,REJECT_BLOCKED,true
G7F-CORPUS-00138,NODI_GATE5F,cross_workstream_contamination,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00139,NODI_GATE5F,dossier_derived_missing_binding,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00140,NODI_GATE5F,dossier_derived_missing_binding,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00141,NODI_GATE5F,dossier_derived_missing_binding,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00142,NODI_GATE5F,dossier_derived_missing_binding,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00143,NODI_GATE5F,dossier_derived_missing_binding,V4,REJECT_BLOCKED,true
G7F-CORPUS-00144,NODI_GATE5F,dossier_derived_missing_binding,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00145,NODI_GATE5F,dependency_derived_run_marker,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00146,NODI_GATE5F,dependency_derived_run_marker,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00147,NODI_GATE5F,dependency_derived_run_marker,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00148,NODI_GATE5F,dependency_derived_run_marker,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00149,NODI_GATE5F,dependency_derived_run_marker,V4,REJECT_BLOCKED,true
G7F-CORPUS-00150,NODI_GATE5F,dependency_derived_run_marker,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00151,NODI_GATE5F,probe_package_auth_leak,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00152,NODI_GATE5F,probe_package_auth_leak,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00153,NODI_GATE5F,probe_package_auth_leak,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00154,NODI_GATE5F,probe_package_auth_leak,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00155,NODI_GATE5F,probe_package_auth_leak,V4,REJECT_BLOCKED,true
G7F-CORPUS-00156,NODI_GATE5F,probe_package_auth_leak,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00157,NODI_GATE5F,false_positive_blocked_mention,EDGE,RECEIVE_REVIEW_ONLY,true
G7F-CORPUS-00158,NODI_GATE5F,false_positive_blocked_mention,QCH,RECEIVE_REVIEW_ONLY,true
G7F-CORPUS-00159,NODI_GATE5F,false_positive_blocked_mention,BINDING,RECEIVE_REVIEW_ONLY,true
G7F-CORPUS-00160,NODI_GATE5F,false_positive_blocked_mention,local-Q,RECEIVE_REVIEW_ONLY,true
G7F-CORPUS-00161,NODI_GATE5F,false_positive_blocked_mention,V4,RECEIVE_REVIEW_ONLY,true
G7F-CORPUS-00162,NODI_GATE5F,false_positive_blocked_mention,strong-claim,RECEIVE_REVIEW_ONLY,true
G7F-CORPUS-00163,NODI_GATE5F,authorization_true+formula_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00164,NODI_GATE5F,authorization_true+formula_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00165,NODI_GATE5F,authorization_true+formula_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00166,NODI_GATE5F,authorization_true+direct_prs_bin_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00167,NODI_GATE5F,authorization_true+direct_prs_bin_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00168,NODI_GATE5F,authorization_true+direct_prs_bin_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00169,NODI_GATE5F,authorization_true+grain_ingestion_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00170,NODI_GATE5F,authorization_true+grain_ingestion_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00171,NODI_GATE5F,authorization_true+grain_ingestion_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00172,NODI_GATE5F,authorization_true+accepted_expansion_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00173,NODI_GATE5F,authorization_true+accepted_expansion_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00174,NODI_GATE5F,authorization_true+accepted_expansion_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00175,NODI_GATE5F,authorization_true+q_ch_weighting_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00176,NODI_GATE5F,authorization_true+q_ch_weighting_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00177,NODI_GATE5F,authorization_true+q_ch_weighting_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00178,NODI_GATE5F,authorization_true+JRC_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00179,NODI_GATE5F,authorization_true+JRC_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00180,NODI_GATE5F,authorization_true+JRC_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00181,NODI_GATE5F,authorization_true+production_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00182,NODI_GATE5F,authorization_true+production_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00183,NODI_GATE5F,authorization_true+production_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00184,NODI_GATE5F,authorization_true+runtime_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00185,NODI_GATE5F,authorization_true+runtime_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00186,NODI_GATE5F,authorization_true+runtime_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00187,NODI_GATE5F,authorization_true+numeric_bound_invented,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00188,NODI_GATE5F,authorization_true+numeric_bound_invented,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00189,NODI_GATE5F,authorization_true+numeric_bound_invented,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00190,NODI_GATE5F,authorization_true+formal_qch_false_positive,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00191,NODI_GATE5F,authorization_true+formal_qch_false_positive,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00192,NODI_GATE5F,authorization_true+formal_qch_false_positive,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00193,NODI_GATE5F,authorization_true+220_auto_map,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00194,NODI_GATE5F,authorization_true+220_auto_map,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00195,NODI_GATE5F,authorization_true+220_auto_map,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00196,NODI_GATE5F,authorization_true+D1200_borrow_D900,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00197,NODI_GATE5F,authorization_true+D1200_borrow_D900,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00198,NODI_GATE5F,authorization_true+D1200_borrow_D900,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00199,NODI_GATE5F,authorization_true+missing_NODI_view,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00200,NODI_GATE5F,authorization_true+missing_NODI_view,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00201,NODI_GATE5F,authorization_true+missing_NODI_view,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00202,NODI_GATE5F,authorization_true+edge20_hash_mismatch,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00203,NODI_GATE5F,authorization_true+edge20_hash_mismatch,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00204,NODI_GATE5F,authorization_true+edge20_hash_mismatch,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00205,NODI_GATE5F,authorization_true+non_contiguous_bins,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00206,NODI_GATE5F,authorization_true+non_contiguous_bins,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00207,NODI_GATE5F,authorization_true+non_contiguous_bins,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00208,NODI_GATE5F,authorization_true+missing_units,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00209,NODI_GATE5F,authorization_true+missing_units,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00210,NODI_GATE5F,authorization_true+missing_units,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00211,NODI_GATE5F,authorization_true+missing_normalization,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00212,NODI_GATE5F,authorization_true+missing_normalization,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00213,NODI_GATE5F,authorization_true+missing_normalization,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00214,NODI_GATE5F,authorization_true+missing_source_sha,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00215,NODI_GATE5F,authorization_true+missing_source_sha,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00216,NODI_GATE5F,authorization_true+missing_source_sha,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00217,NODI_GATE5F,authorization_true+row_count_mismatch,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00218,NODI_GATE5F,authorization_true+row_count_mismatch,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00219,NODI_GATE5F,authorization_true+row_count_mismatch,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00220,NODI_GATE5F,authorization_true+template_marked_evidence,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00221,NODI_GATE5F,authorization_true+template_marked_evidence,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00222,NODI_GATE5F,authorization_true+template_marked_evidence,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00223,NODI_GATE5F,authorization_true+policy_use_requested,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00224,NODI_GATE5F,authorization_true+policy_use_requested,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00225,NODI_GATE5F,authorization_true+policy_use_requested,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00226,NODI_GATE5F,authorization_true+cross_workstream_contamination,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00227,NODI_GATE5F,authorization_true+cross_workstream_contamination,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00228,NODI_GATE5F,authorization_true+cross_workstream_contamination,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00229,NODI_GATE5F,authorization_true+dossier_derived_missing_binding,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00230,NODI_GATE5F,authorization_true+dossier_derived_missing_binding,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00231,NODI_GATE5F,authorization_true+dossier_derived_missing_binding,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00232,NODI_GATE5F,authorization_true+dependency_derived_run_marker,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00233,NODI_GATE5F,authorization_true+dependency_derived_run_marker,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00234,NODI_GATE5F,authorization_true+dependency_derived_run_marker,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00235,NODI_GATE5F,authorization_true+probe_package_auth_leak,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00236,NODI_GATE5F,authorization_true+probe_package_auth_leak,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00237,NODI_GATE5F,authorization_true+probe_package_auth_leak,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00238,NODI_GATE5F,formula_true+direct_prs_bin_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00239,NODI_GATE5F,formula_true+direct_prs_bin_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00240,NODI_GATE5F,formula_true+direct_prs_bin_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00241,NODI_GATE5F,formula_true+grain_ingestion_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00242,NODI_GATE5F,formula_true+grain_ingestion_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00243,NODI_GATE5F,formula_true+grain_ingestion_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00244,NODI_GATE5F,formula_true+accepted_expansion_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00245,NODI_GATE5F,formula_true+accepted_expansion_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00246,NODI_GATE5F,formula_true+accepted_expansion_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00247,NODI_GATE5F,formula_true+q_ch_weighting_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00248,NODI_GATE5F,formula_true+q_ch_weighting_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00249,NODI_GATE5F,formula_true+q_ch_weighting_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00250,NODI_GATE5F,formula_true+JRC_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00251,NODI_GATE5F,formula_true+JRC_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00252,NODI_GATE5F,formula_true+JRC_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00253,NODI_GATE5F,formula_true+production_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00254,NODI_GATE5F,formula_true+production_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00255,NODI_GATE5F,formula_true+production_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00256,NODI_GATE5F,formula_true+runtime_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00257,NODI_GATE5F,formula_true+runtime_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00258,NODI_GATE5F,formula_true+runtime_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00259,NODI_GATE5F,formula_true+numeric_bound_invented,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00260,NODI_GATE5F,formula_true+numeric_bound_invented,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00261,NODI_GATE5F,formula_true+numeric_bound_invented,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00262,NODI_GATE5F,formula_true+formal_qch_false_positive,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00263,NODI_GATE5F,formula_true+formal_qch_false_positive,QCH,REJECT_BLOCKED,true
