mutation_receipt_id,source_side,mutation_id,mutation_type,mutation_family,workstream,expected_result,observed_result,unexpected_pass,forbidden_promotion
G5F-COMSOL-MUT-0038,COMSOL_GATE4G,G4G-MUT-0038,single,formula_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0039,COMSOL_GATE4G,G4G-MUT-0039,single,formula_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0040,COMSOL_GATE4G,G4G-MUT-0040,single,formula_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0041,COMSOL_GATE4G,G4G-MUT-0041,single,formula_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0042,COMSOL_GATE4G,G4G-MUT-0042,single,formula_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0043,COMSOL_GATE4G,G4G-MUT-0043,single,direct_prs_bin_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0044,COMSOL_GATE4G,G4G-MUT-0044,single,direct_prs_bin_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0045,COMSOL_GATE4G,G4G-MUT-0045,single,direct_prs_bin_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0046,COMSOL_GATE4G,G4G-MUT-0046,single,direct_prs_bin_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0047,COMSOL_GATE4G,G4G-MUT-0047,single,direct_prs_bin_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0048,COMSOL_GATE4G,G4G-MUT-0048,single,direct_prs_bin_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0049,COMSOL_GATE4G,G4G-MUT-0049,single,grain_ingestion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0050,COMSOL_GATE4G,G4G-MUT-0050,single,grain_ingestion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0051,COMSOL_GATE4G,G4G-MUT-0051,single,grain_ingestion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0052,COMSOL_GATE4G,G4G-MUT-0052,single,grain_ingestion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0053,COMSOL_GATE4G,G4G-MUT-0053,single,grain_ingestion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0054,COMSOL_GATE4G,G4G-MUT-0054,single,grain_ingestion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0055,COMSOL_GATE4G,G4G-MUT-0055,single,accepted_expansion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0056,COMSOL_GATE4G,G4G-MUT-0056,single,accepted_expansion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0057,COMSOL_GATE4G,G4G-MUT-0057,single,accepted_expansion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0058,COMSOL_GATE4G,G4G-MUT-0058,single,accepted_expansion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0059,COMSOL_GATE4G,G4G-MUT-0059,single,accepted_expansion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0060,COMSOL_GATE4G,G4G-MUT-0060,single,accepted_expansion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0061,COMSOL_GATE4G,G4G-MUT-0061,single,q_ch_weighting_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0062,COMSOL_GATE4G,G4G-MUT-0062,single,q_ch_weighting_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0063,COMSOL_GATE4G,G4G-MUT-0063,single,q_ch_weighting_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0064,COMSOL_GATE4G,G4G-MUT-0064,single,q_ch_weighting_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0065,COMSOL_GATE4G,G4G-MUT-0065,single,q_ch_weighting_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0066,COMSOL_GATE4G,G4G-MUT-0066,single,q_ch_weighting_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0067,COMSOL_GATE4G,G4G-MUT-0067,single,q_ch_eta_present,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0068,COMSOL_GATE4G,G4G-MUT-0068,single,q_ch_eta_present,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0069,COMSOL_GATE4G,G4G-MUT-0069,single,q_ch_eta_present,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0070,COMSOL_GATE4G,G4G-MUT-0070,single,q_ch_eta_present,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0071,COMSOL_GATE4G,G4G-MUT-0071,single,q_ch_eta_present,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0072,COMSOL_GATE4G,G4G-MUT-0072,single,q_ch_eta_present,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0073,COMSOL_GATE4G,G4G-MUT-0073,single,chi_selected_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0074,COMSOL_GATE4G,G4G-MUT-0074,single,chi_selected_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0075,COMSOL_GATE4G,G4G-MUT-0075,single,chi_selected_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0076,COMSOL_GATE4G,G4G-MUT-0076,single,chi_selected_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0077,COMSOL_GATE4G,G4G-MUT-0077,single,chi_selected_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0078,COMSOL_GATE4G,G4G-MUT-0078,single,chi_selected_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0079,COMSOL_GATE4G,G4G-MUT-0079,single,JRC_present,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0080,COMSOL_GATE4G,G4G-MUT-0080,single,JRC_present,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0081,COMSOL_GATE4G,G4G-MUT-0081,single,JRC_present,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0082,COMSOL_GATE4G,G4G-MUT-0082,single,JRC_present,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0083,COMSOL_GATE4G,G4G-MUT-0083,single,JRC_present,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0084,COMSOL_GATE4G,G4G-MUT-0084,single,JRC_present,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0085,COMSOL_GATE4G,G4G-MUT-0085,single,numeric_bound_invented,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0086,COMSOL_GATE4G,G4G-MUT-0086,single,numeric_bound_invented,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0087,COMSOL_GATE4G,G4G-MUT-0087,single,numeric_bound_invented,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0088,COMSOL_GATE4G,G4G-MUT-0088,single,numeric_bound_invented,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0089,COMSOL_GATE4G,G4G-MUT-0089,single,numeric_bound_invented,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0090,COMSOL_GATE4G,G4G-MUT-0090,single,numeric_bound_invented,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0091,COMSOL_GATE4G,G4G-MUT-0091,single,formal_qch_sidecar_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0092,COMSOL_GATE4G,G4G-MUT-0092,single,formal_qch_sidecar_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0093,COMSOL_GATE4G,G4G-MUT-0093,single,formal_qch_sidecar_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0094,COMSOL_GATE4G,G4G-MUT-0094,single,formal_qch_sidecar_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0095,COMSOL_GATE4G,G4G-MUT-0095,single,formal_qch_sidecar_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0096,COMSOL_GATE4G,G4G-MUT-0096,single,formal_qch_sidecar_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0097,COMSOL_GATE4G,G4G-MUT-0097,single,edge_policy_approved_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0098,COMSOL_GATE4G,G4G-MUT-0098,single,edge_policy_approved_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0099,COMSOL_GATE4G,G4G-MUT-0099,single,edge_policy_approved_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0100,COMSOL_GATE4G,G4G-MUT-0100,single,edge_policy_approved_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0101,COMSOL_GATE4G,G4G-MUT-0101,single,edge_policy_approved_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0102,COMSOL_GATE4G,G4G-MUT-0102,single,edge_policy_approved_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0103,COMSOL_GATE4G,G4G-MUT-0103,single,binding_220_auto_map,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0104,COMSOL_GATE4G,G4G-MUT-0104,single,binding_220_auto_map,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0105,COMSOL_GATE4G,G4G-MUT-0105,single,binding_220_auto_map,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0106,COMSOL_GATE4G,G4G-MUT-0106,single,binding_220_auto_map,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0107,COMSOL_GATE4G,G4G-MUT-0107,single,binding_220_auto_map,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0108,COMSOL_GATE4G,G4G-MUT-0108,single,binding_220_auto_map,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0109,COMSOL_GATE4G,G4G-MUT-0109,single,binding_D1200_borrow_D900,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0110,COMSOL_GATE4G,G4G-MUT-0110,single,binding_D1200_borrow_D900,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0111,COMSOL_GATE4G,G4G-MUT-0111,single,binding_D1200_borrow_D900,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0112,COMSOL_GATE4G,G4G-MUT-0112,single,binding_D1200_borrow_D900,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0113,COMSOL_GATE4G,G4G-MUT-0113,single,binding_D1200_borrow_D900,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0114,COMSOL_GATE4G,G4G-MUT-0114,single,binding_D1200_borrow_D900,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0115,COMSOL_GATE4G,G4G-MUT-0115,single,binding_missing_NODI_view,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0116,COMSOL_GATE4G,G4G-MUT-0116,single,binding_missing_NODI_view,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0117,COMSOL_GATE4G,G4G-MUT-0117,single,binding_missing_NODI_view,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0118,COMSOL_GATE4G,G4G-MUT-0118,single,binding_missing_NODI_view,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0119,COMSOL_GATE4G,G4G-MUT-0119,single,binding_missing_NODI_view,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0120,COMSOL_GATE4G,G4G-MUT-0120,single,binding_missing_NODI_view,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0121,COMSOL_GATE4G,G4G-MUT-0121,single,localq_promoted_to_weighting,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0122,COMSOL_GATE4G,G4G-MUT-0122,single,localq_promoted_to_weighting,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0123,COMSOL_GATE4G,G4G-MUT-0123,single,localq_promoted_to_weighting,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0124,COMSOL_GATE4G,G4G-MUT-0124,single,localq_promoted_to_weighting,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0125,COMSOL_GATE4G,G4G-MUT-0125,single,localq_promoted_to_weighting,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0126,COMSOL_GATE4G,G4G-MUT-0126,single,localq_promoted_to_weighting,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0127,COMSOL_GATE4G,G4G-MUT-0127,single,v4_runtime_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0128,COMSOL_GATE4G,G4G-MUT-0128,single,v4_runtime_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0129,COMSOL_GATE4G,G4G-MUT-0129,single,v4_runtime_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0130,COMSOL_GATE4G,G4G-MUT-0130,single,v4_runtime_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0131,COMSOL_GATE4G,G4G-MUT-0131,single,v4_runtime_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0132,COMSOL_GATE4G,G4G-MUT-0132,single,v4_runtime_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0133,COMSOL_GATE4G,G4G-MUT-0133,single,strong_claim_positive_output,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0134,COMSOL_GATE4G,G4G-MUT-0134,single,strong_claim_positive_output,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0135,COMSOL_GATE4G,G4G-MUT-0135,single,strong_claim_positive_output,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0136,COMSOL_GATE4G,G4G-MUT-0136,single,strong_claim_positive_output,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0137,COMSOL_GATE4G,G4G-MUT-0137,single,strong_claim_positive_output,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0138,COMSOL_GATE4G,G4G-MUT-0138,single,strong_claim_positive_output,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0139,COMSOL_GATE4G,G4G-MUT-0139,single,missing_source_sha,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0140,COMSOL_GATE4G,G4G-MUT-0140,single,missing_source_sha,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0141,COMSOL_GATE4G,G4G-MUT-0141,single,missing_source_sha,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0142,COMSOL_GATE4G,G4G-MUT-0142,single,missing_source_sha,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0143,COMSOL_GATE4G,G4G-MUT-0143,single,missing_source_sha,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0144,COMSOL_GATE4G,G4G-MUT-0144,single,missing_source_sha,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0145,COMSOL_GATE4G,G4G-MUT-0145,single,missing_units,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0146,COMSOL_GATE4G,G4G-MUT-0146,single,missing_units,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0147,COMSOL_GATE4G,G4G-MUT-0147,single,missing_units,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0148,COMSOL_GATE4G,G4G-MUT-0148,single,missing_units,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0149,COMSOL_GATE4G,G4G-MUT-0149,single,missing_units,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0150,COMSOL_GATE4G,G4G-MUT-0150,single,missing_units,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0151,COMSOL_GATE4G,G4G-MUT-0151,single,missing_normalization,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0152,COMSOL_GATE4G,G4G-MUT-0152,single,missing_normalization,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0153,COMSOL_GATE4G,G4G-MUT-0153,single,missing_normalization,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0154,COMSOL_GATE4G,G4G-MUT-0154,single,missing_normalization,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0155,COMSOL_GATE4G,G4G-MUT-0155,single,missing_normalization,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0156,COMSOL_GATE4G,G4G-MUT-0156,single,missing_normalization,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0157,COMSOL_GATE4G,G4G-MUT-0157,single,false_positive_blocked_mention,EDGE,PASS_CONTROL,PASS_CONTROL,false,false
G5F-COMSOL-MUT-0158,COMSOL_GATE4G,G4G-MUT-0158,single,false_positive_blocked_mention,QCH,PASS_CONTROL,PASS_CONTROL,false,false
G5F-COMSOL-MUT-0159,COMSOL_GATE4G,G4G-MUT-0159,single,false_positive_blocked_mention,BINDING,PASS_CONTROL,PASS_CONTROL,false,false
G5F-COMSOL-MUT-0160,COMSOL_GATE4G,G4G-MUT-0160,single,false_positive_blocked_mention,local-Q,PASS_CONTROL,PASS_CONTROL,false,false
G5F-COMSOL-MUT-0161,COMSOL_GATE4G,G4G-MUT-0161,single,false_positive_blocked_mention,V4,PASS_CONTROL,PASS_CONTROL,false,false
G5F-COMSOL-MUT-0162,COMSOL_GATE4G,G4G-MUT-0162,single,false_positive_blocked_mention,strong-claim,PASS_CONTROL,PASS_CONTROL,false,false
