dryrun_id,source_row_id,descriptor_id,route_key_binding_status,receipt_verdict,quarantine_ledger,closure_authority_verdict,proxy_firewall_verdict,blocked_disposition,prs_eas_numeric_response_output,edge_authorized,qch_authorized,jrc_authorized,yield_winner_detection_probability_authorized,runtime_production_authorized
G13F-DRYRUN-011,row-11,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-012,row-12,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-013,row-13,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-014,row-14,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-015,row-15,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-016,row-16,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-017,row-17,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-018,row-18,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-019,row-19,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-020,row-20,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-021,row-21,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-022,row-22,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-023,row-23,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-024,row-24,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
G13F-DRYRUN-025,row-25,,UNBOUND,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,NONE_REVIEW_ONLY,false,false,false,false,false,false
