summary_id,mutation_family,row_equivalent_count,coverage_status
G6E-SUM-0038,Gate2D_row_count_drift+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0039,Gate2D_row_count_drift+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0040,Gate2D_row_count_drift+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0041,Gate2D_row_count_drift+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0042,Gate2D_row_count_drift+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0043,Gate2D_row_count_drift+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0044,Gate2D_row_count_drift+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0045,Gate2D_row_count_drift+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0046,Gate2D_row_count_drift+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0047,Gate2D_row_count_drift+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0048,Gate2D_row_count_drift+pending_actual_reopens,1,PASS_UNION_COVERED
G6E-SUM-0049,Gate2D_row_count_drift+production_authorization_true,23,PASS_UNION_COVERED
G6E-SUM-0050,Gate2D_row_count_drift+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0051,Gate2D_row_count_drift+runtime_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0052,Gate2D_row_count_drift+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0053,Gate2D_row_count_drift+yield_present,1,PASS_UNION_COVERED
G6E-SUM-0054,JRC_present,76,PASS_UNION_COVERED
G6E-SUM-0055,JRC_present+BINDING_promotion_spoofing,22,PASS_UNION_COVERED
G6E-SUM-0056,JRC_present+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0057,JRC_present+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0058,JRC_present+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0059,JRC_present+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0060,JRC_present+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0061,JRC_present+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0062,JRC_present+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0063,JRC_present+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0064,JRC_present+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0065,JRC_present+pending_actual_reopens,1,PASS_UNION_COVERED
G6E-SUM-0066,JRC_present+production_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0067,JRC_present+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0068,JRC_present+runtime_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0069,JRC_present+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0070,JRC_present+yield_present,1,PASS_UNION_COVERED
G6E-SUM-0071,JRC_true,6,PASS_UNION_COVERED
G6E-SUM-0072,JRC_true+220_auto_map,3,PASS_UNION_COVERED
G6E-SUM-0073,JRC_true+D1200_borrow_D900,3,PASS_UNION_COVERED
G6E-SUM-0074,JRC_true+cross_workstream_contamination,3,PASS_UNION_COVERED
G6E-SUM-0075,JRC_true+dependency_derived_run_marker,3,PASS_UNION_COVERED
G6E-SUM-0076,JRC_true+dossier_derived_missing_binding,3,PASS_UNION_COVERED
G6E-SUM-0077,JRC_true+edge20_hash_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0078,JRC_true+formal_qch_false_positive,3,PASS_UNION_COVERED
G6E-SUM-0079,JRC_true+missing_NODI_view,3,PASS_UNION_COVERED
G6E-SUM-0080,JRC_true+missing_normalization,3,PASS_UNION_COVERED
G6E-SUM-0081,JRC_true+missing_source_sha,3,PASS_UNION_COVERED
G6E-SUM-0082,JRC_true+missing_units,3,PASS_UNION_COVERED
G6E-SUM-0083,JRC_true+non_contiguous_bins,3,PASS_UNION_COVERED
G6E-SUM-0084,JRC_true+numeric_bound_invented,3,PASS_UNION_COVERED
G6E-SUM-0085,JRC_true+policy_use_requested,3,PASS_UNION_COVERED
G6E-SUM-0086,JRC_true+probe_package_auth_leak,3,PASS_UNION_COVERED
G6E-SUM-0087,JRC_true+production_true,3,PASS_UNION_COVERED
G6E-SUM-0088,JRC_true+row_count_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0089,JRC_true+runtime_true,3,PASS_UNION_COVERED
G6E-SUM-0090,JRC_true+template_marked_evidence,3,PASS_UNION_COVERED
G6E-SUM-0091,RC5_field_alias_drift,71,PASS_UNION_COVERED
G6E-SUM-0092,RC5_field_alias_drift+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0093,RC5_field_alias_drift+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0094,RC5_field_alias_drift+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0095,RC5_field_alias_drift+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0096,RC5_field_alias_drift+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0097,RC5_field_alias_drift+adapter_spoofing,23,PASS_UNION_COVERED
G6E-SUM-0098,RC5_field_alias_drift+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0099,RC5_field_alias_drift+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0100,RC5_field_alias_drift+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0101,RC5_field_alias_drift+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0102,RC5_field_alias_drift+pending_actual_reopens,1,PASS_UNION_COVERED
G6E-SUM-0103,RC5_field_alias_drift+production_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0104,RC5_field_alias_drift+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0105,RC5_field_alias_drift+runtime_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0106,RC5_field_alias_drift+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0107,RC5_field_alias_drift+yield_present,1,PASS_UNION_COVERED
G6E-SUM-0108,accepted_expansion_true,12,PASS_UNION_COVERED
G6E-SUM-0109,accepted_expansion_true+220_auto_map,3,PASS_UNION_COVERED
G6E-SUM-0110,accepted_expansion_true+D1200_borrow_D900,3,PASS_UNION_COVERED
G6E-SUM-0111,accepted_expansion_true+JRC_true,3,PASS_UNION_COVERED
G6E-SUM-0112,accepted_expansion_true+cross_workstream_contamination,3,PASS_UNION_COVERED
G6E-SUM-0113,accepted_expansion_true+dependency_derived_run_marker,3,PASS_UNION_COVERED
G6E-SUM-0114,accepted_expansion_true+dossier_derived_missing_binding,3,PASS_UNION_COVERED
G6E-SUM-0115,accepted_expansion_true+edge20_hash_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0116,accepted_expansion_true+formal_qch_false_positive,3,PASS_UNION_COVERED
G6E-SUM-0117,accepted_expansion_true+missing_NODI_view,3,PASS_UNION_COVERED
G6E-SUM-0118,accepted_expansion_true+missing_normalization,3,PASS_UNION_COVERED
G6E-SUM-0119,accepted_expansion_true+missing_source_sha,3,PASS_UNION_COVERED
G6E-SUM-0120,accepted_expansion_true+missing_units,3,PASS_UNION_COVERED
G6E-SUM-0121,accepted_expansion_true+non_contiguous_bins,3,PASS_UNION_COVERED
G6E-SUM-0122,accepted_expansion_true+numeric_bound_invented,3,PASS_UNION_COVERED
G6E-SUM-0123,accepted_expansion_true+policy_use_requested,3,PASS_UNION_COVERED
G6E-SUM-0124,accepted_expansion_true+probe_package_auth_leak,3,PASS_UNION_COVERED
G6E-SUM-0125,accepted_expansion_true+production_true,3,PASS_UNION_COVERED
G6E-SUM-0126,accepted_expansion_true+q_ch_weighting_true,3,PASS_UNION_COVERED
G6E-SUM-0127,accepted_expansion_true+row_count_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0128,accepted_expansion_true+runtime_true,3,PASS_UNION_COVERED
G6E-SUM-0129,accepted_expansion_true+template_marked_evidence,3,PASS_UNION_COVERED
G6E-SUM-0130,adapter_spoofing,71,PASS_UNION_COVERED
G6E-SUM-0131,adapter_spoofing+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0132,adapter_spoofing+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0133,adapter_spoofing+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0134,adapter_spoofing+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0135,adapter_spoofing+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0136,adapter_spoofing+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0137,adapter_spoofing+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0138,adapter_spoofing+detection_probability_present,23,PASS_UNION_COVERED
G6E-SUM-0139,adapter_spoofing+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0140,adapter_spoofing+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0141,adapter_spoofing+pending_actual_reopens,1,PASS_UNION_COVERED
G6E-SUM-0142,adapter_spoofing+production_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0143,adapter_spoofing+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0144,adapter_spoofing+runtime_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0145,adapter_spoofing+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0146,adapter_spoofing+yield_present,1,PASS_UNION_COVERED
G6E-SUM-0147,authorization_true,12,PASS_UNION_COVERED
G6E-SUM-0148,authorization_true+220_auto_map,3,PASS_UNION_COVERED
G6E-SUM-0149,authorization_true+D1200_borrow_D900,3,PASS_UNION_COVERED
G6E-SUM-0150,authorization_true+JRC_present,6,PASS_UNION_COVERED
G6E-SUM-0151,authorization_true+JRC_true,3,PASS_UNION_COVERED
G6E-SUM-0152,authorization_true+accepted_expansion_true,9,PASS_UNION_COVERED
G6E-SUM-0153,authorization_true+binding_220_auto_map,6,PASS_UNION_COVERED
G6E-SUM-0154,authorization_true+binding_D1200_borrow_D900,6,PASS_UNION_COVERED
G6E-SUM-0155,authorization_true+binding_missing_NODI_view,6,PASS_UNION_COVERED
G6E-SUM-0156,authorization_true+chi_selected_true,6,PASS_UNION_COVERED
G6E-SUM-0157,authorization_true+cross_workstream_contamination,3,PASS_UNION_COVERED
G6E-SUM-0158,authorization_true+dependency_derived_run_marker,3,PASS_UNION_COVERED
G6E-SUM-0159,authorization_true+direct_prs_bin_true,9,PASS_UNION_COVERED
G6E-SUM-0160,authorization_true+dossier_derived_missing_binding,3,PASS_UNION_COVERED
G6E-SUM-0161,authorization_true+edge20_hash_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0162,authorization_true+edge_policy_approved_true,6,PASS_UNION_COVERED
G6E-SUM-0163,authorization_true+formal_qch_false_positive,3,PASS_UNION_COVERED
G6E-SUM-0164,authorization_true+formal_qch_sidecar_true,6,PASS_UNION_COVERED
G6E-SUM-0165,authorization_true+formula_true,9,PASS_UNION_COVERED
G6E-SUM-0166,authorization_true+grain_ingestion_true,9,PASS_UNION_COVERED
G6E-SUM-0167,authorization_true+localq_promoted_to_weighting,6,PASS_UNION_COVERED
G6E-SUM-0168,authorization_true+missing_NODI_view,3,PASS_UNION_COVERED
G6E-SUM-0169,authorization_true+missing_normalization,3,PASS_UNION_COVERED
G6E-SUM-0170,authorization_true+missing_source_sha,9,PASS_UNION_COVERED
G6E-SUM-0171,authorization_true+missing_units,3,PASS_UNION_COVERED
G6E-SUM-0172,authorization_true+non_contiguous_bins,3,PASS_UNION_COVERED
G6E-SUM-0173,authorization_true+numeric_bound_invented,9,PASS_UNION_COVERED
G6E-SUM-0174,authorization_true+policy_use_requested,3,PASS_UNION_COVERED
G6E-SUM-0175,authorization_true+probe_package_auth_leak,3,PASS_UNION_COVERED
G6E-SUM-0176,authorization_true+production_true,3,PASS_UNION_COVERED
G6E-SUM-0177,authorization_true+q_ch_eta_present,6,PASS_UNION_COVERED
G6E-SUM-0178,authorization_true+q_ch_weighting_true,9,PASS_UNION_COVERED
G6E-SUM-0179,authorization_true+row_count_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0180,authorization_true+runtime_true,3,PASS_UNION_COVERED
G6E-SUM-0181,authorization_true+strong_claim_positive_output,6,PASS_UNION_COVERED
G6E-SUM-0182,authorization_true+template_marked_evidence,3,PASS_UNION_COVERED
G6E-SUM-0183,authorization_true+v4_runtime_true,6,PASS_UNION_COVERED
G6E-SUM-0184,binding_220_auto_map,6,PASS_UNION_COVERED
G6E-SUM-0185,binding_D1200_borrow_D900,6,PASS_UNION_COVERED
G6E-SUM-0186,binding_missing_NODI_view,6,PASS_UNION_COVERED
G6E-SUM-0187,blocked_state_spoofing,10,PASS_UNION_COVERED
G6E-SUM-0188,chi_selected_true,76,PASS_UNION_COVERED
G6E-SUM-0189,chi_selected_true+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0190,chi_selected_true+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0191,chi_selected_true+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0192,chi_selected_true+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0193,chi_selected_true+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0194,chi_selected_true+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0195,chi_selected_true+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0196,chi_selected_true+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0197,chi_selected_true+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0198,chi_selected_true+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0199,chi_selected_true+pending_actual_reopens,22,PASS_UNION_COVERED
G6E-SUM-0200,chi_selected_true+production_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0201,chi_selected_true+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0202,chi_selected_true+runtime_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0203,chi_selected_true+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0204,chi_selected_true+yield_present,1,PASS_UNION_COVERED
G6E-SUM-0205,comsol_probe_template_only,6,PASS_UNION_COVERED
G6E-SUM-0206,comsol_probe_template_only+JRC_present,6,PASS_UNION_COVERED
G6E-SUM-0207,comsol_probe_template_only+accepted_expansion_true,6,PASS_UNION_COVERED
G6E-SUM-0208,comsol_probe_template_only+authorization_true,6,PASS_UNION_COVERED
G6E-SUM-0209,comsol_probe_template_only+binding_220_auto_map,6,PASS_UNION_COVERED
G6E-SUM-0210,comsol_probe_template_only+binding_D1200_borrow_D900,6,PASS_UNION_COVERED
G6E-SUM-0211,comsol_probe_template_only+binding_missing_NODI_view,6,PASS_UNION_COVERED
G6E-SUM-0212,comsol_probe_template_only+chi_selected_true,6,PASS_UNION_COVERED
G6E-SUM-0213,comsol_probe_template_only+dependency_recipe_execution_marker,6,PASS_UNION_COVERED
G6E-SUM-0214,comsol_probe_template_only+direct_prs_bin_true,6,PASS_UNION_COVERED
G6E-SUM-0215,comsol_probe_template_only+edge_policy_approved_true,6,PASS_UNION_COVERED
G6E-SUM-0216,comsol_probe_template_only+formal_qch_sidecar_true,6,PASS_UNION_COVERED
G6E-SUM-0217,comsol_probe_template_only+formula_true,6,PASS_UNION_COVERED
G6E-SUM-0218,comsol_probe_template_only+grain_ingestion_true,6,PASS_UNION_COVERED
G6E-SUM-0219,comsol_probe_template_only+localq_promoted_to_weighting,6,PASS_UNION_COVERED
G6E-SUM-0220,comsol_probe_template_only+missing_normalization,6,PASS_UNION_COVERED
G6E-SUM-0221,comsol_probe_template_only+missing_source_sha,6,PASS_UNION_COVERED
G6E-SUM-0222,comsol_probe_template_only+missing_units,6,PASS_UNION_COVERED
G6E-SUM-0223,comsol_probe_template_only+nodi_emulator_rule_downgrade_attempt,6,PASS_UNION_COVERED
G6E-SUM-0224,comsol_probe_template_only+numeric_bound_invented,6,PASS_UNION_COVERED
G6E-SUM-0225,comsol_probe_template_only+owner_ledger_current_action_true,6,PASS_UNION_COVERED
G6E-SUM-0226,comsol_probe_template_only+q_ch_eta_present,6,PASS_UNION_COVERED
G6E-SUM-0227,comsol_probe_template_only+q_ch_weighting_true,6,PASS_UNION_COVERED
G6E-SUM-0228,comsol_probe_template_only+rc4_rc5_field_mismatch,6,PASS_UNION_COVERED
G6E-SUM-0229,comsol_probe_template_only+strong_claim_positive_output,6,PASS_UNION_COVERED
G6E-SUM-0230,comsol_probe_template_only+v4_runtime_true,6,PASS_UNION_COVERED
G6E-SUM-0231,cross_workstream_contamination,6,PASS_UNION_COVERED
G6E-SUM-0232,dependency_derived_run_marker,6,PASS_UNION_COVERED
G6E-SUM-0233,dependency_recipe_execution_marker,6,PASS_UNION_COVERED
G6E-SUM-0234,dependency_recipe_execution_marker+JRC_present,6,PASS_UNION_COVERED
G6E-SUM-0235,dependency_recipe_execution_marker+accepted_expansion_true,6,PASS_UNION_COVERED
G6E-SUM-0236,dependency_recipe_execution_marker+authorization_true,6,PASS_UNION_COVERED
G6E-SUM-0237,dependency_recipe_execution_marker+binding_220_auto_map,6,PASS_UNION_COVERED
G6E-SUM-0238,dependency_recipe_execution_marker+binding_D1200_borrow_D900,6,PASS_UNION_COVERED
G6E-SUM-0239,dependency_recipe_execution_marker+binding_missing_NODI_view,6,PASS_UNION_COVERED
G6E-SUM-0240,dependency_recipe_execution_marker+chi_selected_true,6,PASS_UNION_COVERED
G6E-SUM-0241,dependency_recipe_execution_marker+direct_prs_bin_true,6,PASS_UNION_COVERED
G6E-SUM-0242,dependency_recipe_execution_marker+edge_policy_approved_true,6,PASS_UNION_COVERED
G6E-SUM-0243,dependency_recipe_execution_marker+formal_qch_sidecar_true,6,PASS_UNION_COVERED
G6E-SUM-0244,dependency_recipe_execution_marker+formula_true,6,PASS_UNION_COVERED
G6E-SUM-0245,dependency_recipe_execution_marker+grain_ingestion_true,6,PASS_UNION_COVERED
G6E-SUM-0246,dependency_recipe_execution_marker+localq_promoted_to_weighting,6,PASS_UNION_COVERED
G6E-SUM-0247,dependency_recipe_execution_marker+missing_normalization,6,PASS_UNION_COVERED
G6E-SUM-0248,dependency_recipe_execution_marker+missing_source_sha,6,PASS_UNION_COVERED
G6E-SUM-0249,dependency_recipe_execution_marker+missing_units,6,PASS_UNION_COVERED
G6E-SUM-0250,dependency_recipe_execution_marker+numeric_bound_invented,6,PASS_UNION_COVERED
G6E-SUM-0251,dependency_recipe_execution_marker+owner_ledger_current_action_true,6,PASS_UNION_COVERED
G6E-SUM-0252,dependency_recipe_execution_marker+q_ch_eta_present,6,PASS_UNION_COVERED
G6E-SUM-0253,dependency_recipe_execution_marker+q_ch_weighting_true,6,PASS_UNION_COVERED
G6E-SUM-0254,dependency_recipe_execution_marker+strong_claim_positive_output,6,PASS_UNION_COVERED
G6E-SUM-0255,dependency_recipe_execution_marker+v4_runtime_true,6,PASS_UNION_COVERED
G6E-SUM-0256,detection_probability_present,70,PASS_UNION_COVERED
G6E-SUM-0257,detection_probability_present+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0258,detection_probability_present+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0259,detection_probability_present+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0260,detection_probability_present+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0261,detection_probability_present+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0262,detection_probability_present+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0263,detection_probability_present+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0264,detection_probability_present+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0265,detection_probability_present+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0266,detection_probability_present+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0267,detection_probability_present+pending_actual_reopens,1,PASS_UNION_COVERED
G6E-SUM-0268,detection_probability_present+production_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0269,detection_probability_present+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0270,detection_probability_present+runtime_authorization_true,22,PASS_UNION_COVERED
G6E-SUM-0271,detection_probability_present+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0272,detection_probability_present+yield_present,1,PASS_UNION_COVERED
G6E-SUM-0273,direct_prs_bin_true,12,PASS_UNION_COVERED
G6E-SUM-0274,direct_prs_bin_true+220_auto_map,3,PASS_UNION_COVERED
G6E-SUM-0275,direct_prs_bin_true+D1200_borrow_D900,3,PASS_UNION_COVERED
G6E-SUM-0276,direct_prs_bin_true+JRC_true,3,PASS_UNION_COVERED
G6E-SUM-0277,direct_prs_bin_true+accepted_expansion_true,3,PASS_UNION_COVERED
G6E-SUM-0278,direct_prs_bin_true+cross_workstream_contamination,3,PASS_UNION_COVERED
G6E-SUM-0279,direct_prs_bin_true+dependency_derived_run_marker,3,PASS_UNION_COVERED
G6E-SUM-0280,direct_prs_bin_true+dossier_derived_missing_binding,3,PASS_UNION_COVERED
G6E-SUM-0281,direct_prs_bin_true+edge20_hash_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0282,direct_prs_bin_true+formal_qch_false_positive,3,PASS_UNION_COVERED
G6E-SUM-0283,direct_prs_bin_true+grain_ingestion_true,3,PASS_UNION_COVERED
G6E-SUM-0284,direct_prs_bin_true+missing_NODI_view,3,PASS_UNION_COVERED
G6E-SUM-0285,direct_prs_bin_true+missing_normalization,3,PASS_UNION_COVERED
G6E-SUM-0286,direct_prs_bin_true+missing_source_sha,3,PASS_UNION_COVERED
G6E-SUM-0287,direct_prs_bin_true+missing_units,3,PASS_UNION_COVERED
G6E-SUM-0288,direct_prs_bin_true+non_contiguous_bins,3,PASS_UNION_COVERED
G6E-SUM-0289,direct_prs_bin_true+numeric_bound_invented,3,PASS_UNION_COVERED
G6E-SUM-0290,direct_prs_bin_true+policy_use_requested,3,PASS_UNION_COVERED
G6E-SUM-0291,direct_prs_bin_true+probe_package_auth_leak,3,PASS_UNION_COVERED
G6E-SUM-0292,direct_prs_bin_true+production_true,3,PASS_UNION_COVERED
G6E-SUM-0293,direct_prs_bin_true+q_ch_weighting_true,3,PASS_UNION_COVERED
G6E-SUM-0294,direct_prs_bin_true+row_count_mismatch,3,PASS_UNION_COVERED
G6E-SUM-0295,direct_prs_bin_true+runtime_true,3,PASS_UNION_COVERED
G6E-SUM-0296,direct_prs_bin_true+template_marked_evidence,3,PASS_UNION_COVERED
G6E-SUM-0297,dossier_derived_missing_binding,6,PASS_UNION_COVERED
G6E-SUM-0298,edge20_hash_mismatch,6,PASS_UNION_COVERED
G6E-SUM-0299,edge_policy_approved_true,6,PASS_UNION_COVERED
G6E-SUM-0300,false_positive_blocked_mention,82,PASS_UNION_COVERED
G6E-SUM-0301,field_alias,11,PASS_UNION_COVERED
G6E-SUM-0302,forbidden_output_leakage,71,PASS_UNION_COVERED
G6E-SUM-0303,forbidden_output_leakage+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0304,forbidden_output_leakage+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0305,forbidden_output_leakage+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0306,forbidden_output_leakage+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0307,forbidden_output_leakage+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0308,forbidden_output_leakage+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0309,forbidden_output_leakage+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0310,forbidden_output_leakage+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0311,forbidden_output_leakage+forbidden_output_leakage,1,PASS_UNION_COVERED
