edge_receipt_id,edge_id,source_node,target_node,receipt_status,current_execution_allowed
G4E-EDGE-0043,G3C-EDGE-0043,,,METADATA_ONLY,false
G4E-EDGE-0044,G3C-EDGE-0044,,,METADATA_ONLY,false
G4E-EDGE-0045,G3C-EDGE-0045,,,METADATA_ONLY,false
G4E-EDGE-0046,G3C-EDGE-0046,,,METADATA_ONLY,false
G4E-EDGE-0047,G3C-EDGE-0047,,,METADATA_ONLY,false
G4E-EDGE-0048,G3C-EDGE-0048,,,METADATA_ONLY,false
G4E-EDGE-0049,G3C-EDGE-0049,,,METADATA_ONLY,false
G4E-EDGE-0050,G3C-EDGE-0050,,,METADATA_ONLY,false
G4E-EDGE-0051,G3C-EDGE-0051,,,METADATA_ONLY,false
G4E-EDGE-0052,G3C-EDGE-0052,,,METADATA_ONLY,false
G4E-EDGE-0053,G3C-EDGE-0053,,,METADATA_ONLY,false
G4E-EDGE-0054,G3C-EDGE-0054,,,METADATA_ONLY,false
G4E-EDGE-0055,G3C-EDGE-0055,,,METADATA_ONLY,false
G4E-EDGE-0056,G3C-EDGE-0056,,,METADATA_ONLY,false
G4E-EDGE-0057,G3C-EDGE-0057,,,METADATA_ONLY,false
G4E-EDGE-0058,G3C-EDGE-0058,,,METADATA_ONLY,false
G4E-EDGE-0059,G3C-EDGE-0059,,,METADATA_ONLY,false
G4E-EDGE-0060,G3C-EDGE-0060,,,METADATA_ONLY,false
G4E-EDGE-0061,G3C-EDGE-0061,,,METADATA_ONLY,false
G4E-EDGE-0062,G3C-EDGE-0062,,,METADATA_ONLY,false
G4E-EDGE-0063,G3C-EDGE-0063,,,METADATA_ONLY,false
G4E-EDGE-0064,G3C-EDGE-0064,,,METADATA_ONLY,false
G4E-EDGE-0065,G3C-EDGE-0065,,,METADATA_ONLY,false
G4E-EDGE-0066,G3C-EDGE-0066,,,METADATA_ONLY,false
G4E-EDGE-0067,G3C-EDGE-0067,,,METADATA_ONLY,false
G4E-EDGE-0068,G3C-EDGE-0068,,,METADATA_ONLY,false
G4E-EDGE-0069,G3C-EDGE-0069,,,METADATA_ONLY,false
G4E-EDGE-0070,G3C-EDGE-0070,,,METADATA_ONLY,false
G4E-EDGE-0071,G3C-EDGE-0071,,,METADATA_ONLY,false
G4E-EDGE-0072,G3C-EDGE-0072,,,METADATA_ONLY,false
G4E-EDGE-0073,G3C-EDGE-0073,,,METADATA_ONLY,false
G4E-EDGE-0074,G3C-EDGE-0074,,,METADATA_ONLY,false
G4E-EDGE-0075,G3C-EDGE-0075,,,METADATA_ONLY,false
G4E-EDGE-0076,G3C-EDGE-0076,,,METADATA_ONLY,false
G4E-EDGE-0077,G3C-EDGE-0077,,,METADATA_ONLY,false
G4E-EDGE-0078,G3C-EDGE-0078,,,METADATA_ONLY,false
G4E-EDGE-0079,G3C-EDGE-0079,,,METADATA_ONLY,false
G4E-EDGE-0080,G3C-EDGE-0080,,,METADATA_ONLY,false
G4E-EDGE-0081,G3C-EDGE-0081,,,METADATA_ONLY,false
G4E-EDGE-0082,G3C-EDGE-0082,,,METADATA_ONLY,false
G4E-EDGE-0083,G3C-EDGE-0083,,,METADATA_ONLY,false
G4E-EDGE-0084,G3C-EDGE-0084,,,METADATA_ONLY,false
G4E-EDGE-0085,G3C-EDGE-0085,,,METADATA_ONLY,false
G4E-EDGE-0086,G3C-EDGE-0086,,,METADATA_ONLY,false
G4E-EDGE-0087,G3C-EDGE-0087,,,METADATA_ONLY,false
G4E-EDGE-0088,G3C-EDGE-0088,,,METADATA_ONLY,false
G4E-EDGE-0089,G3C-EDGE-0089,,,METADATA_ONLY,false
G4E-EDGE-0090,G3C-EDGE-0090,,,METADATA_ONLY,false
G4E-EDGE-0091,G3C-EDGE-0091,,,METADATA_ONLY,false
G4E-EDGE-0092,G3C-EDGE-0092,,,METADATA_ONLY,false
G4E-EDGE-0093,G3C-EDGE-0093,,,METADATA_ONLY,false
G4E-EDGE-0094,G3C-EDGE-0094,,,METADATA_ONLY,false
G4E-EDGE-0095,G3C-EDGE-0095,,,METADATA_ONLY,false
G4E-EDGE-0096,G3C-EDGE-0096,,,METADATA_ONLY,false
G4E-EDGE-0097,G3C-EDGE-0097,,,METADATA_ONLY,false
G4E-EDGE-0098,G3C-EDGE-0098,,,METADATA_ONLY,false
G4E-EDGE-0099,G3C-EDGE-0099,,,METADATA_ONLY,false
G4E-EDGE-0100,G3C-EDGE-0100,,,METADATA_ONLY,false
G4E-EDGE-0101,G3C-EDGE-0101,,,METADATA_ONLY,false
G4E-EDGE-0102,G3C-EDGE-0102,,,METADATA_ONLY,false
G4E-EDGE-0103,G3C-EDGE-0103,,,METADATA_ONLY,false
G4E-EDGE-0104,G3C-EDGE-0104,,,METADATA_ONLY,false
G4E-EDGE-0105,G3C-EDGE-0105,,,METADATA_ONLY,false
G4E-EDGE-0106,G3C-EDGE-0106,,,METADATA_ONLY,false
G4E-EDGE-0107,G3C-EDGE-0107,,,METADATA_ONLY,false
G4E-EDGE-0108,G3C-EDGE-0108,,,METADATA_ONLY,false
G4E-EDGE-0109,G3C-EDGE-0109,,,METADATA_ONLY,false
G4E-EDGE-0110,G3C-EDGE-0110,,,METADATA_ONLY,false
G4E-EDGE-0111,G3C-EDGE-0111,,,METADATA_ONLY,false
G4E-EDGE-0112,G3C-EDGE-0112,,,METADATA_ONLY,false
G4E-EDGE-0113,G3C-EDGE-0113,,,METADATA_ONLY,false
G4E-EDGE-0114,G3C-EDGE-0114,,,METADATA_ONLY,false
G4E-EDGE-0115,G3C-EDGE-0115,,,METADATA_ONLY,false
G4E-EDGE-0116,G3C-EDGE-0116,,,METADATA_ONLY,false
G4E-EDGE-0117,G3C-EDGE-0117,,,METADATA_ONLY,false
G4E-EDGE-0118,G3C-EDGE-0118,,,METADATA_ONLY,false
G4E-EDGE-0119,G3C-EDGE-0119,,,METADATA_ONLY,false
G4E-EDGE-0120,G3C-EDGE-0120,,,METADATA_ONLY,false
G4E-EDGE-0121,G3C-EDGE-0121,,,METADATA_ONLY,false
G4E-EDGE-0122,G3C-EDGE-0122,,,METADATA_ONLY,false
G4E-EDGE-0123,G3C-EDGE-0123,,,METADATA_ONLY,false
G4E-EDGE-0124,G3C-EDGE-0124,,,METADATA_ONLY,false
G4E-EDGE-0125,G3C-EDGE-0125,,,METADATA_ONLY,false
G4E-EDGE-0126,G3C-EDGE-0126,,,METADATA_ONLY,false
G4E-EDGE-0127,G3C-EDGE-0127,,,METADATA_ONLY,false
G4E-EDGE-0128,G3C-EDGE-0128,,,METADATA_ONLY,false
G4E-EDGE-0129,G3C-EDGE-0129,,,METADATA_ONLY,false
G4E-EDGE-0130,G3C-EDGE-0130,,,METADATA_ONLY,false
G4E-EDGE-0131,G3C-EDGE-0131,,,METADATA_ONLY,false
G4E-EDGE-0132,G3C-EDGE-0132,,,METADATA_ONLY,false
G4E-EDGE-0133,G3C-EDGE-0133,,,METADATA_ONLY,false
G4E-EDGE-0134,G3C-EDGE-0134,,,METADATA_ONLY,false
G4E-EDGE-0135,G3C-EDGE-0135,,,METADATA_ONLY,false
G4E-EDGE-0136,G3C-EDGE-0136,,,METADATA_ONLY,false
G4E-EDGE-0137,G3C-EDGE-0137,,,METADATA_ONLY,false
G4E-EDGE-0138,G3C-EDGE-0138,,,METADATA_ONLY,false
G4E-EDGE-0139,G3C-EDGE-0139,,,METADATA_ONLY,false
G4E-EDGE-0140,G3C-EDGE-0140,,,METADATA_ONLY,false
G4E-EDGE-0141,G3C-EDGE-0141,,,METADATA_ONLY,false
G4E-EDGE-0142,G3C-EDGE-0142,,,METADATA_ONLY,false
G4E-EDGE-0143,G3C-EDGE-0143,,,METADATA_ONLY,false
G4E-EDGE-0144,G3C-EDGE-0144,,,METADATA_ONLY,false
G4E-EDGE-0145,G3C-EDGE-0145,,,METADATA_ONLY,false
G4E-EDGE-0146,G3C-EDGE-0146,,,METADATA_ONLY,false
G4E-EDGE-0147,G3C-EDGE-0147,,,METADATA_ONLY,false
G4E-EDGE-0148,G3C-EDGE-0148,,,METADATA_ONLY,false
G4E-EDGE-0149,G3C-EDGE-0149,,,METADATA_ONLY,false
G4E-EDGE-0150,G3C-EDGE-0150,,,METADATA_ONLY,false
G4E-EDGE-0151,G3C-EDGE-0151,,,METADATA_ONLY,false
G4E-EDGE-0152,G3C-EDGE-0152,,,METADATA_ONLY,false
G4E-EDGE-0153,G3C-EDGE-0153,,,METADATA_ONLY,false
G4E-EDGE-0154,G3C-EDGE-0154,,,METADATA_ONLY,false
G4E-EDGE-0155,G3C-EDGE-0155,,,METADATA_ONLY,false
G4E-EDGE-0156,G3C-EDGE-0156,,,METADATA_ONLY,false
G4E-EDGE-0157,G3C-EDGE-0157,,,METADATA_ONLY,false
G4E-EDGE-0158,G3C-EDGE-0158,,,METADATA_ONLY,false
G4E-EDGE-0159,G3C-EDGE-0159,,,METADATA_ONLY,false
G4E-EDGE-0160,G3C-EDGE-0160,,,METADATA_ONLY,false
G4E-EDGE-0161,G3C-EDGE-0161,,,METADATA_ONLY,false
G4E-EDGE-0162,G3C-EDGE-0162,,,METADATA_ONLY,false
G4E-EDGE-0163,G3C-EDGE-0163,,,METADATA_ONLY,false
G4E-EDGE-0164,G3C-EDGE-0164,,,METADATA_ONLY,false
G4E-EDGE-0165,G3C-EDGE-0165,,,METADATA_ONLY,false
G4E-EDGE-0166,G3C-EDGE-0166,,,METADATA_ONLY,false
G4E-EDGE-0167,G3C-EDGE-0167,,,METADATA_ONLY,false
G4E-EDGE-0168,G3C-EDGE-0168,,,METADATA_ONLY,false
G4E-EDGE-0169,G3C-EDGE-0169,,,METADATA_ONLY,false
G4E-EDGE-0170,G3C-EDGE-0170,,,METADATA_ONLY,false
G4E-EDGE-0171,G3C-EDGE-0171,,,METADATA_ONLY,false
G4E-EDGE-0172,G3C-EDGE-0172,,,METADATA_ONLY,false
G4E-EDGE-0173,G3C-EDGE-0173,,,METADATA_ONLY,false
G4E-EDGE-0174,G3C-EDGE-0174,,,METADATA_ONLY,false
G4E-EDGE-0175,G3C-EDGE-0175,,,METADATA_ONLY,false
G4E-EDGE-0176,G3C-EDGE-0176,,,METADATA_ONLY,false
G4E-EDGE-0177,G3C-EDGE-0177,,,METADATA_ONLY,false
G4E-EDGE-0178,G3C-EDGE-0178,,,METADATA_ONLY,false
G4E-EDGE-0179,G3C-EDGE-0179,,,METADATA_ONLY,false
G4E-EDGE-0180,G3C-EDGE-0180,,,METADATA_ONLY,false
G4E-EDGE-0181,G3C-EDGE-0181,,,METADATA_ONLY,false
G4E-EDGE-0182,G3C-EDGE-0182,,,METADATA_ONLY,false
G4E-EDGE-0183,G3C-EDGE-0183,,,METADATA_ONLY,false
G4E-EDGE-0184,G3C-EDGE-0184,,,METADATA_ONLY,false
G4E-EDGE-0185,G3C-EDGE-0185,,,METADATA_ONLY,false
G4E-EDGE-0186,G3C-EDGE-0186,,,METADATA_ONLY,false
G4E-EDGE-0187,G3C-EDGE-0187,,,METADATA_ONLY,false
G4E-EDGE-0188,G3C-EDGE-0188,,,METADATA_ONLY,false
G4E-EDGE-0189,G3C-EDGE-0189,,,METADATA_ONLY,false
G4E-EDGE-0190,G3C-EDGE-0190,,,METADATA_ONLY,false
G4E-EDGE-0191,G3C-EDGE-0191,,,METADATA_ONLY,false
G4E-EDGE-0192,G3C-EDGE-0192,,,METADATA_ONLY,false
G4E-EDGE-0193,G3C-EDGE-0193,,,METADATA_ONLY,false
G4E-EDGE-0194,G3C-EDGE-0194,,,METADATA_ONLY,false
G4E-EDGE-0195,G3C-EDGE-0195,,,METADATA_ONLY,false
G4E-EDGE-0196,G3C-EDGE-0196,,,METADATA_ONLY,false
G4E-EDGE-0197,G3C-EDGE-0197,,,METADATA_ONLY,false
G4E-EDGE-0198,G3C-EDGE-0198,,,METADATA_ONLY,false
G4E-EDGE-0199,G3C-EDGE-0199,,,METADATA_ONLY,false
G4E-EDGE-0200,G3C-EDGE-0200,,,METADATA_ONLY,false
G4E-EDGE-0201,G3C-EDGE-0201,,,METADATA_ONLY,false
G4E-EDGE-0202,G3C-EDGE-0202,,,METADATA_ONLY,false
G4E-EDGE-0203,G3C-EDGE-0203,,,METADATA_ONLY,false
G4E-EDGE-0204,G3C-EDGE-0204,,,METADATA_ONLY,false
G4E-EDGE-0205,G3C-EDGE-0205,,,METADATA_ONLY,false
G4E-EDGE-0206,G3C-EDGE-0206,,,METADATA_ONLY,false
G4E-EDGE-0207,G3C-EDGE-0207,,,METADATA_ONLY,false
G4E-EDGE-0208,G3C-EDGE-0208,,,METADATA_ONLY,false
G4E-EDGE-0209,G3C-EDGE-0209,,,METADATA_ONLY,false
G4E-EDGE-0210,G3C-EDGE-0210,,,METADATA_ONLY,false
G4E-EDGE-0211,G3C-EDGE-0211,,,METADATA_ONLY,false
G4E-EDGE-0212,G3C-EDGE-0212,,,METADATA_ONLY,false
G4E-EDGE-0213,G3C-EDGE-0213,,,METADATA_ONLY,false
G4E-EDGE-0214,G3C-EDGE-0214,,,METADATA_ONLY,false
G4E-EDGE-0215,G3C-EDGE-0215,,,METADATA_ONLY,false
G4E-EDGE-0216,G3C-EDGE-0216,,,METADATA_ONLY,false
G4E-EDGE-0217,G3C-EDGE-0217,,,METADATA_ONLY,false
G4E-EDGE-0218,G3C-EDGE-0218,,,METADATA_ONLY,false
G4E-EDGE-0219,G3C-EDGE-0219,,,METADATA_ONLY,false
G4E-EDGE-0220,G3C-EDGE-0220,,,METADATA_ONLY,false
