rc4_delta_id,field_name,delta_status,blocking_mismatch
G3E-DELTA-0072,coverage_contiguous,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0073,coverage_nonoverlap_claim_scope,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0074,current_blocker,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0075,current_source,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0076,current_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0077,current_support_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0078,decision_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0079,depth_coverage,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0080,depth_family,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0081,depth_or_channel_family,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0082,depth_um,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0083,derived_artifact,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0084,description,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0085,diagnostic_check_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0086,diameter_binding_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0087,diameter_coverage,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0088,diameter_nm,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0089,direct_prs_bin_claim_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0090,direct_prs_bin_use_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0091,direct_prs_bin_use_authorized_default,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0092,disposition,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0093,distribution_type_required,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0094,dossier_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0095,edge20_bin_count,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0096,edge20_bin_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0097,edge20_bins_covered,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0098,edge20_definition_hash,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0099,edge20_reference_units,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0100,edge20_reference_value,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0101,edge4_aggregate_value,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0102,edge4_bin_label,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0103,edge4_max,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0104,edge4_min,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0105,edge4_to_edge20_policy,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0106,edge_bin_label,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0107,edge_deliverable_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0108,edge_norm_max,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0109,edge_norm_min,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0110,error_bound_lower,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0111,error_bound_upper,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0112,error_loss_semantics,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0113,evidence_class,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0114,evidence_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0115,exact_claim_made_by_comsol,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0116,exact_nodi_prs_match_claim,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0117,exact_prs_match_claim_by_comsol,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0118,example_value_policy,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0119,expected_base_edge_bins,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0120,expected_events_per_base_bin_per_seed,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0121,expected_result_enum,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0122,expected_rows_per_route_diameter_view,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0123,expected_special_aggregates,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0124,expected_xz_bins,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0125,field_name,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0126,flow_split_units,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0127,flow_split_value,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0128,forbidden_interpretations,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0129,forbidden_repair,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0130,formal_qch_sidecar_present,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0131,formula_exclusion_active,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0132,formula_use_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0133,formula_use_authorized_default,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0134,future_authorization_required,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0135,gate2b_artifact_level_context_candidate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0136,gate2b_context_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0137,gate2b_grain_level_context_ingestion_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0138,gate2c_alignment_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0139,gate2c_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0140,gate2d_candidate_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0141,gate2f_edge_evidence_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0142,gate2k_template_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0143,generation_preparation_authorized_now,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0144,grain_level_ingestion_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0145,grain_level_ingestion_authorized_default,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0146,grain_level_ingestion_policy,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0147,grouping_basis,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0148,hash_stability_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0149,hook_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0150,human_review_required,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0151,information_loss_description,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0152,integration_surface_or_volume_definition,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0153,is_chi_selected,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0154,is_formal_gate2_qch_sidecar,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0155,is_formal_policy_evidence,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0156,is_policy_result,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0157,jrc_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0158,lambda_nm,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0159,launch_authorized_now,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0160,lineage_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0161,loss_error_policy_approval_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0162,loss_error_requirement_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0163,loss_error_requirement_set_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0164,manifest_link,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0165,mesh_size,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0166,mismatch_blocker_if_any,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0167,missing_binding,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0168,missing_required_fields,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0169,monotonicity_allowed_exceptions,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0170,monotonicity_check_required,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0171,monotonicity_direction,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0172,monotonicity_metric,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0173,monotonicity_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0174,must_remain_review_only_if,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0175,mutation_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0176,needed_from_comsol,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0177,needed_from_nodi,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0178,nodi_automation_binding_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0179,nodi_bin_binding_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0180,nodi_check_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0181,nodi_current_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0182,nodi_diameter_binding_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0183,nodi_edge20_definition_hash,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0184,nodi_expected_verdict,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0185,nodi_receipt_support_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0186,nodi_required_evidence,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0187,nodi_route_key_candidate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0188,nodi_view_binding_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0189,normalization_available,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0190,normalization_basis,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0191,normalization_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0192,not_evidence,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0193,notes,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0194,numeric_aggregation_error_bound_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0195,numeric_error_bound_units,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0196,numeric_error_bound_value,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0197,numeric_error_units,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0198,numeric_error_value,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0199,outlet_entity_count,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0200,package_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0201,particle_kind,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0202,path,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0203,policy_approval_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0204,policy_option,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0205,policy_option_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0206,policy_review_ready,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0207,policy_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0208,policy_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0209,policy_use_requested,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0210,policy_use_requested_default,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0211,priority,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0212,production_ingestion_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0213,proposed_edge20_bins_covered,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0214,proposed_edge20_group_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0215,proposed_edge20_group_id_or_pending,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0216,proposed_gate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0217,proposed_next_artifact,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0218,proposed_scope,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0219,proposed_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0220,provenance_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0221,q_ch_units,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0222,q_ch_value,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0223,qch_chi_eta_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0224,qch_eta_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0225,qch_template_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0226,qch_weighting_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0227,raw_residence_fraction,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0228,raw_velocity_fraction,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0229,readiness_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0230,reason,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0231,recommended_gate2b_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0232,recommended_nodi_action,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0233,recommended_nodi_reconciled_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0234,reproducibility_check_required,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0235,reproducibility_group_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0236,reproducibility_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0237,required_comsol_export_change,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0238,required_evidence,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0239,required_evidence_to_upgrade,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0240,required_fields_present,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0241,required_for_positive_fixture,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0242,required_next_gate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0243,required_nodi_checks_to_upgrade,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0244,required_nodi_next_gate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0245,required_nodi_policy,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0246,required_nodi_review,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0247,required_output_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0248,required_seeds,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0249,required_validation_checks,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0250,requirement_area,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0251,requirement_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0252,requires_conservativeness_check,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0253,requires_loss_error_semantics,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0254,requires_monotonicity_check,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0255,requires_new_comsol_export,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0256,requires_new_comsol_solve,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0257,requires_nodi_acceptance,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0258,requires_nodi_edge20_definition_hash,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0259,requires_nodi_prs_recheck,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0260,requires_nodi_prs_verdict,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0261,residence_numerator,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0262,residence_total,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0263,result,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0264,review_method_candidate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0265,review_only_until_nodi_approval,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0266,route_coverage,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0267,route_family,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0268,route_geometry_id_comsol,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0269,route_id_nodi,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0270,route_key,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0271,route_key_candidate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0272,route_view_diameter_bin_binding_available,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0273,route_view_diameter_bin_binding_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0274,row_count,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0275,row_identity,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0276,row_identity_available,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0277,row_identity_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0278,run_label,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0279,runtime_configuration_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0280,sample_policy,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0281,sample_row_count_read,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0282,schema_field_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0283,schema_version,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0284,semantics_area,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0285,semantics_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0286,sha256,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0287,sidewall_deg,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0288,source_artifact,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0289,source_candidate_export_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0290,source_crosswalk_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0291,source_edge4_artifact,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0292,source_edge_skeleton_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0293,source_family,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0294,source_gate2f_edge_evidence_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0295,source_geometry_hash,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0296,source_row_count,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0297,source_row_identity,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0298,source_row_type,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0299,source_rows_covered,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0300,source_schema_path,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0301,source_schema_sha256,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0302,source_sha256,RC3_TO_RC4_CARRIED_FORWARD,false
