roundtrip_id,comsol_dependency_id,owner_ledger_id,workstream,producer_owner,receiver_owner,nodi_handoff_id,authorization_dependency,current_action_allowed,future_authorization_required,roundtrip_status
G5E-OWNER-0022,G4E-XAUTH-022,G4E-QCH-010,QCH,COMSOL,NODI,G4D-HANDOFF-0022,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0023,G4E-XAUTH-023,G4E-BINDING-001,BINDING,COMSOL,NODI,G4D-HANDOFF-0023,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0024,G4E-XAUTH-024,G4E-BINDING-002,BINDING,COMSOL,NODI,G4D-HANDOFF-0024,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0025,G4E-XAUTH-025,G4E-BINDING-003,BINDING,COMSOL,NODI,G4D-HANDOFF-0025,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0026,G4E-XAUTH-026,G4E-BINDING-004,BINDING,COMSOL,NODI,G4D-HANDOFF-0026,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0027,G4E-XAUTH-027,G4E-BINDING-005,BINDING,COMSOL,NODI,G4D-HANDOFF-0027,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0028,G4E-XAUTH-028,G4E-BINDING-006,BINDING,COMSOL,NODI,G4D-HANDOFF-0028,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0029,G4E-XAUTH-029,G4E-BINDING-007,BINDING,COMSOL,NODI,G4D-HANDOFF-0029,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0030,G4E-XAUTH-030,G4E-BINDING-008,BINDING,COMSOL,NODI,G4D-HANDOFF-0030,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0031,G4E-XAUTH-031,G4E-BINDING-009,BINDING,COMSOL,NODI,G4D-HANDOFF-0031,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0032,G4E-XAUTH-032,G4E-BINDING-010,BINDING,COMSOL,NODI,G4D-HANDOFF-0032,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0033,G4E-XAUTH-033,G4E-OTHER-001,REVIEW_OR_SHARED,COMSOL_OR_SHARED,NODI,G4D-HANDOFF-0033,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0034,G4E-XAUTH-034,G4E-OTHER-002,REVIEW_OR_SHARED,COMSOL_OR_SHARED,NODI,G4D-HANDOFF-0034,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0035,G4E-XAUTH-035,G4E-OTHER-003,REVIEW_OR_SHARED,COMSOL_OR_SHARED,NODI,G4D-HANDOFF-0035,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0036,G4E-XAUTH-036,G4E-OTHER-004,REVIEW_OR_SHARED,COMSOL_OR_SHARED,NODI,G4D-HANDOFF-0036,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
