receipt_id,source_manifest_id,artifact_path,absolute_path,artifact_kind,recorded_sha,actual_sha,recorded_row_count,actual_row_count,receipt_status,policy_impact,auth_impact
G7A-RECEIPT-0011,G6H-MANIFEST-011,roadmap/COMSOL_GATE6C_RC51_LOCKSTEP_DICTIONARY_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6C_RC51_LOCKSTEP_DICTIONARY_PACKET_20260629.md,packet_markdown,6273e386609e7543cb51a71245edf3e40af089ed28dce7855678fea9d1daa2df,6273e386609e7543cb51a71245edf3e40af089ed28dce7855678fea9d1daa2df,NA,NA,MATCH,none,none
G7A-RECEIPT-0012,G6H-MANIFEST-012,roadmap/COMSOL_GATE6D_ADAPTER_HARMONIZATION_RESPONSE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6D_ADAPTER_HARMONIZATION_RESPONSE_20260629.csv,adapter,1adf46b562e730b2e569238fe7ec1603e22d9314e30f5d1b494335dd25e60cbf,1adf46b562e730b2e569238fe7ec1603e22d9314e30f5d1b494335dd25e60cbf,86,86,MATCH,none,none
G7A-RECEIPT-0013,G6H-MANIFEST-013,roadmap/COMSOL_GATE6D_ADAPTER_NEGATIVE_CONTROL_RESULTS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6D_ADAPTER_NEGATIVE_CONTROL_RESULTS_20260629.csv,adapter,f30b16bb0fe4a5bbcaf39e529cc392dbda47631b72ad80376733c8049c1aa166,f30b16bb0fe4a5bbcaf39e529cc392dbda47631b72ad80376733c8049c1aa166,516,516,MATCH,none,none
G7A-RECEIPT-0014,G6H-MANIFEST-014,roadmap/COMSOL_GATE6D_ADAPTER_HARMONIZATION_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6D_ADAPTER_HARMONIZATION_PACKET_20260629.md,packet_markdown,f41b1b9ebbdacaa7e83135c5f281ca73cfe5eac76271ecdab2308b4bc9043a5c,f41b1b9ebbdacaa7e83135c5f281ca73cfe5eac76271ecdab2308b4bc9043a5c,NA,NA,MATCH,none,none
G7A-RECEIPT-0015,G6H-MANIFEST-015,roadmap/COMSOL_GATE6E_MUTATION_LOCKSTEP_FAMILY_RECONCILIATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6E_MUTATION_LOCKSTEP_FAMILY_RECONCILIATION_20260629.csv,rc51_lockstep,cdfdeb70fc81cc30da2968beeaa895614f258c09c31c37bb4255acdc8d67bd70,cdfdeb70fc81cc30da2968beeaa895614f258c09c31c37bb4255acdc8d67bd70,642,642,MATCH,none,none
G7A-RECEIPT-0016,G6H-MANIFEST-016,roadmap/COMSOL_GATE6E_LOCKSTEP_STRESS_COVERAGE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6E_LOCKSTEP_STRESS_COVERAGE_20260629.csv,rc51_lockstep,ca742e290d69e7e6863f82a085eac6d2f87bd5419344634751ec7eb3a8a758b0,ca742e290d69e7e6863f82a085eac6d2f87bd5419344634751ec7eb3a8a758b0,8,8,MATCH,none,none
G7A-RECEIPT-0017,G6H-MANIFEST-017,roadmap/COMSOL_GATE6E_MUTATION_PROBE_LOCKSTEP_SUMMARY_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6E_MUTATION_PROBE_LOCKSTEP_SUMMARY_20260629.csv,rc51_lockstep,27ab313927d7c4d2c6bfc6ed354c0d224b972a7313a075a57c77523cddd077c1,27ab313927d7c4d2c6bfc6ed354c0d224b972a7313a075a57c77523cddd077c1,1,1,MATCH,none,none
G7A-RECEIPT-0018,G6H-MANIFEST-018,roadmap/COMSOL_GATE6E_MUTATION_PROBE_LOCKSTEP_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6E_MUTATION_PROBE_LOCKSTEP_PACKET_20260629.md,packet_markdown,a6957a8dc4f7e4936133a07daccbe8e12e7bd2f8548d5188adeac58de2c44465,a6957a8dc4f7e4936133a07daccbe8e12e7bd2f8548d5188adeac58de2c44465,NA,NA,MATCH,none,none
G7A-RECEIPT-0019,G6H-MANIFEST-019,roadmap/COMSOL_GATE6F_GATE4_SELF_REFERENTIAL_SHA_DRIFT_ERRATA_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6F_GATE4_SELF_REFERENTIAL_SHA_DRIFT_ERRATA_20260629.csv,metadata_errata,4b1e0cf320ca94f2ef837435637d226249d8f35ec32341b9392230030b3d7d9e,4b1e0cf320ca94f2ef837435637d226249d8f35ec32341b9392230030b3d7d9e,3,3,MATCH,none,none
G7A-RECEIPT-0020,G6H-MANIFEST-020,roadmap/COMSOL_GATE6F_GATE5_MANIFEST_ZERO_DRIFT_AUDIT_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6F_GATE5_MANIFEST_ZERO_DRIFT_AUDIT_20260629.csv,manifest,f61ffc54b2b8929227fb5e35b69dd391de27c43c791956a9fe7d8dc4653af0d7,f61ffc54b2b8929227fb5e35b69dd391de27c43c791956a9fe7d8dc4653af0d7,31,31,MATCH,none,none
G7A-RECEIPT-0021,G6H-MANIFEST-021,roadmap/COMSOL_GATE6F_METADATA_ZERO_DRIFT_ERRATA_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6F_METADATA_ZERO_DRIFT_ERRATA_PACKET_20260629.md,packet_markdown,5af2a933c1cb6f4d8cc7ddae14fcbb7f7bccfce482e797cb42f3f2775d474476,5af2a933c1cb6f4d8cc7ddae14fcbb7f7bccfce482e797cb42f3f2775d474476,NA,NA,MATCH,none,none
G7A-RECEIPT-0022,G6H-MANIFEST-022,roadmap/COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_INDEX_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_INDEX_20260629.csv,rc51_lockstep,45bcc8d068c6bae7a6a954d84f4e2205d7d121bb029e6e97fe7ab0debe8dc3a3,45bcc8d068c6bae7a6a954d84f4e2205d7d121bb029e6e97fe7ab0debe8dc3a3,6,6,MATCH,none,none
G7A-RECEIPT-0023,G6H-MANIFEST-023,roadmap/COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_MANIFEST_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_MANIFEST_20260629.csv,manifest,20587cd8d34144335c78e7224f3ce21ff7e49646897314b545e9de1022802691,20587cd8d34144335c78e7224f3ce21ff7e49646897314b545e9de1022802691,6,6,MATCH,none,none
G7A-RECEIPT-0024,G6H-MANIFEST-024,roadmap/COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_ENVELOPE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_ENVELOPE_20260629.csv,rc51_lockstep,d9b40182dad876e27fcbe134b7a0684eaabb5c22ea20779c0da36d1764b49956,d9b40182dad876e27fcbe134b7a0684eaabb5c22ea20779c0da36d1764b49956,6,6,MATCH,none,none
G7A-RECEIPT-0025,G6H-MANIFEST-025,roadmap/COMSOL_GATE6G_NO_AUTH_LOCK_CERTIFICATE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6G_NO_AUTH_LOCK_CERTIFICATE_20260629.csv,support,e16ac3fb61af0b3cc94037c28d4946319d0fa6940a358ba1fe4c11c696d961ae,e16ac3fb61af0b3cc94037c28d4946319d0fa6940a358ba1fe4c11c696d961ae,1,1,MATCH,none,none
G7A-RECEIPT-0026,G6H-MANIFEST-026,roadmap/COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_BUNDLE_20260629.json,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_BUNDLE_20260629.json,rc51_lockstep,eb2e6f45c3273c0a54223aa9ebcc8f66bb3e5da9d40700d33b481cfbc23949d5,eb2e6f45c3273c0a54223aa9ebcc8f66bb3e5da9d40700d33b481cfbc23949d5,NA,NA,MATCH,none,none
G7A-RECEIPT-0027,G6H-MANIFEST-027,roadmap/COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_BUNDLE_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6G_RC51_LOCKSTEP_EXCHANGE_BUNDLE_PACKET_20260629.md,packet_markdown,e685b4df159f1893acc25c9c5113703d638e33360cb655e11bdeedcb33fd6bfb,e685b4df159f1893acc25c9c5113703d638e33360cb655e11bdeedcb33fd6bfb,NA,NA,MATCH,none,none
G7A-RECEIPT-0028,G6H-MANIFEST-028,roadmap/COMSOL_GATE6H_RC51_LOCKSTEP_RELEASE_VALIDATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6H_RC51_LOCKSTEP_RELEASE_VALIDATION_20260629.csv,validation,6dbc4bfac21cb6fb5ff37e10a484a6f5031af59f634611d4ddc6f7c1569ac9fa,4dfb4d27c579f378967434a8b1baa5d93d23a8f9c0ab966957b82c24f8442cb2,14,14,SELF_REFERENTIAL_METADATA_DRIFT_NON_POLICY,none,none
G7A-RECEIPT-0029,G6H-MANIFEST-029,roadmap/COMSOL_GATE6H_RC51_LOCKSTEP_RELEASE_MANIFEST_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6H_RC51_LOCKSTEP_RELEASE_MANIFEST_20260629.csv,manifest,ff9352145742aa576aeb4cace2c03b62ddecfe511a2995ca1fd6b38f34f82e2e,5bdf04c1e018ea0b38d74f718b9ab7dda3e04a66dc5e578e594bfc2ccbc5c7e2,30,30,SELF_REFERENTIAL_METADATA_DRIFT_NON_POLICY,none,none
G7A-RECEIPT-0030,G6H-MANIFEST-030,roadmap/COMSOL_GATE6_RC51_LOCKSTEP_RELEASE_CANDIDATE_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6_RC51_LOCKSTEP_RELEASE_CANDIDATE_20260629.md,packet_markdown,93f2ea8800b9c667bb61f001fdc32005408f86800524a265710056f656ab19ee,050c0610b5f40979bfb9a0cc3263dcd300f8810938bdf1024c8251b2c31b649a,NA,NA,SELF_REFERENTIAL_METADATA_DRIFT_NON_POLICY,none,none
