mutation_id,source_side,mutation_family,workstream,expected_result,observed_result,unexpected_pass,forbidden_promotion
G5F-ADAPTER-MUT-0016,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0017,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0018,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0019,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0020,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0021,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0022,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0023,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0024,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0025,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0026,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0027,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0028,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0029,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0030,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0031,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0032,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0033,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0034,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0035,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0036,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0037,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0038,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0039,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0040,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0041,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0042,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0043,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0044,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0045,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0046,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0047,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0048,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0049,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0050,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0051,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0052,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0053,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0054,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0055,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0056,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0057,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0058,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0059,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0060,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0061,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0062,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0063,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0064,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0065,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0066,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0067,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0068,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0069,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0070,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0071,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0072,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
