export_id,normalized_field,canonical_candidate,difference_class,lock_candidate_status,authorization_basis
G5G-FIELD-0049,claim_boundary,claim_boundary,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0050,claim_promotion_authorized_now,claim_promotion_authorized_now,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0051,columns,columns,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0052,comsol_artifact_id,comsol_artifact_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0053,comsol_artifact_path,comsol_artifact_path,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0054,comsol_evidence_or_gap,comsol_evidence_or_gap,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0055,comsol_gate2g_status,comsol_gate2g_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0056,comsol_gate_id,comsol_gate_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0057,comsol_status,comsol_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0058,conservativeness_check_required,conservativeness_check_required,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0059,conservativeness_metric,conservativeness_metric,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0060,conservativeness_rule,conservativeness_rule,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0061,conservativeness_status,conservativeness_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0062,consumer_candidate,consumer_candidate,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0063,coverage_complete,coverage_complete,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0064,coverage_contiguous,coverage_contiguous,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0065,coverage_nonoverlap_claim_scope,coverage_nonoverlap_claim_scope,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0066,current_blocker,current_blocker,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0067,current_source,current_source,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0068,current_status,current_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0069,current_support_status,current_support_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0070,d_nm,D_nm,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0071,decision_row_id,decision_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0072,depth_coverage,depth_coverage,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0073,depth_family,depth_family,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0074,depth_or_channel_family,depth_or_channel_family,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0075,depth_um,depth_um,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0076,derived_artifact,derived_artifact,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0077,description,description,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0078,diagnostic_check_id,diagnostic_check_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0079,diameter_binding_status,diameter_binding_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0080,diameter_coverage,diameter_coverage,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0081,diameter_nm,diameter_nm,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0082,direct_prs_bin_claim_authorized,direct_prs_bin_claim_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0083,direct_prs_bin_use_authorized,direct_prs_bin_use_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0084,direct_prs_bin_use_authorized_default,direct_prs_bin_use_authorized_default,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0085,disposition,disposition,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0086,distribution_type_required,distribution_type_required,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0087,dossier_id,dossier_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0088,edge20_bin_count,edge20_bin_count,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0089,edge20_bin_id,edge20_bin_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0090,edge20_bins_covered,edge20_bins_covered,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0091,edge20_definition_hash,edge20_definition_hash,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0092,edge20_reference_units,edge20_reference_units,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0093,edge20_reference_value,edge20_reference_value,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0094,edge4_aggregate_value,edge4_aggregate_value,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0095,edge4_bin_label,edge4_bin_label,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0096,edge4_max,edge4_max,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0097,edge4_min,edge4_min,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0098,edge4_to_edge20_policy,edge4_to_edge20_policy,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0099,edge_bin_label,edge_bin_label,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0100,edge_deliverable_row_id,edge_deliverable_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0101,edge_norm_max,edge_norm_max,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0102,edge_norm_min,edge_norm_min,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0103,error_bound_lower,error_bound_lower,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0104,error_bound_upper,error_bound_upper,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0105,error_loss_semantics,error_loss_semantics,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0106,evidence_class,evidence_class,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0107,evidence_row_id,evidence_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0108,exact_claim_made_by_comsol,exact_claim_made_by_comsol,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0109,exact_nodi_prs_match_claim,exact_nodi_prs_match_claim,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0110,exact_prs_match_claim_by_comsol,exact_prs_match_claim_by_comsol,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0111,example_value_policy,example_value_policy,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0112,expected_base_edge_bins,expected_base_edge_bins,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0113,expected_events_per_base_bin_per_seed,expected_events_per_base_bin_per_seed,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0114,expected_nodi_disposition,expected_nodi_disposition,future-gate-only,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0115,expected_result_enum,expected_result_enum,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0116,expected_rows_per_route_diameter_view,expected_rows_per_route_diameter_view,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0117,expected_special_aggregates,expected_special_aggregates,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0118,expected_xz_bins,expected_xz_bins,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0119,field_name,field_name,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0120,flow_split_units,flow_split_units,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0121,flow_split_value,flow_split_value,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0122,forbidden_auth_flag_state,forbidden_auth_flag_state,future-gate-only,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0123,forbidden_interpretations,forbidden_interpretations,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0124,forbidden_repair,forbidden_repair,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0125,formal_qch_sidecar_present,formal_qch_sidecar_present,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0126,formula_exclusion_active,formula_exclusion_active,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0127,formula_use_authorized,formula_use_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0128,formula_use_authorized_default,formula_use_authorized_default,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0129,future_authorization_required,future_authorization_required,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0130,gate2b_artifact_level_context_candidate,gate2b_artifact_level_context_candidate,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0131,gate2b_context_row_id,gate2b_context_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0132,gate2b_grain_level_context_ingestion_authorized,gate2b_grain_level_context_ingestion_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0133,gate2c_alignment_row_id,gate2c_alignment_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0134,gate2c_row_id,gate2c_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0135,gate2d_candidate_row_id,gate2d_candidate_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0136,gate2f_edge_evidence_id,gate2f_edge_evidence_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0137,gate2k_template_row_id,gate2k_template_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0138,generation_preparation_authorized_now,generation_preparation_authorized_now,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0139,grain_level_ingestion_authorized,grain_level_ingestion_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0140,grain_level_ingestion_authorized_default,grain_level_ingestion_authorized_default,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0141,grain_level_ingestion_policy,grain_level_ingestion_policy,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0142,grouping_basis,grouping_basis,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0143,hash_stability_status,hash_stability_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0144,hook_id,hook_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0145,human_review_required,human_review_required,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0146,information_loss_description,information_loss_description,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0147,integration_surface_or_volume_definition,integration_surface_or_volume_definition,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0148,is_chi_selected,is_chi_selected,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0149,is_formal_gate2_qch_sidecar,is_formal_gate2_qch_sidecar,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0150,is_formal_policy_evidence,is_formal_policy_evidence,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0151,is_policy_result,is_policy_result,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0152,jrc_authorized,jrc_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0153,lambda_nm,lambda_nm,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0154,launch_authorized_now,launch_authorized_now,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0155,lineage_id,lineage_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0156,loss_error_policy_approval_status,loss_error_policy_approval_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0157,loss_error_requirement_id,loss_error_requirement_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0158,loss_error_requirement_set_id,loss_error_requirement_set_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0159,manifest_link,manifest_link,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0160,mesh_size,mesh_size,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0161,mismatch_blocker_if_any,mismatch_blocker_if_any,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0162,missing_binding,missing_binding,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0163,missing_required_fields,missing_required_fields,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0164,monotonicity_allowed_exceptions,monotonicity_allowed_exceptions,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0165,monotonicity_check_required,monotonicity_check_required,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0166,monotonicity_direction,monotonicity_direction,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0167,monotonicity_metric,monotonicity_metric,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0168,monotonicity_status,monotonicity_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0169,must_remain_review_only_if,must_remain_review_only_if,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0170,mutation_id,mutation_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0171,needed_from_comsol,needed_from_comsol,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0172,needed_from_nodi,needed_from_nodi,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0173,nodi_automation_binding_status,nodi_automation_binding_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0174,nodi_bin_binding_status,nodi_bin_binding_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0175,nodi_check_id,nodi_check_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0176,nodi_current_status,nodi_current_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0177,nodi_diameter_binding_status,nodi_diameter_binding_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0178,nodi_edge20_definition_hash,nodi_edge20_definition_hash,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0179,nodi_expected_verdict,nodi_expected_verdict,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0180,nodi_receipt_support_id,nodi_receipt_support_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0181,nodi_receiver_target,NODI_receiver_target,future-gate-only,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0182,nodi_required_evidence,nodi_required_evidence,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0183,nodi_route_key_candidate,nodi_route_key_candidate,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0184,nodi_view,NODI_view,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0185,nodi_view_binding_policy,NODI_view_binding_policy,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0186,nodi_view_binding_status,nodi_view_binding_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0187,nodi_view_current,NODI_view_current,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0188,nodi_view_status,NODI_view_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0189,normalization_available,normalization_available,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0190,normalization_basis,normalization_basis,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0191,normalization_requirement,normalization_requirement,future-gate-only,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0192,normalization_status,normalization_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0193,not_evidence,not_evidence,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0194,notes,notes,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0195,numeric_aggregation_error_bound_status,numeric_aggregation_error_bound_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0196,numeric_error_bound_units,numeric_error_bound_units,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0197,numeric_error_bound_value,numeric_error_bound_value,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0198,numeric_error_units,numeric_error_units,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0199,numeric_error_value,numeric_error_value,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0200,outlet_entity_count,outlet_entity_count,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0201,package_id,package_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0202,package_row_id,package_row_id,future-gate-only,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0203,particle_kind,particle_kind,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0204,path,path,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0205,policy_approval_status,policy_approval_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0206,policy_option,policy_option,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0207,policy_option_id,policy_option_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0208,policy_review_ready,policy_review_ready,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0209,policy_row_id,policy_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0210,policy_status,policy_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0211,policy_use_requested,policy_use_requested,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0212,policy_use_requested_default,policy_use_requested_default,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0213,priority,priority,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
