inventory_id,path,evidence_class,allowed_use,blocked_use,release_decision
Q-0017,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0018,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0019,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0020,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0021,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0022,nodi_simulator/sidewall_route_yield_detection_policy.py,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0023,reports/504_NODI_COMSOL_PACKAGE_C_METRIC_HARDENING_CONSOLIDATION_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0024,reports/505_NODI_COMSOL_PACKAGE_C_TIMESERIES_ESS_CANDIDATE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0025,reports/506_NODI_COMSOL_PACKAGE_C_SUBSTEP_FAIL_POLICY_HARDENING_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0026,reports/507_NODI_COMSOL_PACKAGE_C_SUBSTEP_DT_REFINEMENT_REQUIREMENTS_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0027,reports/508_NODI_COMSOL_PACKAGE_C_PROOF_THRESHOLD_TABLE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0028,reports/509_NODI_COMSOL_PACKAGE_C_PROOF_READINESS_INDEX_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0029,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0030,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0031,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0032,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0033,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0034,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0035,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0036,reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0037,reports/511_NODI_COMSOL_PACKAGE_C_STATIONARITY_ENSEMBLE_REFINEMENT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0038,reports/512_NODI_COMSOL_PACKAGE_C_ONE_WALL_WALL_PILEUP_REFINEMENT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0039,reports/513_NODI_COMSOL_PACKAGE_C_NEAR_BOUNDARY_EXPECTED_BAND_METHOD_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0040,reports/516_NODI_COMSOL_PACKAGE_C_USER_AUTHORIZATION_LEDGER_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0041,reports/517_NODI_COMSOL_PACKAGE_C_PROOF_REGISTRATION_ARTIFACT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0042,reports/518_NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0043,reports/518_NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0044,reports/519_NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0045,reports/519_NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0046,reports/520_NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0047,reports/520_NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0048,reports/521_NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0049,reports/522_NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0050,reports/522_NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0051,reports/522_NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0052,reports/523_NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0053,reports/523_NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0054,reports/523_NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0055,reports/524_NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0056,reports/524_NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0057,reports/525_NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0058,reports/525_NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0059,reports/526_NODI_PACKAGE_C_SIDEWALL_OPTICAL_REFERENCE_SMOKE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0060,reports/528_NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0061,reports/529_NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0062,reports/529_NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0063,reports/530_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0064,reports/530_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0065,reports/531_NODI_PACKAGE_C_SIDEWALL_SELECTED_ANNULUS_CONTEXT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0066,reports/537_NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_EVIDENCE_CONTRACT_20260701.md,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0067,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0068,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0069,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0070,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0071,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0072,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0073,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0074,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0075,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0076,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0077,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0078,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0079,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0080,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0081,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0082,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0083,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0084,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0085,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0086,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0087,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0088,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0089,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0090,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0091,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0092,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0093,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0094,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0095,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0096,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0097,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0098,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0099,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0100,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0101,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0102,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0103,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0104,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0105,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0106,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0107,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0108,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0109,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0110,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0111,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0112,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0113,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0114,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0115,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0116,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_REPORT_20260630.json,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0117,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_REPORT_20260630.json,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0118,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_REPORT_20260630.json,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0119,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_STATUS_20260630.json,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0120,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_STATUS_20260630.json,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0121,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_STATUS_20260630.json,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0122,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_GATE24_SOURCE_LOCK_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0123,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_GATE24_SOURCE_LOCK_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
Q-0124,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_GATE24_SOURCE_LOCK_20260630.csv,quarantine_reference_only,no-auth review,proof/pass/runtime/production promotion,QUARANTINED_REFERENCE_ONLY_UNRESOLVED
