commit,title,changed_file_count,sample_changed_files,semantic_classification,release_action
2170b12,Add Package C wet optical detection context,16,.gitignore;nodi_simulator/wet_optical_detection_evidence.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/525_NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_BOUNDARY_CONTEXT_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_EVIDENCE_CONTEXT_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_WET_OPTICAL_DETECTION_EVIDENCE_CONTEXT_MANIFEST_20260701.csv,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
e79051e,Add Package C route yield detection candidate,15,.gitignore;nodi_simulator/route_yield_detection_candidate.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/524_NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_EVIDENCE_GAPS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_REPORT_20260701.json,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
18ef04d,Add Package C pressure flow validation context,16,.gitignore;nodi_simulator/pressure_flow_validation.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/523_NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_COMPARISON_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_COMSOL_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_PRESSURE_FLOW_VALIDATION_CONTEXT_MANIFEST_20260701.csv,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
022f75c,Add Package C qch sidecar candidate,15,.gitignore;nodi_simulator/qch_sidecar.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/522_NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_PROMOTION_CONTRACT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_QCH_SIDECAR_CANDIDATE_QCH_ROWS_20260701.csv,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
3783336,Add Package C trapezoid flow solver candidate,15,.gitignore;nodi_simulator/trapezoid_flow_solver.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/521_NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_QCH_PROMOTION_BLOCKERS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_REPORT_20260701.json,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
1a33021,Add Package C runtime substep execution packet,14,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/520_NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_CASE_RESULTS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_REPORT_20260701.json;reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_SELF_REVIEW_20260701.csv,FORBIDDEN_PROMOTION_IF_CONSUMED,quarantine_or_context_only;do_not_consume_as_authorization
c3b2a0d,Add Package C authorized mainline advancement,14,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/519_NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_BRANCH_ROADMAP_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_EXECUTION_QUEUE_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_PROMOTION_CONTRACT_20260701.csv,FORBIDDEN_PROMOTION_IF_CONSUMED,quarantine_or_context_only;do_not_consume_as_authorization
2b32485,Add Package C post-proof mirror release,15,.gitignore;reports/518_NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_COMSOL_CLEAN_MIRROR_REQUEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_COMSOL_CLEAN_MIRROR_REQUEST_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_POST_PROOF_GUARDS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_RELEASE_SEAL_20260701.csv,FORBIDDEN_PROMOTION_IF_CONSUMED,quarantine_or_context_only;do_not_consume_as_authorization
b681e4e,Add Package C guarded trajectory smoke,1,tests/test_runtime_substep_policy.py,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
7848078,Add Package C runtime substep guard,7,nodi_simulator/nodi_comsol_next_artifacts.py;nodi_simulator/runtime_substep_policy.py;nodi_simulator/trajectory.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;tests/test_nodi_comsol_next_artifacts_contracts.py;tests/test_runtime_substep_policy.py,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
3f4024d,Register Package C reflection proof artifact,30,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/508_NODI_COMSOL_PACKAGE_C_PROOF_THRESHOLD_TABLE_20260701.md;reports/509_NODI_COMSOL_PACKAGE_C_PROOF_READINESS_INDEX_20260701.md;reports/516_NODI_COMSOL_PACKAGE_C_USER_AUTHORIZATION_LEDGER_20260701.md;reports/517_NODI_COMSOL_PACKAGE_C_PROOF_REGISTRATION_ARTIFACT_20260701.md;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_REPORT_20260701.json,CONTEXT_ONLY_CANDIDATE,quarantine_or_context_only;do_not_consume_as_authorization
55e0934,Add Package C proof registration builder,3,.gitignore;tests/test_nodi_comsol_package_c_proof_registration_artifact.py;tools/audits/build_nodi_comsol_package_c_proof_registration_artifact.py,FORBIDDEN_PROMOTION_IF_CONSUMED,quarantine_or_context_only;do_not_consume_as_authorization
fea045d,Refresh Package C authorization clean binding,14,reports/509_NODI_COMSOL_PACKAGE_C_PROOF_READINESS_INDEX_20260701.md;reports/516_NODI_COMSOL_PACKAGE_C_USER_AUTHORIZATION_LEDGER_20260701.md;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_REPORT_20260701.json;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_SOURCE_LOCK_20260701.csv;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_STATUS_20260701.json;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_PROOF_READINESS_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_PROOF_READINESS_REPORT_20260701.json,CONTEXT_ONLY_CANDIDATE,quarantine_or_context_only;do_not_consume_as_authorization
6bc6303,Add Package C user authorization ledger,33,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/509_NODI_COMSOL_PACKAGE_C_PROOF_READINESS_INDEX_20260701.md;reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md;reports/516_NODI_COMSOL_PACKAGE_C_USER_AUTHORIZATION_LEDGER_20260701.md;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_BLOCKERS_20260701.csv;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_CONTEXT_20260701.csv,CONTEXT_ONLY_CANDIDATE,quarantine_or_context_only;do_not_consume_as_authorization
a0836b5,Add Package C authorization preflight,35,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/509_NODI_COMSOL_PACKAGE_C_PROOF_READINESS_INDEX_20260701.md;reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md;reports/515_NODI_COMSOL_PACKAGE_C_AUTHORIZATION_PREFLIGHT_20260701.md;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_AUTHORIZATION_PREFLIGHT_CLEAN_COMMIT_BINDING_20260701.csv;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_AUTHORIZATION_PREFLIGHT_HARD_FAIL_CHECKLIST_20260701.csv,CONTEXT_ONLY_CANDIDATE,quarantine_or_context_only;do_not_consume_as_authorization
9586f8f,Add Package C runtime substep policy design,43,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/508_NODI_COMSOL_PACKAGE_C_PROOF_THRESHOLD_TABLE_20260701.md;reports/509_NODI_COMSOL_PACKAGE_C_PROOF_READINESS_INDEX_20260701.md;reports/510_NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_PROMPT_20260701.md;reports/514_NODI_COMSOL_PACKAGE_C_RUNTIME_SUBSTEP_POLICY_DESIGN_20260701.md;reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_EXTERNAL_RESEARCH_BLOCKERS_20260701.csv,CONTEXT_ONLY_CANDIDATE,quarantine_or_context_only;do_not_consume_as_authorization
