dimension_case_id,paired_baseline_case_id,baseline_pair_required,baseline_pair_status,channel_cross_section_model,W_top_nm,depth_nm,sidewall_angle_convention,sidewall_deg_comsol,sidewall_taper_angle_deg_nodi,k_taper,W_bottom_unclipped_nm,W_bottom_runtime_clipped_nm,closure_status,closure_depth_nm,particle_diameter_nm,particle_radius_nm,center_accessible_support_model,center_accessible_area_nm2,rectangle_baseline_area_nm2,center_accessible_area_fraction_vs_rectangle,center_accessible_area_delta_vs_rectangle,particle_center_support_status,tail_particle_support_delta,dimension_recommendation_drift_class,dimension_band_shift_context,baseline_scope_not_extrapolated,qch_transport_input_only,qch_eta_current,yield_current,not_route_selection_claim,not_production_recommendation,claim_boundary,impact_matrix_version,row_id,matrix_axis,geometry_case_id,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_winner,not_yield,not_qch_weighted,not_true_W_eff,not_optical_solver_output
DIM-W500-D900-TH89-P220,DIM-W500-D900-TH90-P220,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,89.0,1.0,0.017455064928217585,468.5808831292084,468.5808831292084,open,14322.49040768986,220.0,110.0,wall_normal_half_plane_offset_v1,179694.7119885623,190400.0,0.9437747478390878,-0.05622525216091223,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH89-P220,dimension_recommendation_sensitivity,DIM-W500-D900-TH89-P220,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH89-P300,DIM-W500-D900-TH90-P300,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,89.0,1.0,0.017455064928217585,468.5808831292084,468.5808831292084,open,14322.49040768986,300.0,150.0,wall_normal_half_plane_offset_v1,110546.84589085913,120000.0,0.9212237157571594,-0.07877628424284056,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH89-P300,dimension_recommendation_sensitivity,DIM-W500-D900-TH89-P300,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH87-P40,DIM-W500-D900-TH90-P40,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,87.0,3.0,0.05240777928304121,405.66599729052587,405.66599729052587,open,4770.284171932053,40.0,20.0,wall_normal_half_plane_offset_v1,354989.17013259773,395600.0,0.8973437060985787,-0.10265629390142128,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH87-P40,dimension_recommendation_sensitivity,DIM-W500-D900-TH87-P40,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH87-P60,DIM-W500-D900-TH90-P60,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,87.0,3.0,0.05240777928304121,405.66599729052587,405.66599729052587,open,4770.284171932053,60.0,30.0,wall_normal_half_plane_offset_v1,329910.55262372567,369600.0,0.8926151315576993,-0.10738486844230066,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH87-P60,dimension_recommendation_sensitivity,DIM-W500-D900-TH87-P60,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH87-P100,DIM-W500-D900-TH90-P100,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,87.0,3.0,0.05240777928304121,405.66599729052587,405.66599729052587,open,4770.284171932053,100.0,50.0,wall_normal_half_plane_offset_v1,282156.6112363767,320000.0,0.8817394101136772,-0.11826058988632282,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH87-P100,dimension_recommendation_sensitivity,DIM-W500-D900-TH87-P100,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH87-P150,DIM-W500-D900-TH90-P150,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,87.0,3.0,0.05240777928304121,405.66599729052587,405.66599729052587,open,4770.284171932053,150.0,75.0,wall_normal_half_plane_offset_v1,226970.36005918105,262500.0,0.8646489907016421,-0.13535100929835786,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH87-P150,dimension_recommendation_sensitivity,DIM-W500-D900-TH87-P150,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH87-P220,DIM-W500-D900-TH90-P220,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,87.0,3.0,0.05240777928304121,405.66599729052587,405.66599729052587,open,4770.284171932053,220.0,110.0,wall_normal_half_plane_offset_v1,158121.13611748983,190400.0,0.8304681518775726,-0.1695318481224274,open,not_tail_sensitive,narrowed_window_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH87-P220,dimension_recommendation_sensitivity,DIM-W500-D900-TH87-P220,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH87-P300,DIM-W500-D900-TH90-P300,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,87.0,3.0,0.05240777928304121,405.66599729052587,405.66599729052587,open,4770.284171932053,300.0,150.0,wall_normal_half_plane_offset_v1,91452.77690753195,120000.0,0.7621064742294329,-0.2378935257705671,open,not_tail_sensitive,narrowed_window_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH87-P300,dimension_recommendation_sensitivity,DIM-W500-D900-TH87-P300,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH85-P40,DIM-W500-D900-TH90-P40,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,85.0,5.0,0.08748866352592401,342.52040565333687,342.52040565333687,open,2857.5130756903363,40.0,20.0,wall_normal_half_plane_offset_v1,327752.3720194437,395600.0,0.8284943680976838,-0.17150563190231616,open,not_tail_sensitive,narrowed_window_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH85-P40,dimension_recommendation_sensitivity,DIM-W500-D900-TH85-P40,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH85-P60,DIM-W500-D900-TH90-P60,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,85.0,5.0,0.08748866352592401,342.52040565333687,342.52040565333687,open,2857.5130756903363,60.0,30.0,wall_normal_half_plane_offset_v1,303266.0505622168,369600.0,0.8205250285774264,-0.17947497142257363,open,not_tail_sensitive,narrowed_window_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH85-P60,dimension_recommendation_sensitivity,DIM-W500-D900-TH85-P60,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH85-P100,DIM-W500-D900-TH90-P100,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,85.0,5.0,0.08748866352592401,342.52040565333687,342.52040565333687,open,2857.5130756903363,100.0,50.0,wall_normal_half_plane_offset_v1,256702.57525786696,320000.0,0.8021955476808342,-0.19780445231916577,open,not_tail_sensitive,narrowed_window_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH85-P100,dimension_recommendation_sensitivity,DIM-W500-D900-TH85-P100,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH85-P150,DIM-W500-D900-TH90-P150,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,85.0,5.0,0.08748866352592401,342.52040565333687,342.52040565333687,open,2857.5130756903363,150.0,75.0,wall_normal_half_plane_offset_v1,203015.42039637477,262500.0,0.7733920777004754,-0.22660792229952464,open,not_tail_sensitive,narrowed_window_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH85-P150,dimension_recommendation_sensitivity,DIM-W500-D900-TH85-P150,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH85-P220,DIM-W500-D900-TH90-P220,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,85.0,5.0,0.08748866352592401,342.52040565333687,342.52040565333687,open,2857.5130756903363,220.0,110.0,wall_normal_half_plane_offset_v1,136285.49022564976,190400.0,0.7157851377397572,-0.28421486226024284,open,not_tail_sensitive,narrowed_window_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH85-P220,dimension_recommendation_sensitivity,DIM-W500-D900-TH85-P220,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
