expansion_version,row_id,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_prs,claim_boundary,delta_case_id,route_id_nodi,route_id_nodi_role,diameter_nm,baseline_sidewall_deg_comsol,sidewall_deg_comsol,synthetic_counting_context_rate_delta,mean_peak_height_delta,mean_local_snr_delta,selected_annulus_fraction_delta,selected_annulus_mean_edge_norm_delta,delta_status
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P280-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P280-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,280,90.0,85.0,0.0,-10.047964099130127,410267.59489110624,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P290-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P290-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,290,90.0,85.0,0.0,2.547197694182728,330123.1602689889,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P300-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P300-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,300,90.0,85.0,0.0,0.8582858379496656,-446193.9423906829,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P40-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P40-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,40,90.0,85.0,0.5,0.22068719735904352,175.83149689620882,1.0,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P60-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P60-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,60,90.0,85.0,0.0,0.2140883896342658,684.0436328287296,0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P100-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P100-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,100,90.0,85.0,0.0,-1.5591223111541446,3771.006619937194,0.0,-0.07484967777784901,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P150-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P150-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,150,90.0,85.0,0.0,3.0460164079658796,13041.19091099115,0.0,-0.011329557763818165,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P220-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P220-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,220,90.0,85.0,0.0,0.8176098703677326,221834.84077776043,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P230-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P230-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,230,90.0,85.0,0.0,-1.8322229208001772,209245.75341133622,0.0,0.06872988652256029,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P240-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P240-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,240,90.0,85.0,0.0,-2.058869190765563,267908.77286522393,0.0,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P250-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P250-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,250,90.0,85.0,0.0,0.023436531896322776,147170.30331083643,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P260-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P260-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,260,90.0,85.0,0.0,-0.9820599447958784,-95556.47600172553,0.0,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P270-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P270-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,270,90.0,85.0,0.0,8.566047665108727,-366578.89783920627,-0.5,0.08600991369872701,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P280-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P280-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,280,90.0,85.0,0.0,8.064279262180662,148947.31113764434,-0.5,-0.09068299490494214,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P290-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P290-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,290,90.0,85.0,0.0,-6.690468009311189,-556859.2937939712,0.0,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D900-P300-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D900-P300-TH85_vs_TH90,404/W500/D900,join_key_only_not_selection,300,90.0,85.0,0.0,14.117829616524205,20117.968678537058,0.0,-0.12130530386942429,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W600_D900-P40-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W600_D900-P40-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,40,90.0,85.0,-0.5,-0.2668561909832353,-235.83481827033756,0.0,-0.02669614094399264,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W600_D900-P60-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W600_D900-P60-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,60,90.0,85.0,0.0,0.17036619417982934,642.3981840751553,0.0,0.17931153986292392,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W600_D900-P100-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W600_D900-P100-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,100,90.0,85.0,0.0,1.386385329206739,-8966.81709498549,0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W600_D900-P150-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W600_D900-P150-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,150,90.0,85.0,0.0,-0.6126724311547633,-38258.81801965038,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W600_D900-P220-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W600_D900-P220-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,220,90.0,85.0,0.0,-5.453623604612744,106665.84785252635,-0.5,-0.12993738481747596,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W600_D900-P230-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W600_D900-P230-TH85_vs_TH90,404/W600/D900,join_key_only_not_selection,230,90.0,85.0,0.0,-1.6088724867666429,215277.19262039848,-0.5,,executed_delta_context
