route_key,wavelength_nm,width_nm,depth_nm,ev_pass_criterion_id,ev_pass_criterion_claim_level,ev_prior_score_p10_relative_proxy,ev_polydispersity_profile_id,ev_polydispersity_pass_fraction_proxy,contaminant_panel_id,contaminant_pass_fraction,contaminant_overlap_relative_proxy,contaminants_included_in_route_score,anchor_particles_included,biological_specificity_claim_allowed,true_ev_concentration_claim_allowed,count_or_concentration_interpretation_allowed,coincidence_event_overlap_proxy_definition,coincidence_event_overlap_proxy_label,coincidence_claim_level
404/W500/D1300,404,500,1300,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3452064141012109,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D1400,404,500,1400,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.34776552290681384,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D1500,404,500,1500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3539575940995252,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D500,404,600,500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.642210840989734,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D550,404,600,550,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.5009842414265346,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D600,404,600,600,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.39094672020237947,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D650,404,600,650,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3217814890141211,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D700,404,600,700,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.32358128683365806,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D800,404,600,800,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3305976763075158,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D900,404,600,900,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3551049111850976,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1000,404,600,1000,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3989592637815199,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1100,404,600,1100,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.40785269211400743,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1200,404,600,1200,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.39732499857961767,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1300,404,600,1300,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3612749832050037,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1400,404,600,1400,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3512719789277634,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1500,404,600,1500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3689133166676683,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D500,404,700,500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.7083669444811199,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D550,404,700,550,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.5143074116697471,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D600,404,700,600,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4014174313347539,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D650,404,700,650,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.35042401236450665,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D700,404,700,700,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.34172298810999663,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D800,404,700,800,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3474325327351685,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D900,404,700,900,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3742724942408663,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D1000,404,700,1000,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.432561955321402,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D1100,404,700,1100,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4391135663311988,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D1200,404,700,1200,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.41829380419058354,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D1300,404,700,1300,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.38730023582757295,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D1400,404,700,1400,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3565973075319945,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D1500,404,700,1500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.38325545956105156,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D500,404,800,500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.6747483028869458,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D550,404,800,550,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.5549155684937706,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D600,404,800,600,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.43489796129009417,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D650,404,800,650,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3673896543159717,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D700,404,800,700,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3484978457231545,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D800,404,800,800,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.360422453394586,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D900,404,800,900,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3896893408494352,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D1000,404,800,1000,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.45027379369219034,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D1100,404,800,1100,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.47282733138077016,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D1200,404,800,1200,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4412341331598421,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D1300,404,800,1300,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.38280673179886227,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D1400,404,800,1400,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.37429406657209563,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W800/D1500,404,800,1500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3751396144434371,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D500,404,900,500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.6433137150766364,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D550,404,900,550,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.5542252564776039,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D600,404,900,600,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4357435529955039,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D650,404,900,650,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3512290720885812,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D700,404,900,700,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3506974375368442,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D800,404,900,800,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.37741450153519085,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D900,404,900,900,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.39056890465358907,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D1000,404,900,1000,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4412504608345834,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D1100,404,900,1100,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4684271436791024,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D1200,404,900,1200,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.44875335298090563,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D1300,404,900,1300,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.39111719205733597,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D1400,404,900,1400,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3656500307663591,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W900/D1500,404,900,1500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3788700053811603,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D500,404,1000,500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.6108993248004397,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D550,404,1000,550,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.5371130527498937,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D600,404,1000,600,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4540967877643622,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D650,404,1000,650,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3791726483497877,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D700,404,1000,700,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3644154712097373,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D800,404,1000,800,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.36944967439665427,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D900,404,1000,900,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4035837585135159,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W1000/D1000,404,1000,1000,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4592567439315431,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
