route_key,wavelength_nm,width_nm,depth_nm,comparison_stratum,aggregation_scope,aggregation_particle_family,aggregation_particle_filter_id,aggregation_weighting_id,aggregation_metric_id,aggregation_quantile,anchor_particles_included,contaminants_included_in_route_score,bfp_roi_score,bfp_roi_total_deltaI_proxy,bfp_roi_cross_term_proxy,bfp_roi_self_term_proxy,bfp_roi_cross_term_fraction,bfp_roi_self_term_fraction,bfp_roi_interference_dominant_flag,bfp_roi_cross_term_sign,bfp_roi_scalar_sign,bfp_roi_sign_agreement_with_scalar,bfp_roi_negative_cross_term_flag,bfp_roi_cross_term_claim_level,bfp_roi_operator_id,bfp_roi_mask_id,audit_bfp_jacobian_applied,audit_bfp_coordinate_frame,audit_bfp_jacobian_source_id,audit_bfp_jacobian_formula_id,audit_bfp_jacobian_unit_test_status,raw_roi_vs_scalar_score_ratio_diagnostic,raw_roi_vs_scalar_score_ratio_claim_level,bfp_roi_rank_in_stratum,bfp_roi_rank_percentile_in_stratum,v1_scalar_rank_in_stratum_for_bfp_audit,v1_scalar_rank_percentile_in_stratum_for_bfp_audit,roi_vs_scalar_percentile_delta,rank_delta_bfp_minus_scalar,percentile_delta_bfp_minus_scalar,rank_inversion_flag,rank_inversion_severity,rank_inversion_reason_codes
404/W500/D1300,404,500,1300,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-9.504340480784425,-9.504340480784425,-54.29980165016646,0.06463621338117158,0.9988110570821425,0.0011889429178575462,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,27.53234034057621,diagnostic_only_not_gate,571,0.0017513134851138146,276,0.5183887915936953,-0.5166374781085815,295,-0.5166374781085815,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D1400,404,500,1400,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-8.767347581062262,-8.767347581062262,-52.429959689289106,0.06468598393266649,0.9987677603476869,0.0012322396523130298,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,25.210513991668844,diagnostic_only_not_gate,567,0.008756567425569184,282,0.5078809106830122,-0.49912434325744304,285,-0.49912434325744304,True,major,BFP.RANK_SHIFT_MAJOR
404/W500/D1500,404,500,1500,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-7.6870682994997654,-7.6870682994997654,-49.246640403717606,0.06472993394919954,0.9986873223456182,0.0013126776543817757,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,21.71748375410849,diagnostic_only_not_gate,555,0.02977232924693518,296,0.4833625218914186,-0.4535901926444834,259,-0.4535901926444834,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D500,404,600,500,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-1.4913916217034042,-1.4913916217034042,-21.986346818211604,0.06557108276418164,0.9970265133827075,0.002973486617292374,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,2.322277243724144,diagnostic_only_not_gate,247,0.5691768826619965,497,0.13134851138353765,0.43782837127845886,-250,0.43782837127845886,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D550,404,600,550,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-1.8730990498411049,-1.8730990498411049,-24.908786761479583,0.06573872890180761,0.9973677686518159,0.0026322313481842137,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,3.7388382606756703,diagnostic_only_not_gate,283,0.5061295971978984,449,0.21541155866900175,0.29071803852889666,-166,0.29071803852889666,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D600,404,600,600,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-2.389621401909474,-2.389621401909474,-27.835711024930447,0.06588980243061554,0.9976384938327265,0.0023615061672734644,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,6.112396596325071,diagnostic_only_not_gate,321,0.4395796847635727,356,0.3782837127845884,0.06129597197898429,-35,0.06129597197898429,False,none,
404/W600/D650,404,600,650,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-2.882497947126098,-2.882497947126098,-30.73321013056552,0.06602699927082636,0.9978562131590311,0.0021437868409689797,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,8.957935883625678,diagnostic_only_not_gate,355,0.3800350262697023,226,0.6059544658493871,-0.22591943957968474,129,-0.22591943957968474,False,none,
404/W600/D700,404,600,700,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-3.4651363865090126,-3.4651363865090126,-33.56776351149865,0.06615241857639896,0.998033163348748,0.001966836651251966,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,10.708704512601557,diagnostic_only_not_gate,392,0.3152364273204904,229,0.6007005253940456,-0.2854640980735552,163,-0.2854640980735552,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D800,404,600,800,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-4.648531564014487,-4.648531564014487,-38.88397673806174,0.06629623682259642,0.998297926259327,0.0017020737406730148,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,14.060992853714161,diagnostic_only_not_gate,470,0.1786339754816112,246,0.5709281961471103,-0.3922942206654991,224,-0.3922942206654991,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D900,404,600,900,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-5.795766258125911,-5.795766258125911,-43.524668057021074,0.06634248000336035,0.9984780696940482,0.0015219303059517682,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,16.3212787983799,diagnostic_only_not_gate,517,0.09632224168126091,297,0.4816112084063048,-0.38528896672504387,220,-0.38528896672504387,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D1000,404,600,1000,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-6.828786148331704,-6.828786148331704,-47.30584643304478,0.06638011725491384,0.9985987545427185,0.0014012454572814225,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,17.11649977395015,diagnostic_only_not_gate,542,0.0525394045534151,367,0.3590192644483362,-0.3064798598949211,175,-0.3064798598949211,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D1100,404,600,1100,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-7.613293377226656,-7.613293377226656,-50.053311942710494,0.066411084380392,0.9986749510897238,0.0013250489102762052,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,18.666772401979156,diagnostic_only_not_gate,554,0.031523642732048995,377,0.34150612959719795,-0.30998248686514895,177,-0.30998248686514895,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D1200,404,600,1200,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-8.117176209350452,-8.117176209350452,-51.64138891455574,0.06643680906919167,0.9987151498223055,0.0012848501776944212,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,20.429563300492653,diagnostic_only_not_gate,560,0.021015761821365997,363,0.3660245183887916,-0.3450087565674256,197,-0.3450087565674256,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D1300,404,600,1300,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-8.190519137019702,-8.190519137019702,-51.99813200497131,0.06645836193628984,0.9987235400976374,0.0012764599023625655,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,22.67114945064445,diagnostic_only_not_gate,561,0.019264448336252182,309,0.4605954465849387,-0.4413309982486865,252,-0.4413309982486865,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D1400,404,600,1400,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-7.839612835195119,-7.839612835195119,-51.107878205945255,0.06647655784016558,0.9987009790715092,0.001299020928490711,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,22.31778594787169,diagnostic_only_not_gate,558,0.024518388791593737,293,0.48861646234676004,-0.4640980735551663,265,-0.4640980735551663,True,major,BFP.RANK_SHIFT_MAJOR
404/W600/D1500,404,600,1500,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-7.076043828970569,-7.076043828970569,-49.011087755653804,0.0664920253051668,0.9986451649490067,0.0013548350509933714,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,19.180776375565074,diagnostic_only_not_gate,548,0.042031523642731994,320,0.4413309982486865,-0.3992994746059545,228,-0.3992994746059545,True,major,BFP.RANK_SHIFT_MAJOR
404/W700/D500,404,700,500,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-1.1783026982360403,-1.1783026982360403,-20.12199085216319,0.06667999650173226,0.9966971576781072,0.0033028423218927168,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,1.6634072318255182,diagnostic_only_not_gate,216,0.6234676007005253,507,0.11383537653239928,0.509632224168126,-291,0.509632224168126,True,major,BFP.RANK_SHIFT_MAJOR
404/W700/D550,404,700,550,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-1.5305989125101434,-1.5305989125101434,-22.849689083670626,0.06682992087949377,0.9970837664801437,0.0029162335198563345,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,2.9760389949289485,diagnostic_only_not_gate,255,0.5551663747810858,457,0.20140105078809112,0.35376532399299465,-202,0.35376532399299465,True,major,BFP.RANK_SHIFT_MAJOR
404/W700/D600,404,700,600,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-1.8887609035983957,-1.8887609035983957,-25.59583762351293,0.06696477227846513,0.9973905900358939,0.0026094099641061456,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,4.705228911754213,diagnostic_only_not_gate,286,0.500875656742557,371,0.35201401050788095,0.14886164623467601,-85,0.14886164623467601,False,none,
404/W700/D650,404,700,650,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-2.3586082421279047,-2.3586082421279047,-28.330139271912675,0.06708711719355634,0.9976375468408671,0.002362453159132906,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,6.730726659434827,diagnostic_only_not_gate,318,0.44483362521891423,289,0.4956217162872154,-0.05078809106830118,29,-0.05078809106830118,False,none,
404/W700/D700,404,700,700,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-2.774812601216365,-2.774812601216365,-31.02242079463902,0.06719892951323453,0.9978385412845359,0.0021614587154641335,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,8.120064197504867,diagnostic_only_not_gate,350,0.3887915936952715,270,0.5288966725043782,-0.14010507880910672,80,-0.14010507880910672,False,none,
404/W700/D800,404,700,800,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-3.8035769793336365,-3.8035769793336365,-36.112992461845735,0.06730719977454962,0.9981396726836416,0.0018603273163585335,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,10.947670758952572,diagnostic_only_not_gate,418,0.26970227670753066,281,0.5096322241681261,-0.23992994746059548,137,-0.23992994746059548,False,none,
404/W700/D900,404,700,900,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-4.8485760735071555,-4.8485760735071555,-40.62564029656691,0.06731153079019296,0.9983458675822838,0.0016541324177161486,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,12.954668451769294,diagnostic_only_not_gate,480,0.16112084063047283,326,0.4308231173380035,-0.26970227670753066,154,-0.26970227670753066,True,major,BFP.RANK_SHIFT_MAJOR
404/W700/D1000,404,700,1000,all_ranked_routes,unique_route,EV_sEV,ev_prior_only_excludes_gold_anchors,unweighted_ev_prior_rows,signed_bfp_total_deltaI_proxy,p10,False,False,-5.754749416527135,-5.754749416527135,-44.40666116607444,0.06731241164343386,0.9984864763314705,0.0015135236685295506,True,negative,negative,True,True,signed_relative_interference_audit_only,v1_signed_detector_integral_route_aggregate,calibration/bfp_roi_mask_template.json,True,uv_direction_cosine,closed_form_direction_cosine_solid_angle_weight_v1,dOmega_du_dv_eq_1_over_sqrt_1_minus_u2_minus_v2,pass,13.303873227249593,diagnostic_only_not_gate,515,0.09982486865148865,397,0.3064798598949212,-0.20665499124343256,118,-0.20665499124343256,False,none,
