schema_version,requirement_category,field_name,required,allowed_values_or_rule,notes
nodi_comsol_gate2c_required_export_schema_v1,q_ch_flow_split_formal_sidecar,flow_split_basis,yes,must be present with authorization flags false unless separately approved,needed before any q_ch review beyond provenance-only
nodi_comsol_gate2c_required_export_schema_v1,q_ch_flow_split_formal_sidecar,qch_scope,yes,must be present with authorization flags false unless separately approved,needed before any q_ch review beyond provenance-only
nodi_comsol_gate2c_required_export_schema_v1,q_ch_flow_split_formal_sidecar,is_formal_gate2_qch_sidecar,yes,must be present with authorization flags false unless separately approved,needed before any q_ch review beyond provenance-only
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,q_ch_weighting,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,q_ch_eta,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,q_ch_chi_eta,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,chi_selected,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,route_score,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,JOINT_ROUTE_CLASS,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,JRC,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,yield,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,winner,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,detection_probability,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,wet_pass_probability,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,clogging_rate,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,time_to_clog,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,recovery,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,runtime_configuration,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,forbidden_fields,production_ingestion,must_be_absent_or_false,false only in Gate2B/Gate2C context-only packages,positive values require future explicit authorization
nodi_comsol_gate2c_required_export_schema_v1,v4_review_only_binding,v4_assumption_set_id,yes,review-only; production/runtime/launch flags false,V4 remains claim ceiling unless a future V4 gate opens
nodi_comsol_gate2c_required_export_schema_v1,v4_review_only_binding,review_loader_mode,yes,review-only; production/runtime/launch flags false,V4 remains claim ceiling unless a future V4 gate opens
nodi_comsol_gate2c_required_export_schema_v1,v4_review_only_binding,nodi_production_ingestion_allowed,yes,review-only; production/runtime/launch flags false,V4 remains claim ceiling unless a future V4 gate opens
nodi_comsol_gate2c_required_export_schema_v1,v4_review_only_binding,nodi_runtime_configuration_allowed,yes,review-only; production/runtime/launch flags false,V4 remains claim ceiling unless a future V4 gate opens
nodi_comsol_gate2c_required_export_schema_v1,v4_review_only_binding,comsol_launch_authorized_now,yes,review-only; production/runtime/launch flags false,V4 remains claim ceiling unless a future V4 gate opens
nodi_comsol_gate2c_required_export_schema_v1,v4_review_only_binding,mph_load_authorized_now,yes,review-only; production/runtime/launch flags false,V4 remains claim ceiling unless a future V4 gate opens
